name,vendor,country,year,cost_usd_per_kwh,cost_type,chemistry,duration_hr,market,scale,notes,source_url
BNEF Li-ion pack global avg,BloombergNEF (market benchmark),Global,2010,1160,pack,Li-ion_mixed,,Global,cell_market,"BNEF annual survey start. Real 2025 USD per energy-storage.news: $1,474/kWh. Nominal ~$1,160/kWh estimated from 93% decline to 2025 $108/kWh.",https://www.energy-storage.news/li-ion-battery-pack-prices-fell-8-since-last-year-despite-metals-prices-rising-bloombergnef-says/
"EOS Znyth Z3 (target price, early 2014)",Eos Energy,USA,2014,200,turnkey_system,Zn-Br,6,US,utility,Eos stated 2014 target of $200-250/kWh with expectation of reaching $160/kWh. Aqueous zinc-bromine chemistry. Not yet commercially deployed at scale at this date.,https://www.utilitydive.com/news/eos-battery-storage-will-be-cost-competitive-in-18-months/207750/
BNEF Li-ion pack global avg,BloombergNEF (market benchmark),Global,2018,176,pack,Li-ion_mixed,,Global,cell_market,85% decline from 2010 to 2018. Volume-weighted average across all sectors (EV + stationary).,https://about.bnef.com/insights/clean-energy/behind-scenes-take-lithium-ion-battery-prices/
BNEF Li-ion pack global avg,BloombergNEF (market benchmark),Global,2020,137,pack,Li-ion_mixed,,Global,cell_market,89% decline from 2010. Some packs already below $100/kWh.,https://www.energy-storage.news/bloombergnef-average-battery-pack-prices-to-drop-below-us100-kwh-by-2024-despite-near-term-spikes/
BNEF Li-ion pack global avg,BloombergNEF (market benchmark),Global,2021,132,pack,Li-ion_mixed,,Global,cell_market,6% YoY decline.,https://www.energy-storage.news/bloombergnef-average-battery-pack-prices-to-drop-below-us100-kwh-by-2024-despite-near-term-spikes/
"Tesla Megapack (list, 100+ units)",Tesla,USA,2021,280,turnkey_system,LFP,2,US,utility,"First public pricing from Tesla configurator (Jul 2021). 100-unit volume discount price ~$280/kWh. Single unit ~$333/kWh. Hardware only, excludes installation.",https://electrek.co/2021/07/26/tesla-reveals-megapack-prices/
BNEF Li-ion pack global avg,BloombergNEF (market benchmark),Global,2022,151,pack,Li-ion_mixed,,Global,cell_market,First-ever YoY increase (+7%) due to lithium carbonate spike and supply chain inflation.,https://about.bnef.com/insights/commodities/lithium-ion-battery-pack-prices-rise-for-first-time-to-an-average-of-151-kwh/
"Tesla Megapack (list, 10 units)",Tesla,USA,2022,412,turnkey_system,NMC,2,US,utility,"Mar 2022 price hike. 10-unit pricing $412/kWh (up from $328/kWh in 2021). First supply shortages and raw material inflation. Nevada factory, NMC cells.",https://electrek.co/2022/03/21/tesla-hikes-megapack-prices-backlog-extends/
"Tesla Megapack (list, 100+ units, Lathrop LFP)",Tesla,USA,2022,475,turnkey_system,LFP,2,US,utility,Sep 2022 updated 3.9 MWh Megapack (up from 2.6 MWh) from new Lathrop CA factory with CATL LFP cells. 100+ unit price ~$475/kWh. Higher price but bigger capacity unit.,https://electrek.co/2022/09/14/tesla-megapack-update-specs-price/
BNEF Li-ion pack global avg,BloombergNEF (market benchmark),Global,2023,139,pack,Li-ion_mixed,,Global,cell_market,Resumed decline after 2022 spike.,https://about.bnef.com/insights/commodities/lithium-ion-battery-pack-prices-see-largest-drop-since-2017-falling-to-115-per-kilowatt-hour-bloombergnef/
