date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,cgr,Cougar,2.06,0.55,1.51,1551.52,1253.83,297.69,12.5
2023-01-01,2,2023-01-01T01:00,cgr,Cougar,2.06,0.55,1.51,1551.53,1253.85,297.68,12.5
2023-01-01,3,2023-01-01T02:00,cgr,Cougar,2.08,0.57,1.51,1551.54,1253.87,297.67,12.9
2023-01-01,4,2023-01-01T03:00,cgr,Cougar,2.08,0.55,1.51,1551.55,1253.83,297.72,12.5
2023-01-01,5,2023-01-01T04:00,cgr,Cougar,2.08,0.57,1.51,1551.57,1253.85,297.72,12.9
2023-01-01,6,2023-01-01T05:00,cgr,Cougar,2.08,0.57,1.51,1551.57,1253.86,297.71,12.9
2023-01-01,7,2023-01-01T06:00,cgr,Cougar,2.08,0.55,1.51,1551.56,1253.87,297.69,12.5
2023-01-01,8,2023-01-01T07:00,cgr,Cougar,2.06,0.57,1.51,1551.56,1253.86,297.7,12.9
2023-01-01,9,2023-01-01T08:00,cgr,Cougar,2.08,0.57,1.51,1551.55,1253.85,297.7,12.9
2023-01-01,10,2023-01-01T09:00,cgr,Cougar,2.06,0.55,1.51,1551.55,1253.84,297.71,12.5
2023-01-01,11,2023-01-01T10:00,cgr,Cougar,2.06,0.57,1.51,1551.53,1253.83,297.7,12.9
2023-01-01,12,2023-01-01T11:00,cgr,Cougar,2.08,0.57,1.51,1551.51,1253.85,297.66,12.9
2023-01-01,13,2023-01-01T12:00,cgr,Cougar,2.06,0.57,1.51,1551.5,1253.86,297.64,12.9
2023-01-01,14,2023-01-01T13:00,cgr,Cougar,2.06,0.55,1.51,1551.47,1253.85,297.62,12.5
2023-01-01,15,2023-01-01T14:00,cgr,Cougar,2.08,0.57,1.51,1551.44,1253.84,297.6,12.9
2023-01-01,16,2023-01-01T15:00,cgr,Cougar,2.06,0.55,1.51,1551.42,1253.84,297.58,12.5
2023-01-01,17,2023-01-01T16:00,cgr,Cougar,2.06,0.57,1.51,1551.39,1253.86,297.53,12.9
2023-01-01,18,2023-01-01T17:00,cgr,Cougar,2.06,0.55,1.51,1551.35,1253.84,297.51,12.5
2023-01-01,19,2023-01-01T18:00,cgr,Cougar,2.06,0.55,1.51,1551.32,1253.86,297.46,12.5
2023-01-01,20,2023-01-01T19:00,cgr,Cougar,2.06,0.55,1.51,1551.28,1253.84,297.44,12.5
2023-01-01,21,2023-01-01T20:00,cgr,Cougar,2.06,0.55,1.51,1551.24,1253.84,297.4,12.5
2023-01-01,22,2023-01-01T21:00,cgr,Cougar,2.06,0.585,1.475,1551.2,1253.84,297.36,13.3
2023-01-01,23,2023-01-01T22:00,cgr,Cougar,2.06,0.585,1.475,1551.15,1253.83,297.32,13.3
2023-01-01,24,2023-01-01T23:00,cgr,Cougar,2.06,0.585,1.475,1551.1,1253.82,297.28,13.3
2023-01-02,1,2023-01-02T00:00,cgr,Cougar,2.06,0.585,1.475,1551.05,1253.84,297.21,13.3
2023-01-02,2,2023-01-02T01:00,cgr,Cougar,2.06,0.585,1.475,1551.0,1253.83,297.17,13.3
2023-01-02,3,2023-01-02T02:00,cgr,Cougar,2.06,0.585,1.475,1550.94,1253.83,297.11,13.3
2023-01-02,4,2023-01-02T03:00,cgr,Cougar,2.06,0.585,1.475,1550.89,1253.83,297.06,13.3
2023-01-02,5,2023-01-02T04:00,cgr,Cougar,2.05,0.575,1.475,1550.83,1253.83,297.0,13.0
2023-01-02,6,2023-01-02T05:00,cgr,Cougar,2.06,0.585,1.475,1550.77,1253.84,296.93,13.3
2023-01-02,7,2023-01-02T06:00,cgr,Cougar,2.06,0.585,1.475,1550.71,1253.85,296.86,13.3
2023-01-02,8,2023-01-02T07:00,cgr,Cougar,2.05,0.585,1.475,1550.65,1253.83,296.82,13.2
2023-01-02,9,2023-01-02T08:00,cgr,Cougar,2.05,0.575,1.475,1550.58,1253.84,296.74,13.0
2023-01-02,10,2023-01-02T09:00,cgr,Cougar,2.05,0.575,1.475,1550.51,1253.82,296.69,13.0
2023-01-02,11,2023-01-02T10:00,cgr,Cougar,2.06,0.585,1.475,1550.43,1253.82,296.61,13.2
2023-01-02,12,2023-01-02T11:00,cgr,Cougar,2.05,0.575,1.475,1550.37,1253.85,296.52,13.0
2023-01-02,13,2023-01-02T12:00,cgr,Cougar,2.05,0.575,1.475,1550.3,1253.81,296.49,13.0
2023-01-02,14,2023-01-02T13:00,cgr,Cougar,2.05,0.575,1.475,1550.22,1253.83,296.39,13.0
2023-01-02,15,2023-01-02T14:00,cgr,Cougar,2.05,0.575,1.475,1550.14,1253.81,296.33,13.0
2023-01-02,16,2023-01-02T15:00,cgr,Cougar,2.05,0.575,1.475,1550.07,1253.83,296.24,13.0
