date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,det,Detroit,2.71,2.71,0.0,1501.52,1201.98,299.54,61.9
2023-01-01,2,2023-01-01T01:00,det,Detroit,2.7,2.7,0.0,1501.56,1202.32,299.24,61.6
2023-01-01,3,2023-01-01T02:00,det,Detroit,5.01,2.72,2.29,1501.56,1202.43,299.13,62.1
2023-01-01,4,2023-01-01T03:00,det,Detroit,5.0,2.71,2.29,1501.59,1202.67,298.92,61.8
2023-01-01,5,2023-01-01T04:00,det,Detroit,4.99,2.7,2.29,1501.55,1202.41,299.14,61.6
2023-01-01,6,2023-01-01T05:00,det,Detroit,5.02,2.73,2.29,1501.55,1202.82,298.73,62.2
2023-01-01,7,2023-01-01T06:00,det,Detroit,4.99,2.7,2.29,1501.55,1202.62,298.93,61.6
2023-01-01,8,2023-01-01T07:00,det,Detroit,5.11,2.72,2.39,1501.53,1202.94,298.59,62.0
2023-01-01,9,2023-01-01T08:00,det,Detroit,5.21,2.72,2.49,1501.49,1202.54,298.95,62.0
2023-01-01,10,2023-01-01T09:00,det,Detroit,5.19,2.7,2.49,1501.44,1202.68,298.76,61.5
2023-01-01,11,2023-01-01T10:00,det,Detroit,5.38,2.7,2.68,1501.42,1202.66,298.76,61.5
2023-01-01,12,2023-01-01T11:00,det,Detroit,5.4,2.72,2.68,1501.38,1202.89,298.49,61.9
2023-01-01,13,2023-01-01T12:00,det,Detroit,5.39,2.71,2.68,1501.36,1203.07,298.29,61.7
2023-01-01,14,2023-01-01T13:00,det,Detroit,5.4,2.72,2.68,1501.29,1202.71,298.58,62.0
2023-01-01,15,2023-01-01T14:00,det,Detroit,5.4,2.72,2.68,1501.24,1202.51,298.73,62.0
2023-01-01,16,2023-01-01T15:00,det,Detroit,5.4,2.72,2.68,1501.18,1203.09,298.09,61.9
2023-01-01,17,2023-01-01T16:00,det,Detroit,5.42,2.74,2.68,1501.14,1202.99,298.15,62.3
2023-01-01,18,2023-01-01T17:00,det,Detroit,5.37,2.7,2.67,1501.07,1203.25,297.82,61.4
2023-01-01,19,2023-01-01T18:00,det,Detroit,5.38,2.71,2.67,1501.03,1202.97,298.06,61.6
2023-01-01,20,2023-01-01T19:00,det,Detroit,5.37,2.7,2.67,1501.01,1202.44,298.57,61.5
2023-01-01,21,2023-01-01T20:00,det,Detroit,5.4,2.73,2.67,1500.95,1202.87,298.08,62.1
2023-01-01,22,2023-01-01T21:00,det,Detroit,5.4,2.73,2.67,1500.9,1203.13,297.77,62.0
2023-01-01,23,2023-01-01T22:00,det,Detroit,5.38,2.71,2.67,1500.81,1202.99,297.82,61.6
2023-01-01,24,2023-01-01T23:00,det,Detroit,5.38,2.71,2.67,1500.74,1202.85,297.89,61.6
2023-01-02,1,2023-01-02T00:00,det,Detroit,5.49,2.73,2.76,1500.7,1202.4,298.3,62.1
2023-01-02,2,2023-01-02T01:00,det,Detroit,5.5,2.74,2.76,1500.65,1202.6,298.05,62.3
2023-01-02,3,2023-01-02T02:00,det,Detroit,5.5,2.74,2.76,1500.58,1202.82,297.76,62.3
2023-01-02,4,2023-01-02T03:00,det,Detroit,5.5,2.74,2.76,1500.55,1202.78,297.77,62.3
2023-01-02,5,2023-01-02T04:00,det,Detroit,5.49,2.73,2.76,1500.47,1202.89,297.58,62.0
2023-01-02,6,2023-01-02T05:00,det,Detroit,5.49,2.73,2.76,1500.41,1202.89,297.52,62.0
2023-01-02,7,2023-01-02T06:00,det,Detroit,5.49,2.73,2.76,1500.32,1202.63,297.69,62.0
2023-01-02,8,2023-01-02T07:00,det,Detroit,5.5,2.74,2.76,1500.25,1202.86,297.39,62.2
2023-01-02,9,2023-01-02T08:00,det,Detroit,5.46,2.7,2.76,1500.15,1202.52,297.63,61.3
2023-01-02,10,2023-01-02T09:00,det,Detroit,5.47,2.71,2.76,1500.13,1202.6,297.53,61.5
2023-01-02,11,2023-01-02T10:00,det,Detroit,5.48,2.72,2.76,1500.07,1202.86,297.21,61.7
2023-01-02,12,2023-01-02T11:00,det,Detroit,5.48,2.72,2.76,1499.97,1202.58,297.39,61.7
2023-01-02,13,2023-01-02T12:00,det,Detroit,5.5,2.74,2.76,1499.92,1202.81,297.11,62.1
2023-01-02,14,2023-01-02T13:00,det,Detroit,5.48,2.72,2.76,1499.82,1202.77,297.05,61.6
2023-01-02,15,2023-01-02T14:00,det,Detroit,,,,1499.74,1202.76,296.98,
2023-01-02,16,2023-01-02T15:00,det,Detroit,5.49,2.74,2.75,1499.67,1203.01,296.66,62.0
2023-01-02,17,2023-01-02T16:00,det,Detroit,5.49,2.74,2.75,1499.57,1202.63,296.94,62.1
2023-01-02,18,2023-01-02T17:00,det,Detroit,,,,1499.52,1202.71,296.81,
2023-01-02,19,2023-01-02T18:00,det,Detroit,5.44,2.69,2.75,1499.46,1202.85,296.61,60.9
2023-01-02,20,2023-01-02T19:00,det,Detroit,5.47,2.72,2.75,1499.35,1202.67,296.68,61.6
2023-01-02,21,2023-01-02T20:00,det,Detroit,5.48,2.73,2.75,1499.3,1202.85,296.45,61.8
2023-01-02,22,2023-01-02T21:00,det,Detroit,5.47,2.72,2.75,1499.19,1202.45,296.74,61.6
2023-01-02,23,2023-01-02T22:00,det,Detroit,5.48,2.73,2.75,1499.13,1202.94,296.19,61.7
2023-01-02,24,2023-01-02T23:00,det,Detroit,5.46,2.71,2.75,1499.03,1202.59,296.44,61.3
2023-01-03,1,2023-01-03T00:00,det,Detroit,5.5,2.75,2.75,1498.94,1202.73,296.21,62.2
2023-01-03,2,2023-01-03T01:00,det,Detroit,5.5,2.75,2.75,1498.87,1202.52,296.35,62.2
2023-01-03,3,2023-01-03T02:00,det,Detroit,5.5,2.75,2.75,1498.78,1202.53,296.25,62.2
2023-01-03,4,2023-01-03T03:00,det,Detroit,5.51,2.76,2.75,1498.72,1203.09,295.63,62.3
2023-01-03,5,2023-01-03T04:00,det,Detroit,5.51,2.76,2.75,1498.63,1202.71,295.92,62.3
2023-01-03,6,2023-01-03T05:00,det,Detroit,5.52,2.77,2.75,1498.51,1203.02,295.49,62.5
2023-01-03,7,2023-01-03T06:00,det,Detroit,5.48,2.73,2.75,1498.41,1202.62,295.79,61.6
2023-01-03,8,2023-01-03T07:00,det,Detroit,5.47,2.73,2.74,1498.33,1202.69,295.64,61.6
2023-01-03,9,2023-01-03T08:00,det,Detroit,5.46,2.72,2.74,1498.25,1202.92,295.33,61.3
2023-01-03,10,2023-01-03T09:00,det,Detroit,5.46,2.72,2.74,1498.19,1202.9,295.29,61.3
2023-01-03,11,2023-01-03T10:00,det,Detroit,5.46,2.72,2.74,1498.08,1202.44,295.64,61.4
2023-01-03,12,2023-01-03T11:00,det,Detroit,5.48,2.74,2.74,1497.99,1202.6,295.39,61.8
2023-01-03,13,2023-01-03T12:00,det,Detroit,5.46,2.72,2.74,1497.87,1202.49,295.38,61.3
2023-01-03,14,2023-01-03T13:00,det,Detroit,5.5,2.76,2.74,1497.77,1202.73,295.04,62.1
2023-01-03,15,2023-01-03T14:00,det,Detroit,5.52,2.78,2.74,1497.69,1202.98,294.71,62.5
2023-01-03,16,2023-01-03T15:00,det,Detroit,5.5,2.76,2.74,1497.59,1202.68,294.91,62.1
2023-01-03,17,2023-01-03T16:00,det,Detroit,5.5,2.76,2.74,1497.5,1202.52,294.98,62.1
2023-01-03,18,2023-01-03T17:00,det,Detroit,5.47,2.73,2.74,1497.45,1202.55,294.9,61.4
2023-01-03,19,2023-01-03T18:00,det,Detroit,5.52,2.73,2.79,1497.34,1202.95,294.39,61.3
2023-01-03,20,2023-01-03T19:00,det,Detroit,5.53,2.74,2.79,1497.22,1202.6,294.62,61.6
2023-01-03,21,2023-01-03T20:00,det,Detroit,5.52,2.73,2.79,1497.13,1202.52,294.61,61.4
2023-01-03,22,2023-01-03T21:00,det,Detroit,5.52,2.73,2.79,1497.03,1202.63,294.4,61.3
2023-01-03,23,2023-01-03T22:00,det,Detroit,5.5,2.71,2.79,1496.93,1202.6,294.33,60.9
2023-01-03,24,2023-01-03T23:00,det,Detroit,5.53,2.74,2.79,1496.81,1202.84,293.97,61.5
