date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,fos,Foster,7.2,3.0,3.53,616.42,530.74,85.68,19.6
2023-01-01,2,2023-01-01T01:00,fos,Foster,7.09,3.0,3.46,616.4,530.69,85.71,19.6
2023-01-01,3,2023-01-01T02:00,fos,Foster,7.05,3.0,3.41,616.39,530.73,85.66,19.6
2023-01-01,4,2023-01-01T03:00,fos,Foster,7.05,3.0,3.43,616.38,530.69,85.69,19.6
2023-01-01,5,2023-01-01T04:00,fos,Foster,7.05,3.0,3.42,616.37,530.67,85.7,19.6
2023-01-01,6,2023-01-01T05:00,fos,Foster,7.03,3.0,3.44,616.36,530.66,85.7,19.6
2023-01-01,7,2023-01-01T06:00,fos,Foster,6.98,3.0,3.36,616.34,530.63,85.71,19.6
2023-01-01,8,2023-01-01T07:00,fos,Foster,6.94,3.0,3.38,616.33,530.59,85.74,19.6
2023-01-01,9,2023-01-01T08:00,fos,Foster,6.96,3.0,3.38,616.32,530.67,85.65,19.6
2023-01-01,10,2023-01-01T09:00,fos,Foster,6.94,3.0,3.38,616.3,530.6,85.7,19.6
2023-01-01,11,2023-01-01T10:00,fos,Foster,6.93,3.0,3.35,616.27,530.59,85.68,19.6
2023-01-01,12,2023-01-01T11:00,fos,Foster,6.96,3.0,3.4,616.24,530.64,85.6,19.6
2023-01-01,13,2023-01-01T12:00,fos,Foster,6.93,3.0,3.38,616.22,530.58,85.64,19.6
2023-01-01,14,2023-01-01T13:00,fos,Foster,6.93,3.0,3.38,616.2,530.62,85.58,19.6
2023-01-01,15,2023-01-01T14:00,fos,Foster,6.93,3.0,3.4,616.17,530.6,85.57,19.6
2023-01-01,16,2023-01-01T15:00,fos,Foster,6.93,3.0,3.37,616.14,530.61,85.53,19.6
2023-01-01,17,2023-01-01T16:00,fos,Foster,6.93,3.0,3.4,616.11,530.6,85.51,19.6
