date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,gpr,Green Peter,4.3,4.3,0.0,942.33,702.38,239.95,78.7
2023-01-01,2,2023-01-01T01:00,gpr,Green Peter,4.3,4.3,0.0,942.32,702.37,239.95,78.7
2023-01-01,3,2023-01-01T02:00,gpr,Green Peter,4.3,4.3,0.0,942.32,702.41,239.91,78.7
2023-01-01,4,2023-01-01T03:00,gpr,Green Peter,4.3,4.3,0.0,942.3,702.4,239.9,78.7
2023-01-01,5,2023-01-01T04:00,gpr,Green Peter,4.26,4.26,0.0,942.32,702.36,239.96,78.0
2023-01-01,6,2023-01-01T05:00,gpr,Green Peter,4.31,4.31,0.0,942.31,702.39,239.92,78.9
2023-01-01,7,2023-01-01T06:00,gpr,Green Peter,4.31,4.31,0.0,942.28,702.46,239.82,78.9
2023-01-01,8,2023-01-01T07:00,gpr,Green Peter,4.31,4.31,0.0,942.26,702.44,239.82,78.9
2023-01-01,9,2023-01-01T08:00,gpr,Green Peter,4.26,4.26,0.0,942.24,702.43,239.81,77.9
2023-01-01,10,2023-01-01T09:00,gpr,Green Peter,4.26,4.26,0.0,942.21,702.42,239.79,77.9
2023-01-01,11,2023-01-01T10:00,gpr,Green Peter,4.31,4.31,0.0,942.19,702.41,239.78,78.9
2023-01-01,12,2023-01-01T11:00,gpr,Green Peter,4.26,4.26,0.0,942.17,702.49,239.68,77.9
2023-01-01,13,2023-01-01T12:00,gpr,Green Peter,4.31,4.31,0.0,942.14,702.41,239.73,78.8
2023-01-01,14,2023-01-01T13:00,gpr,Green Peter,4.31,4.31,0.0,942.12,702.36,239.76,78.8
2023-01-01,15,2023-01-01T14:00,gpr,Green Peter,4.31,4.31,0.0,942.08,702.4,239.68,78.8
2023-01-01,16,2023-01-01T15:00,gpr,Green Peter,4.31,4.31,0.0,942.04,702.46,239.58,78.8
2023-01-01,17,2023-01-01T16:00,gpr,Green Peter,4.31,4.31,0.0,942.02,702.36,239.66,78.8
2023-01-01,18,2023-01-01T17:00,gpr,Green Peter,4.31,4.31,0.0,941.98,702.43,239.55,78.8
2023-01-01,19,2023-01-01T18:00,gpr,Green Peter,4.87,4.27,0.6,941.95,702.85,239.1,77.9
2023-01-01,20,2023-01-01T19:00,gpr,Green Peter,4.92,4.32,0.6,941.89,702.96,238.93,78.8
2023-01-01,21,2023-01-01T20:00,gpr,Green Peter,4.92,4.32,0.6,941.83,702.93,238.9,78.7
2023-01-01,22,2023-01-01T21:00,gpr,Green Peter,4.87,4.27,0.6,941.78,702.95,238.83,77.8
2023-01-01,23,2023-01-01T22:00,gpr,Green Peter,4.87,4.27,0.6,941.74,702.96,238.78,77.8
2023-01-01,24,2023-01-01T23:00,gpr,Green Peter,4.92,4.32,0.6,941.67,702.94,238.73,78.7
2023-01-02,1,2023-01-02T00:00,gpr,Green Peter,4.88,4.28,0.6,941.62,702.85,238.77,78.0
2023-01-02,2,2023-01-02T01:00,gpr,Green Peter,4.88,4.28,0.6,941.57,702.93,238.64,77.9
2023-01-02,3,2023-01-02T02:00,gpr,Green Peter,4.88,4.28,0.6,941.52,702.97,238.55,77.9
2023-01-02,4,2023-01-02T03:00,gpr,Green Peter,4.93,4.33,0.6,941.45,702.95,238.5,78.8
2023-01-02,5,2023-01-02T04:00,gpr,Green Peter,4.88,4.28,0.6,941.38,702.85,238.53,77.9
2023-01-02,6,2023-01-02T05:00,gpr,Green Peter,4.88,4.28,0.6,941.31,702.98,238.33,77.8
2023-01-02,7,2023-01-02T06:00,gpr,Green Peter,4.93,4.33,0.6,941.25,702.93,238.32,78.7
2023-01-02,8,2023-01-02T07:00,gpr,Green Peter,4.93,4.33,0.6,941.2,702.91,238.29,78.7
2023-01-02,9,2023-01-02T08:00,gpr,Green Peter,4.83,4.23,0.6,941.12,702.84,238.28,76.9
2023-01-02,10,2023-01-02T09:00,gpr,Green Peter,4.84,4.24,0.6,941.06,702.93,238.13,77.0
2023-01-02,11,2023-01-02T10:00,gpr,Green Peter,4.94,4.34,0.6,941.0,702.95,238.05,78.8
2023-01-02,12,2023-01-02T11:00,gpr,Green Peter,4.89,4.29,0.6,940.92,702.96,237.96,77.9
2023-01-02,13,2023-01-02T12:00,gpr,Green Peter,4.89,4.29,0.6,940.86,702.93,237.93,77.9
2023-01-02,14,2023-01-02T13:00,gpr,Green Peter,4.89,4.29,0.6,940.79,702.83,237.96,77.9
2023-01-02,15,2023-01-02T14:00,gpr,Green Peter,4.84,4.24,0.6,940.65,702.83,237.82,76.9
2023-01-02,16,2023-01-02T15:00,gpr,Green Peter,4.94,4.34,0.6,940.63,702.92,237.71,78.7
2023-01-02,17,2023-01-02T16:00,gpr,Green Peter,4.85,4.25,0.6,940.56,702.91,237.65,77.1
2023-01-02,18,2023-01-02T17:00,gpr,Green Peter,4.85,,,940.48,702.87,237.61,
2023-01-02,19,2023-01-02T18:00,gpr,Green Peter,4.85,4.25,0.6,940.4,702.8,237.6,77.0
2023-01-02,20,2023-01-02T19:00,gpr,Green Peter,4.9,4.3,0.6,940.31,702.92,237.39,77.9
2023-01-02,21,2023-01-02T20:00,gpr,Green Peter,4.9,4.3,0.6,940.24,702.89,237.35,77.9
2023-01-02,22,2023-01-02T21:00,gpr,Green Peter,4.85,4.25,0.6,940.17,702.88,237.29,76.9
2023-01-02,23,2023-01-02T22:00,gpr,Green Peter,4.85,4.25,0.6,940.08,702.81,237.27,76.9
2023-01-02,24,2023-01-02T23:00,gpr,Green Peter,4.85,4.25,0.6,940.02,702.89,237.13,76.9
2023-01-03,1,2023-01-03T00:00,gpr,Green Peter,4.91,4.31,0.6,939.94,702.89,237.05,78.0
2023-01-03,2,2023-01-03T01:00,gpr,Green Peter,4.86,4.26,0.6,939.87,702.9,236.97,77.0
2023-01-03,3,2023-01-03T02:00,gpr,Green Peter,4.86,4.26,0.6,939.8,702.85,236.95,77.0
2023-01-03,4,2023-01-03T03:00,gpr,Green Peter,4.86,4.26,0.6,939.7,702.96,236.74,76.9
2023-01-03,5,2023-01-03T04:00,gpr,Green Peter,4.86,4.26,0.6,939.62,702.85,236.77,77.0
2023-01-03,6,2023-01-03T05:00,gpr,Green Peter,4.86,4.26,0.6,939.54,702.84,236.7,76.9
2023-01-03,7,2023-01-03T06:00,gpr,Green Peter,4.91,4.31,0.6,939.47,702.95,236.52,77.8
2023-01-03,8,2023-01-03T07:00,gpr,Green Peter,4.86,4.26,0.6,939.38,702.85,236.53,76.9
2023-01-03,9,2023-01-03T08:00,gpr,Green Peter,4.81,4.21,0.6,939.31,702.83,236.48,76.0
2023-01-03,10,2023-01-03T09:00,gpr,Green Peter,4.81,4.21,0.6,939.22,702.86,236.36,75.9
2023-01-03,11,2023-01-03T10:00,gpr,Green Peter,4.87,4.27,0.6,939.13,702.84,236.29,77.0
2023-01-03,12,2023-01-03T11:00,gpr,Green Peter,4.87,4.27,0.6,939.04,702.84,236.2,77.0
2023-01-03,13,2023-01-03T12:00,gpr,Green Peter,4.77,4.17,0.6,938.97,702.88,236.09,75.1
2023-01-03,14,2023-01-03T13:00,gpr,Green Peter,4.87,4.27,0.6,938.86,702.9,235.96,76.9
2023-01-03,15,2023-01-03T14:00,gpr,Green Peter,4.88,4.28,0.6,938.77,702.88,235.89,77.0
2023-01-03,16,2023-01-03T15:00,gpr,Green Peter,4.98,4.38,0.6,938.7,702.79,235.91,78.8
2023-01-03,17,2023-01-03T16:00,gpr,Green Peter,4.88,4.28,0.6,938.62,702.83,235.79,77.0
2023-01-03,18,2023-01-03T17:00,gpr,Green Peter,4.83,4.23,0.6,938.54,702.89,235.65,76.1
2023-01-03,19,2023-01-03T18:00,gpr,Green Peter,4.83,4.23,0.6,938.46,702.85,235.61,76.0
2023-01-03,20,2023-01-03T19:00,gpr,Green Peter,4.83,4.23,0.6,938.38,702.81,235.57,76.0
2023-01-03,21,2023-01-03T20:00,gpr,Green Peter,4.78,4.18,0.6,938.3,702.81,235.49,75.1
2023-01-03,22,2023-01-03T21:00,gpr,Green Peter,4.83,4.23,0.6,938.21,702.79,235.42,76.0
2023-01-03,23,2023-01-03T22:00,gpr,Green Peter,4.83,4.23,0.6,938.13,702.76,235.37,76.0
2023-01-03,24,2023-01-03T23:00,gpr,Green Peter,4.79,4.19,0.6,938.04,702.79,235.25,75.2
2023-01-04,1,2023-01-04T00:00,gpr,Green Peter,4.79,4.19,0.6,937.96,702.86,235.1,75.2
2023-01-04,2,2023-01-04T01:00,gpr,Green Peter,4.84,4.24,0.6,937.87,702.88,234.99,76.0
2023-01-04,3,2023-01-04T02:00,gpr,Green Peter,4.84,4.24,0.6,937.8,702.82,234.98,76.0
2023-01-04,4,2023-01-04T03:00,gpr,Green Peter,4.84,4.24,0.6,937.69,702.85,234.84,76.0
2023-01-04,5,2023-01-04T04:00,gpr,Green Peter,4.85,4.25,0.6,937.6,702.84,234.76,76.1
2023-01-04,6,2023-01-04T05:00,gpr,Green Peter,4.85,4.25,0.6,937.52,702.78,234.74,76.1
2023-01-04,7,2023-01-04T06:00,gpr,Green Peter,4.85,4.25,0.6,937.42,702.86,234.56,76.1
2023-01-04,8,2023-01-04T07:00,gpr,Green Peter,4.85,4.25,0.6,937.31,702.78,234.53,76.1
2023-01-04,9,2023-01-04T08:00,gpr,Green Peter,4.85,4.25,0.6,937.24,702.74,234.5,76.0
2023-01-04,10,2023-01-04T09:00,gpr,Green Peter,4.85,4.25,0.6,937.14,702.85,234.29,76.0
2023-01-04,11,2023-01-04T10:00,gpr,Green Peter,4.85,4.25,0.6,937.04,702.79,234.25,76.0
2023-01-04,12,2023-01-04T11:00,gpr,Green Peter,4.85,4.25,0.6,936.96,702.81,234.15,75.9
2023-01-04,13,2023-01-04T12:00,gpr,Green Peter,4.86,4.26,0.6,936.86,736.95,199.91,65.0
2023-01-04,14,2023-01-04T13:00,gpr,Green Peter,4.86,4.26,0.6,936.75,702.86,233.89,76.0
2023-01-04,15,2023-01-04T14:00,gpr,Green Peter,4.86,4.26,0.6,936.66,702.86,233.8,76.0
2023-01-04,16,2023-01-04T15:00,gpr,Green Peter,4.88,4.28,0.6,936.57,702.77,233.8,76.4
2023-01-04,17,2023-01-04T16:00,gpr,Green Peter,4.73,4.13,0.6,936.49,702.59,233.9,73.7
2023-01-04,18,2023-01-04T17:00,gpr,Green Peter,4.73,4.13,0.6,936.4,702.68,233.72,73.6
2023-01-04,19,2023-01-04T18:00,gpr,Green Peter,4.63,4.03,0.6,936.31,702.61,233.7,71.9
2023-01-04,20,2023-01-04T19:00,gpr,Green Peter,4.68,4.08,0.6,936.22,702.61,233.61,72.7
2023-01-04,21,2023-01-04T20:00,gpr,Green Peter,4.68,4.08,0.6,936.14,702.59,233.55,72.7
2023-01-04,22,2023-01-04T21:00,gpr,Green Peter,4.68,4.08,0.6,936.08,702.64,233.44,72.7
2023-01-04,23,2023-01-04T22:00,gpr,Green Peter,4.63,4.03,0.6,935.99,702.55,233.44,71.8
2023-01-04,24,2023-01-04T23:00,gpr,Green Peter,4.64,4.04,0.6,935.9,702.62,233.28,71.9
2023-01-05,1,2023-01-05T00:00,gpr,Green Peter,4.74,4.14,0.6,935.82,702.67,233.15,73.6
2023-01-05,2,2023-01-05T01:00,gpr,Green Peter,4.69,4.09,0.6,935.73,702.6,233.13,72.8
2023-01-05,3,2023-01-05T02:00,gpr,Green Peter,4.69,4.09,0.6,935.63,702.58,233.05,72.7
2023-01-05,4,2023-01-05T03:00,gpr,Green Peter,4.69,4.09,0.6,935.56,702.69,232.87,72.7
2023-01-05,5,2023-01-05T04:00,gpr,Green Peter,4.69,4.09,0.6,935.47,702.62,232.85,72.7
2023-01-05,6,2023-01-05T05:00,gpr,Green Peter,4.64,4.04,0.6,935.41,702.61,232.8,71.8
2023-01-05,7,2023-01-05T06:00,gpr,Green Peter,4.75,4.15,0.6,935.31,702.62,232.69,73.7
2023-01-05,8,2023-01-05T07:00,gpr,Green Peter,4.64,4.04,0.6,935.21,702.54,232.67,71.7
2023-01-05,9,2023-01-05T08:00,gpr,Green Peter,4.7,4.1,0.6,935.13,702.66,232.47,72.7
2023-01-05,10,2023-01-05T09:00,gpr,Green Peter,4.65,4.05,0.6,935.04,702.53,232.51,71.8
2023-01-05,11,2023-01-05T10:00,gpr,Green Peter,4.65,4.05,0.6,934.95,702.58,232.37,71.8
