date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,hcr,Hills Creek,1.57,1.58,0.0,1464.81,1226.42,238.39,28.7
2023-01-01,2,2023-01-01T01:00,hcr,Hills Creek,1.57,1.57,0.0,1464.87,1226.41,238.46,28.6
2023-01-01,3,2023-01-01T02:00,hcr,Hills Creek,1.58,1.58,0.0,1464.93,1226.43,238.5,28.8
2023-01-01,4,2023-01-01T03:00,hcr,Hills Creek,1.58,1.57,0.0,1464.99,1226.46,238.53,28.6
2023-01-01,5,2023-01-01T04:00,hcr,Hills Creek,1.58,1.58,0.0,1465.05,1226.44,238.61,28.8
2023-01-01,6,2023-01-01T05:00,hcr,Hills Creek,1.58,1.58,0.0,1465.1,1226.52,238.58,28.8
2023-01-01,7,2023-01-01T06:00,hcr,Hills Creek,1.58,1.58,0.0,1465.15,1226.55,238.6,28.8
2023-01-01,8,2023-01-01T07:00,hcr,Hills Creek,1.58,1.59,0.0,1465.2,1226.48,238.72,29.0
2023-01-01,9,2023-01-01T08:00,hcr,Hills Creek,1.59,1.59,0.0,1465.25,1226.56,238.69,29.0
2023-01-01,10,2023-01-01T09:00,hcr,Hills Creek,1.57,1.57,0.0,1465.29,1226.46,238.83,28.6
2023-01-01,11,2023-01-01T10:00,hcr,Hills Creek,1.92,1.57,0.35,1465.32,1226.59,238.73,28.6
2023-01-01,12,2023-01-01T11:00,hcr,Hills Creek,1.93,1.57,0.35,1465.35,1226.72,238.63,28.6
2023-01-01,13,2023-01-01T12:00,hcr,Hills Creek,2.13,1.58,0.55,1465.36,1226.71,238.65,28.8
2023-01-01,14,2023-01-01T13:00,hcr,Hills Creek,2.15,1.6,0.55,1465.37,1226.81,238.56,29.1
2023-01-01,15,2023-01-01T14:00,hcr,Hills Creek,2.15,1.58,0.55,1465.37,1226.81,238.56,28.8
2023-01-01,16,2023-01-01T15:00,hcr,Hills Creek,2.15,1.58,0.55,1465.39,1226.81,238.58,28.8
2023-01-01,17,2023-01-01T16:00,hcr,Hills Creek,2.16,1.61,0.55,1465.39,1226.83,238.56,29.3
2023-01-01,18,2023-01-01T17:00,hcr,Hills Creek,2.13,1.58,0.55,1465.4,1226.74,238.66,28.8
2023-01-01,19,2023-01-01T18:00,hcr,Hills Creek,2.13,1.58,0.55,1465.4,1226.77,238.63,28.8
2023-01-01,20,2023-01-01T19:00,hcr,Hills Creek,2.13,1.6,0.55,1465.41,1226.78,238.63,29.1
2023-01-01,21,2023-01-01T20:00,hcr,Hills Creek,2.15,1.6,0.55,1465.41,1226.81,238.6,29.1
2023-01-01,22,2023-01-01T21:00,hcr,Hills Creek,2.13,1.66,0.55,1465.41,1227.17,238.24,30.2
