date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.99,3074.01,458.98,73.5
2023-01-01,2,2023-01-01T01:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.97,3074.0,458.97,73.5
2023-01-01,3,2023-01-01T02:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.97,3074.0,458.97,73.5
2023-01-01,4,2023-01-01T03:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.97,3074.01,458.96,73.5
2023-01-01,5,2023-01-01T04:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.96,3074.01,458.95,73.5
2023-01-01,6,2023-01-01T05:00,hgh,Hungry Horse,2.1,2.1,0.0,3533.1,3074.01,459.09,73.6
2023-01-01,7,2023-01-01T06:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.98,3074.04,458.94,73.5
2023-01-01,8,2023-01-01T07:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.98,3074.01,458.97,73.5
2023-01-01,9,2023-01-01T08:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.98,3074.01,458.97,73.5
2023-01-01,10,2023-01-01T09:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.98,3074.01,458.97,73.5
2023-01-01,11,2023-01-01T10:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.96,3074.01,458.95,73.5
2023-01-01,12,2023-01-01T11:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.96,3074.04,458.92,73.5
2023-01-01,13,2023-01-01T12:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.96,3074.01,458.95,73.5
2023-01-01,14,2023-01-01T13:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.96,3074.01,458.95,73.5
2023-01-01,15,2023-01-01T14:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.96,3074.04,458.92,73.5
2023-01-01,16,2023-01-01T15:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.98,3074.04,458.94,73.5
2023-01-01,17,2023-01-01T16:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.96,3074.01,458.95,73.5
2023-01-01,18,2023-01-01T17:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.9,3074.05,458.85,73.5
2023-01-01,19,2023-01-01T18:00,hgh,Hungry Horse,2.2,2.2,0.0,3532.91,3074.03,458.88,77.0
2023-01-01,20,2023-01-01T19:00,hgh,Hungry Horse,2.2,2.2,0.0,3532.89,3074.04,458.85,77.0
2023-01-01,21,2023-01-01T20:00,hgh,Hungry Horse,2.2,2.2,0.0,3532.9,3074.05,458.85,77.0
2023-01-01,22,2023-01-01T21:00,hgh,Hungry Horse,2.2,2.2,0.0,3532.88,3074.05,458.83,77.0
2023-01-01,23,2023-01-01T22:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.88,3074.05,458.83,73.5
2023-01-01,24,2023-01-01T23:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.88,3074.07,458.81,73.5
2023-01-02,1,2023-01-02T00:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.86,3074.04,458.82,73.5
2023-01-02,2,2023-01-02T01:00,hgh,Hungry Horse,2.2,2.2,0.0,3532.87,3074.05,458.82,77.0
2023-01-02,3,2023-01-02T02:00,hgh,Hungry Horse,2.2,2.2,0.0,3532.85,3074.05,458.8,77.0
2023-01-02,4,2023-01-02T03:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.87,3074.03,458.84,73.5
2023-01-02,5,2023-01-02T04:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.85,3074.06,458.79,73.5
2023-01-02,6,2023-01-02T05:00,hgh,Hungry Horse,2.2,2.2,0.0,3532.96,3074.07,458.89,77.0
2023-01-02,7,2023-01-02T06:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.98,3074.0,458.98,73.5
2023-01-02,8,2023-01-02T07:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.98,3074.07,458.91,73.5
2023-01-02,9,2023-01-02T08:00,hgh,Hungry Horse,2.2,2.2,0.0,3532.96,3074.05,458.91,77.0
2023-01-02,10,2023-01-02T09:00,hgh,Hungry Horse,2.2,2.2,0.0,3532.98,3074.07,458.91,77.0
2023-01-02,11,2023-01-02T10:00,hgh,Hungry Horse,2.2,2.2,0.0,3532.96,3074.1,458.86,77.0
2023-01-02,12,2023-01-02T11:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.95,3074.07,458.88,73.5
2023-01-02,13,2023-01-02T12:00,hgh,Hungry Horse,2.1,2.1,0.0,3532.95,3074.05,458.9,73.5
2023-01-02,14,2023-01-02T13:00,hgh,Hungry Horse,2.2,2.2,0.0,3532.96,3074.05,458.91,77.0
2023-01-02,15,2023-01-02T14:00,hgh,Hungry Horse,2.2,2.2,0.0,3532.96,3074.05,458.91,77.0
2023-01-02,16,2023-01-02T15:00,hgh,Hungry Horse,2.2,2.2,0.0,3532.95,3074.05,458.9,77.0
2023-01-02,17,2023-01-02T16:00,hgh,Hungry Horse,2.2,2.2,0.0,3532.78,3074.04,458.74,77.0
