date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,ihr,Ice Harbor,23.4,23.1,0.0,439.13,339.31,99.82,175.9
2023-01-01,2,2023-01-01T01:00,ihr,Ice Harbor,11.7,11.4,0.0,438.96,338.88,100.08,87.1
2023-01-01,3,2023-01-01T02:00,ihr,Ice Harbor,11.7,11.4,0.0,439.0,339.14,99.86,86.9
2023-01-01,4,2023-01-01T03:00,ihr,Ice Harbor,11.7,11.4,0.0,439.14,339.04,100.1,87.1
2023-01-01,5,2023-01-01T04:00,ihr,Ice Harbor,11.7,11.4,0.0,439.07,339.18,99.89,86.9
2023-01-01,6,2023-01-01T05:00,ihr,Ice Harbor,12.0,11.7,0.0,439.14,339.25,99.89,89.2
2023-01-01,7,2023-01-01T06:00,ihr,Ice Harbor,23.9,23.6,0.0,438.9,340.36,98.54,177.4
2023-01-01,8,2023-01-01T07:00,ihr,Ice Harbor,35.8,35.5,0.0,439.06,341.08,97.98,265.4
2023-01-01,9,2023-01-01T08:00,ihr,Ice Harbor,37.3,35.5,0.0,438.92,340.93,97.99,265.4
2023-01-01,10,2023-01-01T09:00,ihr,Ice Harbor,35.7,35.4,0.0,438.86,341.24,97.62,263.7
2023-01-01,11,2023-01-01T10:00,ihr,Ice Harbor,35.6,35.3,0.0,438.9,340.87,98.03,264.0
2023-01-01,12,2023-01-01T11:00,ihr,Ice Harbor,25.8,25.5,0.0,438.92,339.75,99.17,193.0
2023-01-01,13,2023-01-01T12:00,ihr,Ice Harbor,24.4,24.1,0.0,438.98,339.79,99.19,182.4
2023-01-01,14,2023-01-01T13:00,ihr,Ice Harbor,26.0,24.2,0.0,439.23,339.94,99.29,183.3
2023-01-01,15,2023-01-01T14:00,ihr,Ice Harbor,24.5,24.2,0.0,439.31,339.89,99.42,183.6
2023-01-01,16,2023-01-01T15:00,ihr,Ice Harbor,24.7,24.4,0.0,439.14,340.11,99.03,184.4
2023-01-01,17,2023-01-01T16:00,ihr,Ice Harbor,35.5,35.2,0.0,439.1,341.05,98.05,263.3
2023-01-01,18,2023-01-01T17:00,ihr,Ice Harbor,37.2,35.4,0.0,439.1,340.97,98.13,265.1
2023-01-01,19,2023-01-01T18:00,ihr,Ice Harbor,37.3,35.5,0.0,439.14,340.92,98.22,266.0
2023-01-01,20,2023-01-01T19:00,ihr,Ice Harbor,35.8,35.5,0.0,439.08,340.93,98.15,265.9
2023-01-01,21,2023-01-01T20:00,ihr,Ice Harbor,35.7,35.4,0.0,439.07,340.9,98.17,265.2
2023-01-01,22,2023-01-01T21:00,ihr,Ice Harbor,35.4,35.1,0.0,439.04,340.56,98.48,263.7
2023-01-01,23,2023-01-01T22:00,ihr,Ice Harbor,24.3,24.0,0.0,439.16,339.75,99.41,182.0
2023-01-01,24,2023-01-01T23:00,ihr,Ice Harbor,22.6,22.3,0.0,439.1,339.1,100.0,170.1
2023-01-02,1,2023-01-02T00:00,ihr,Ice Harbor,11.6,11.3,0.0,439.17,338.95,100.22,86.4
2023-01-02,2,2023-01-02T01:00,ihr,Ice Harbor,11.7,11.4,0.0,439.17,339.22,99.95,86.9
2023-01-02,3,2023-01-02T02:00,ihr,Ice Harbor,11.7,11.4,0.0,439.29,339.05,100.24,87.2
2023-01-02,4,2023-01-02T03:00,ihr,Ice Harbor,11.6,11.3,0.0,439.29,339.18,100.11,86.3
2023-01-02,5,2023-01-02T04:00,ihr,Ice Harbor,12.3,12.0,0.0,439.19,339.49,99.7,91.3
2023-01-02,6,2023-01-02T05:00,ihr,Ice Harbor,24.2,23.9,0.0,439.16,340.56,98.6,179.8
2023-01-02,7,2023-01-02T06:00,ihr,Ice Harbor,35.6,35.3,0.0,438.98,340.98,98.0,264.0
2023-01-02,8,2023-01-02T07:00,ihr,Ice Harbor,36.3,36.0,0.0,439.1,340.94,98.16,269.6
2023-01-02,9,2023-01-02T08:00,ihr,Ice Harbor,36.7,36.4,0.0,439.09,341.34,97.75,271.5
2023-01-02,10,2023-01-02T09:00,ihr,Ice Harbor,50.1,49.8,0.0,438.94,342.48,96.46,366.5
2023-01-02,11,2023-01-02T10:00,ihr,Ice Harbor,51.0,50.7,0.0,439.1,342.54,96.56,373.5
