date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,lop,Lookout Point,0.0,0.0,0.0,841.64,691.8,149.84,0.0
2023-01-01,2,2023-01-01T01:00,lop,Lookout Point,5.69,5.69,0.0,841.69,692.21,149.48,64.9
2023-01-01,3,2023-01-01T02:00,lop,Lookout Point,5.89,5.89,0.0,841.71,692.33,149.38,67.1
2023-01-01,4,2023-01-01T03:00,lop,Lookout Point,5.79,5.79,0.0,841.73,692.49,149.24,65.9
2023-01-01,5,2023-01-01T04:00,lop,Lookout Point,5.9,5.9,0.0,841.76,692.64,149.12,67.1
2023-01-01,6,2023-01-01T05:00,lop,Lookout Point,5.81,5.81,0.0,841.78,692.71,149.07,66.1
2023-01-01,7,2023-01-01T06:00,lop,Lookout Point,5.91,5.91,0.0,841.78,692.74,149.04,67.2
2023-01-01,8,2023-01-01T07:00,lop,Lookout Point,5.91,5.91,0.0,841.79,692.83,148.96,67.2
2023-01-01,9,2023-01-01T08:00,lop,Lookout Point,6.51,6.51,0.0,841.8,692.92,148.88,74.0
2023-01-01,10,2023-01-01T09:00,lop,Lookout Point,6.41,5.91,0.5,841.79,692.97,148.82,67.1
2023-01-01,11,2023-01-01T10:00,lop,Lookout Point,6.32,5.82,0.5,841.78,692.97,148.81,66.1
2023-01-01,12,2023-01-01T11:00,lop,Lookout Point,6.22,5.72,0.5,841.77,692.95,148.82,65.0
2023-01-01,13,2023-01-01T12:00,lop,Lookout Point,6.42,5.92,0.5,841.76,692.94,148.82,67.2
2023-01-01,14,2023-01-01T13:00,lop,Lookout Point,6.51,6.01,0.5,841.75,692.9,148.85,68.3
2023-01-01,15,2023-01-01T14:00,lop,Lookout Point,6.32,5.82,0.5,841.75,692.87,148.88,66.1
2023-01-01,16,2023-01-01T15:00,lop,Lookout Point,6.22,5.72,0.5,841.75,692.84,148.91,65.0
2023-01-01,17,2023-01-01T16:00,lop,Lookout Point,6.51,6.01,0.5,841.75,692.82,148.93,68.3
2023-01-01,18,2023-01-01T17:00,lop,Lookout Point,6.5,6.0,0.5,841.75,692.79,148.96,68.2
2023-01-01,19,2023-01-01T18:00,lop,Lookout Point,6.59,5.71,0.88,841.73,692.81,148.92,64.9
2023-01-01,20,2023-01-01T19:00,lop,Lookout Point,6.69,5.81,0.88,841.72,692.82,148.9,66.0
2023-01-01,21,2023-01-01T20:00,lop,Lookout Point,6.79,5.91,0.88,841.71,692.8,148.91,67.1
2023-01-01,22,2023-01-01T21:00,lop,Lookout Point,7.17,5.81,1.36,841.68,692.86,148.82,66.0
2023-01-01,23,2023-01-01T22:00,lop,Lookout Point,7.08,5.72,1.36,841.64,692.84,148.8,64.9
2023-01-01,24,2023-01-01T23:00,lop,Lookout Point,7.61,5.91,1.7,841.61,692.93,148.68,67.0
2023-01-02,1,2023-01-02T00:00,lop,Lookout Point,7.62,5.92,1.7,841.56,692.98,148.58,67.1
2023-01-02,2,2023-01-02T01:00,lop,Lookout Point,7.62,5.92,1.7,841.51,692.96,148.55,67.1
2023-01-02,3,2023-01-02T02:00,lop,Lookout Point,7.53,5.73,1.8,841.47,692.98,148.49,64.9
2023-01-02,4,2023-01-02T03:00,lop,Lookout Point,7.63,5.83,1.8,841.41,692.98,148.43,66.0
2023-01-02,5,2023-01-02T04:00,lop,Lookout Point,7.73,5.93,1.8,841.38,692.94,148.44,67.2
2023-01-02,6,2023-01-02T05:00,lop,Lookout Point,5.83,4.03,1.8,841.31,692.94,148.37,45.6
2023-01-02,7,2023-01-02T06:00,lop,Lookout Point,5.74,3.94,1.8,841.27,692.93,148.34,44.6
2023-01-02,8,2023-01-02T07:00,lop,Lookout Point,5.84,4.04,1.8,841.19,693.1,148.09,45.6
2023-01-02,9,2023-01-02T08:00,lop,Lookout Point,7.74,5.94,1.8,841.1,693.14,147.96,67.1
2023-01-02,10,2023-01-02T09:00,lop,Lookout Point,7.56,5.76,1.8,841.03,693.13,147.9,65.0
2023-01-02,11,2023-01-02T10:00,lop,Lookout Point,7.86,5.86,2.0,840.94,693.16,147.78,66.1
2023-01-02,12,2023-01-02T11:00,lop,Lookout Point,7.76,5.76,2.0,840.85,693.16,147.69,64.9
2023-01-02,13,2023-01-02T12:00,lop,Lookout Point,7.68,5.68,2.0,840.76,693.18,147.58,64.0
2023-01-02,14,2023-01-02T13:00,lop,Lookout Point,7.68,5.68,2.0,840.67,693.17,147.5,63.9
2023-01-02,15,2023-01-02T14:00,lop,Lookout Point,7.88,5.88,2.0,840.58,693.17,147.41,66.1
2023-01-02,16,2023-01-02T15:00,lop,Lookout Point,7.98,5.98,2.0,840.48,693.17,147.31,67.2
2023-01-02,17,2023-01-02T16:00,lop,Lookout Point,7.79,5.79,2.0,840.39,693.19,147.2,65.0
2023-01-02,18,2023-01-02T17:00,lop,Lookout Point,,,,840.29,693.19,147.1,
2023-01-02,19,2023-01-02T18:00,lop,Lookout Point,7.61,5.61,2.0,840.19,693.17,147.02,62.9
2023-01-02,20,2023-01-02T19:00,lop,Lookout Point,7.81,5.81,2.0,840.11,693.2,146.91,65.1
2023-01-02,21,2023-01-02T20:00,lop,Lookout Point,8.01,6.01,2.0,840.02,693.16,146.86,67.3
2023-01-02,22,2023-01-02T21:00,lop,Lookout Point,7.62,5.62,2.0,839.93,693.17,146.76,62.9
2023-01-02,23,2023-01-02T22:00,lop,Lookout Point,7.73,5.73,2.0,839.83,693.16,146.67,64.1
2023-01-02,24,2023-01-02T23:00,lop,Lookout Point,7.73,5.73,2.0,839.74,693.17,146.57,64.1
2023-01-03,1,2023-01-03T00:00,lop,Lookout Point,7.83,5.83,2.0,839.64,693.15,146.49,65.2
2023-01-03,2,2023-01-03T01:00,lop,Lookout Point,7.84,5.84,2.0,839.55,693.18,146.37,65.2
2023-01-03,3,2023-01-03T02:00,lop,Lookout Point,7.65,5.65,2.0,839.44,693.15,146.29,63.1
2023-01-03,4,2023-01-03T03:00,lop,Lookout Point,7.85,5.85,2.0,839.34,693.18,146.16,65.2
2023-01-03,5,2023-01-03T04:00,lop,Lookout Point,7.76,5.76,2.0,839.24,693.17,146.07,64.2
2023-01-03,6,2023-01-03T05:00,lop,Lookout Point,7.76,5.76,2.0,839.14,693.15,145.99,64.2
2023-01-03,7,2023-01-03T06:00,lop,Lookout Point,7.96,5.96,2.0,839.03,693.16,145.87,66.3
2023-01-03,8,2023-01-03T07:00,lop,Lookout Point,7.77,5.77,2.0,838.93,693.17,145.76,64.2
2023-01-03,9,2023-01-03T08:00,lop,Lookout Point,7.78,5.78,2.0,838.81,693.18,145.63,64.2
2023-01-03,10,2023-01-03T09:00,lop,Lookout Point,7.59,5.59,2.0,838.72,693.17,145.55,62.1
2023-01-03,11,2023-01-03T10:00,lop,Lookout Point,7.79,5.79,2.0,838.61,693.17,145.44,64.3
2023-01-03,12,2023-01-03T11:00,lop,Lookout Point,7.79,5.79,2.0,838.51,693.15,145.36,64.2
2023-01-03,13,2023-01-03T12:00,lop,Lookout Point,7.6,5.6,2.0,838.39,693.15,145.24,62.1
2023-01-03,14,2023-01-03T13:00,lop,Lookout Point,7.7,5.7,2.0,838.28,693.15,145.13,63.1
2023-01-03,15,2023-01-03T14:00,lop,Lookout Point,7.81,5.81,2.0,838.17,693.18,144.99,64.3
2023-01-03,16,2023-01-03T15:00,lop,Lookout Point,7.81,5.81,2.0,838.05,693.15,144.9,64.2
2023-01-03,17,2023-01-03T16:00,lop,Lookout Point,7.92,5.92,2.0,837.94,693.16,144.78,65.4
