date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,tda,The Dalles,90.3,88.0,0.0,158.7,77.12,81.58,547.8
2023-01-01,2,2023-01-01T01:00,tda,The Dalles,84.3,82.0,0.0,158.5,77.28,81.22,508.2
2023-01-01,3,2023-01-01T02:00,tda,The Dalles,84.1,81.8,0.0,158.67,77.26,81.41,508.1
2023-01-01,4,2023-01-01T03:00,tda,The Dalles,84.4,82.1,0.0,158.55,77.09,81.46,510.3
2023-01-01,5,2023-01-01T04:00,tda,The Dalles,83.1,80.8,0.0,158.67,76.9,81.77,504.1
2023-01-01,6,2023-01-01T05:00,tda,The Dalles,83.2,80.9,0.0,158.63,76.93,81.7,504.3
2023-01-01,7,2023-01-01T06:00,tda,The Dalles,83.9,81.6,0.0,158.74,76.94,81.8,509.3
2023-01-01,8,2023-01-01T07:00,tda,The Dalles,92.4,90.1,0.0,158.79,77.17,81.62,561.1
2023-01-01,9,2023-01-01T08:00,tda,The Dalles,115.7,113.4,0.0,158.86,77.68,81.18,702.4
2023-01-01,10,2023-01-01T09:00,tda,The Dalles,117.5,115.2,0.0,158.88,77.63,81.25,714.2
2023-01-01,11,2023-01-01T10:00,tda,The Dalles,117.6,115.3,0.0,158.8,77.54,81.26,714.9
2023-01-01,12,2023-01-01T11:00,tda,The Dalles,117.4,115.1,0.0,158.78,77.62,81.16,712.8
2023-01-01,13,2023-01-01T12:00,tda,The Dalles,95.5,93.2,0.0,158.68,77.31,81.37,578.6
2023-01-01,14,2023-01-01T13:00,tda,The Dalles,92.9,90.6,0.0,158.75,77.07,81.68,564.6
2023-01-01,15,2023-01-01T14:00,tda,The Dalles,92.9,90.6,0.0,158.75,77.04,81.71,564.8
2023-01-01,16,2023-01-01T15:00,tda,The Dalles,91.5,89.2,0.0,158.79,77.06,81.73,556.3
2023-01-01,17,2023-01-01T16:00,tda,The Dalles,94.2,91.9,0.0,158.76,77.14,81.62,572.3
2023-01-01,18,2023-01-01T17:00,tda,The Dalles,115.0,112.7,0.0,158.88,77.46,81.42,700.1
2023-01-01,19,2023-01-01T18:00,tda,The Dalles,118.3,116.0,0.0,158.87,77.4,81.47,721.1
2023-01-01,20,2023-01-01T19:00,tda,The Dalles,118.7,116.4,0.0,158.86,77.44,81.42,723.1
2023-01-01,21,2023-01-01T20:00,tda,The Dalles,118.8,116.5,0.0,158.81,77.54,81.27,722.4
2023-01-01,22,2023-01-01T21:00,tda,The Dalles,118.4,116.1,0.0,158.76,77.59,81.17,719.0
2023-01-01,23,2023-01-01T22:00,tda,The Dalles,103.7,101.4,0.0,158.93,77.2,81.73,632.3
2023-01-01,24,2023-01-01T23:00,tda,The Dalles,86.2,83.9,0.0,158.72,76.74,81.98,524.8
2023-01-02,1,2023-01-02T00:00,tda,The Dalles,81.4,79.1,0.0,158.84,76.74,82.1,495.5
2023-01-02,2,2023-01-02T01:00,tda,The Dalles,81.3,79.0,0.0,158.84,76.65,82.19,495.4
2023-01-02,3,2023-01-02T02:00,tda,The Dalles,80.4,78.1,0.0,158.91,76.36,82.55,491.9
2023-01-02,4,2023-01-02T03:00,tda,The Dalles,81.0,78.7,0.0,158.95,76.18,82.77,497.0
2023-01-02,5,2023-01-02T04:00,tda,The Dalles,80.2,77.9,0.0,159.0,76.1,82.9,492.7
2023-01-02,6,2023-01-02T05:00,tda,The Dalles,91.5,89.2,0.0,158.84,76.22,82.62,562.3
2023-01-02,7,2023-01-02T06:00,tda,The Dalles,110.3,108.0,0.0,158.64,76.75,81.89,674.8
2023-01-02,8,2023-01-02T07:00,tda,The Dalles,131.1,128.8,0.0,158.73,76.98,81.75,803.4
2023-01-02,9,2023-01-02T08:00,tda,The Dalles,122.4,120.1,0.0,158.83,76.8,82.03,751.7
2023-01-02,10,2023-01-02T09:00,tda,The Dalles,121.7,119.4,0.0,158.79,76.68,82.11,748.0
2023-01-02,11,2023-01-02T10:00,tda,The Dalles,123.2,120.9,0.0,158.82,76.78,82.04,756.8
2023-01-02,12,2023-01-02T11:00,tda,The Dalles,120.9,118.6,0.0,158.85,76.68,82.17,743.6
2023-01-02,13,2023-01-02T12:00,tda,The Dalles,103.5,101.2,0.0,158.74,76.19,82.55,637.4
2023-01-02,14,2023-01-02T13:00,tda,The Dalles,102.8,100.5,0.0,158.73,76.2,82.53,632.9
