name,dam_code,dam_type,nameplate_mw,reservoir_af,active_af,reservoir_energy_gwh,avg_head_ft,max_head_ft,min_head_ft,avg_forebay_elev_ft,avg_tailwater_elev_ft,avg_total_outflow_kcfs,avg_gen_flow_kcfs,avg_spill_kcfs,spill_fraction_pct,hours_with_spill_2023,avg_power_mw,max_power_mw,annual_generation_gwh,capacity_factor_pct,days_of_storage
Grand Coulee,gcl,storage,7049,9562000,5185200,1507.6,314.9,334.4,277.8,1274.2,959.4,81.81,81.71,0.1,0.1,371,1958.3,4820.8,17154.5,27.8,58.9
Chief Joseph,chj,ror,2614,516000,35000,5.7,172.6,180.5,165.5,953.3,780.7,80.87,80.05,0.82,1.0,346,1049.4,2398.9,9193.1,40.1,3.2
John Day,jda,ror,2484,2530000,400000,36.9,104.5,107.2,98.0,264.8,160.3,136.93,100.9,35.03,25.6,4651,802.3,1642.2,7027.7,32.3,9.3
The Dalles,tda,ror,2048,330000,200000,16.2,82.3,86.3,72.0,158.8,76.5,133.07,99.99,28.3,21.3,3456,623.0,1335.4,5457.5,30.4,1.3
Bonneville,bon,ror,1216,537000,37000,2.1,61.2,70.0,3.4,74.6,12.7,145.32,92.74,44.73,30.8,6523,424.5,831.3,3718.9,34.9,1.9
McNary,mcn,ror,1127,1350000,750000,49.8,73.2,76.0,66.6,338.9,265.7,136.9,85.16,47.46,34.7,3764,475.0,905.1,4161.3,42.1,5.0
Little Goose,lgs,ror,930,516300,100000,9.0,96.8,100.6,93.2,635.5,538.7,38.98,25.6,12.93,33.2,4223,188.3,749.6,1649.5,20.2,6.7
Lower Granite,lwg,ror,930,440200,100000,9.0,99.5,103.6,94.8,735.3,635.8,40.4,24.83,15.16,37.5,4301,187.6,782.4,1643.0,20.2,5.5
Lower Monumental,lmn,ror,930,432000,100000,9.0,99.9,102.1,94.6,538.4,438.5,39.72,24.49,14.57,36.7,4098,185.6,887.9,1626.2,20.0,5.5
Ice Harbor,ihr,ror,695,249000,100000,9.0,97.7,101.8,86.0,438.5,340.8,40.22,21.13,18.48,46.0,3880,156.7,448.8,1372.4,22.5,3.1
Libby,lib,storage,605,6027000,5013400,1180.0,310.1,332.5,283.6,2429.5,2119.4,7.75,7.74,0.0,0.0,0,184.7,592.2,1618.3,30.5,392.3
Dworshak,dwr,storage,460,3468000,2018200,1192.2,564.0,629.4,538.4,1537.0,973.0,4.02,3.85,0.06,1.4,247,167.6,454.9,1467.8,36.4,434.7
Hungry Horse,hgh,storage,428,3467179,2068600,821.0,461.3,479.8,434.5,3535.5,3074.2,2.53,2.53,0.0,0.0,0,88.5,202.4,775.1,20.7,692.3
Lookout Point,lop,storage,138,477700,300000,84.5,138.7,201.7,54.8,831.2,692.5,2.45,1.12,1.33,54.2,4798,13.3,99.5,116.1,9.6,98.3
Detroit,det,storage,126,455000,230000,79.6,305.8,361.0,242.6,1505.8,1200.0,1.86,0.83,1.03,55.3,3732,19.6,126.0,171.5,15.5,123.4
Green Peter,gpr,storage,92,312500,220000,60.9,232.5,309.1,77.5,928.9,696.3,1.33,0.62,0.71,53.1,6687,11.6,79.0,101.4,12.6,118.1
Lost Creek,los,storage,56,315000,210000,63.0,276.3,317.0,251.0,1827.8,1551.5,1.49,1.31,0.19,12.5,1412,28.1,72.4,246.1,50.2,106.3
Albeni Falls,alf,storage,49,1155000,64000,2.2,20.8,31.0,3.7,2054.9,2034.1,18.05,12.98,5.07,28.1,1496,21.1,48.8,184.4,43.0,32.3
Hills Creek,hcr,storage,34,355500,140000,39.4,246.6,290.6,199.7,1471.4,1224.8,0.95,0.56,0.38,40.5,3895,10.5,38.1,91.6,30.8,189.3
Cougar,cgr,storage,28,219000,130000,42.6,306.1,356.4,248.5,1558.5,1252.4,0.73,0.28,0.45,61.6,4707,6.8,37.2,59.2,24.1,150.3
Foster,fos,ror,23,28300,25000,4.5,96.5,111.4,83.7,623.3,526.8,2.24,1.1,0.95,42.2,5422,8.1,24.4,70.6,35.0,6.4
Big Cliff,bcl,ror,23,6450,3600,1.1,85.6,190.4,-629.8,1195.8,1110.2,2.14,1.68,0.46,21.3,1959,11.0,25.2,96.1,47.7,1.5
Dexter,dex,ror,17,29900,20000,1.4,54.6,56.8,51.6,692.5,637.9,2.53,1.43,1.06,41.8,3350,5.9,17.3,52.0,34.9,6.0
