year,cpi_u_annual_avg,cpi_factor_to_2025
1936,13.9,23.0072
1937,14.4,22.2083
1938,14.1,22.6809
1939,13.9,23.0072
1940,14.0,22.8429
1941,14.7,21.7551
1942,16.3,19.6196
1943,17.3,18.4855
1944,17.6,18.1705
1945,18.0,17.7667
1946,19.5,16.4
1947,22.3,14.3408
1948,24.1,13.2697
1949,23.8,13.437
1950,24.1,13.2697
1951,26.0,12.3
1952,26.5,12.0679
1953,26.7,11.9775
1954,26.9,11.8885
1955,26.8,11.9328
1956,27.2,11.7574
1957,28.1,11.3808
1958,28.9,11.0657
1959,29.2,10.9521
1960,29.6,10.8041
1961,29.9,10.6957
1962,30.2,10.5894
1963,30.6,10.451
1964,31.0,10.3161
1965,31.5,10.1524
1966,32.5,9.84
1967,33.4,9.5749
1968,34.8,9.1897
1969,36.7,8.7139
1970,38.8,8.2423
1971,40.5,7.8963
1972,41.8,7.6507
1973,44.4,7.2027
1974,49.3,6.4868
1975,53.8,5.9442
1976,56.9,5.6204
1977,60.6,5.2772
1978,65.2,4.9049
1979,72.6,4.405
1980,82.4,3.8811
1981,90.9,3.5182
1982,96.5,3.314
1983,99.6,3.2108
1984,103.9,3.078
1985,107.6,2.9721
1986,109.6,2.9179
1987,113.6,2.8151
1988,118.3,2.7033
1989,124.0,2.579
1990,130.7,2.4468
1991,136.2,2.348
1992,140.3,2.2794
1993,144.5,2.2131
1994,148.2,2.1579
1995,152.4,2.0984
1996,156.9,2.0382
1997,160.5,1.9925
1998,163.0,1.962
1999,166.6,1.9196
2000,172.2,1.8571
2001,177.1,1.8058
2002,179.9,1.7777
2003,184.0,1.738
2004,188.9,1.693
2005,195.3,1.6375
2006,201.6,1.5863
2007,207.3,1.5427
2008,215.3,1.4854
2009,214.5,1.4909
2010,218.1,1.4663
2011,224.9,1.422
2012,229.6,1.3929
2013,233.0,1.3725
2014,236.7,1.3511
2015,237.0,1.3494
2016,240.0,1.3325
2017,245.1,1.3048
2018,251.1,1.2736
2019,255.7,1.2507
2020,258.8,1.2357
2021,270.9,1.1805
2022,292.7,1.0926
2023,304.7,1.0496
2024,314.2,1.0178
