name,country,region,region_group,year_complete,cost_nominal_local_m,local_currency,cost_year,cad_usd_rate,cost_usd_nominal_m,cpi_factor_to_2025,cost_2025_usd_m,capacity_mw,usd_per_mw_nominal,usd_per_mw_2025,has_cost_data,notes,source_url
Hoover Dam,USA,"Colorado R., NV/AZ",US,1936,49.0,USD,1936,,49.0,23.0072,1127.4,2079,23569,542280,True,Nominal $49M (1931 budget). Wikipedia infobox.,https://en.wikipedia.org/wiki/Hoover_Dam
Bonneville Dam Ph1,USA,"Columbia R., OR/WA",US,1938,88.4,USD,1938,,88.4,22.6809,2005.0,592,149324,3386824,True,$88.4M per USACE fact sheet / Wikipedia. Phase 1: spillway + 1st powerhouse + lock.,https://en.wikipedia.org/wiki/Bonneville_Dam
Grand Coulee Dam orig,USA,"Columbia R., WA",US,1942,163.0,USD,1943,,163.0,18.4855,3013.1,2325,70108,1295957,True,Original dam + L/R powerhouses $163M per Wikipedia. Orig capacity ~2325 MW (18x125 MW units).,https://en.wikipedia.org/wiki/Grand_Coulee_Dam
Shasta Dam,USA,"Sacramento R., CA",US,1945,36.0,USD,1945,,36.0,17.7667,639.6,676,53254,946154,True,Construction contract ~$36M per Marketplace.org/Bureau of Reclamation. Current nameplate 676-710 MW.,https://www.marketplace.org/story/2017/04/03/new-deal-shasta-and-jobs
Moses-Saunders Dam,USA/Canada,St. Lawrence R.,US,1958,,,,,,,,1957,,,False,1957 MW combined (RH Saunders 1045 MW + FDR 912 MW). No total construction cost in public sources.,https://en.wikipedia.org/wiki/Moses-Saunders_Power_Dam
Noxon Rapids Dam,USA,"Clark Fork R., MT",US,1959,85.0,USD,1959,,85.0,10.9521,930.9,527,161290,1766414,True,Wikipedia infobox. 5 turbines.,https://en.wikipedia.org/wiki/Noxon_Rapids_Dam
Robert Moses Niagara,USA,"Niagara R., NY",US,1961,800.0,USD,1957,,800.0,11.3808,9104.6,2525,316832,3605782,True,$800M per Wikipedia (1957 cost basis). Was largest hydro in Western hemisphere when opened 1961.,https://en.wikipedia.org/wiki/Robert_Moses_Niagara_Power_Plant
Twin Falls GS,Canada,"Churchill R., NL",Canada,1963,47.5,USD,1963,,47.5,10.451,496.4,225,211111,2206222,True,Wikipedia infobox; cost denominated in USD. Decommissioned 1974 when Churchill Falls opened.,https://en.wikipedia.org/wiki/Twin_Falls_(Newfoundland_and_Labrador)
Wanapum Dam,USA,"Columbia R., WA",US,1963,93.3,USD,1963,,93.3,10.451,975.1,1185,78734,822869,True,Wikipedia infobox. 10 x 104 MW Kaplan turbines.,https://en.wikipedia.org/wiki/Wanapum_Dam
WAC Bennett Dam,Canada,"Peace R., BC",Canada,1968,750.0,CAD,1968,0.93,698.0,9.1897,6414.4,2907,240110,2206536,True,C$750M per Wikipedia. CAD/USD approx 0.93 (1968). 10 Francis turbines.,https://en.wikipedia.org/wiki/W._A._C._Bennett_Dam
Rocky Reach Dam,USA,"Columbia R., WA",US,1971,273.1,USD,1971,,273.1,7.8963,2156.5,1300,210077,1658846,True,Wikipedia infobox. 11 turbines (7x114 + 4x125.4 MW).,https://en.wikipedia.org/wiki/Rocky_Reach_Dam
Churchill Falls GS,Canada,"Churchill R., NL",Canada,1974,946.0,CAD,1974,0.98,927.0,6.4868,6013.3,5428,170781,1107830,True,C$946M per Wikipedia. CAD/USD approx 0.98 (1974). 11 turbines. 16th largest hydro globally.,https://en.wikipedia.org/wiki/Churchill_Falls_Generating_Station
Grand Coulee 3rd PH,USA,"Columbia R., WA",US,1975,730.0,USD,1973,,730.0,7.2027,5258.0,4485,162765,1172352,True,Nathaniel Washington PH only; 6 Francis units (3x690 + 3x805 MW). $730M per Wikipedia (1973 dollars).,https://en.wikipedia.org/wiki/Grand_Coulee_Dam
Mica Dam,Canada,"Columbia R., BC",Canada,1977,,,,,,,,2805,,,False,Original 1973 cost not published. Units 5&6 expansion (2015) approx C$1B per KWL.ca.,https://en.wikipedia.org/wiki/Mica_Dam
Peace Canyon Dam,Canada,"Peace R., BC",Canada,1980,,,,,,,,694,,,False,No construction cost in public sources.,https://en.wikipedia.org/wiki/Peace_Canyon_Dam
Bonneville Dam Ph2,USA,"Columbia R., OR/WA",US,1981,664.0,USD,1981,,664.0,3.5182,2336.1,558,1189964,4186559,True,"Second powerhouse only (8 generators, 558.2 MW). $664M per Wikipedia.",https://en.wikipedia.org/wiki/Bonneville_Dam
Robert-Bourassa LG-2,Canada,"La Grande R., QC",Canada,1981,3800.0,CAD,1987,0.76,2888.0,2.8151,8130.0,5616,514245,1447650,True,C$3.8B (1987 dollars) per Wikipedia. CAD/USD approx 0.76 (1987). James Bay Project. Largest underground powerhouse in world.,https://en.wikipedia.org/wiki/Robert-Bourassa_generating_station
Itaipu Dam,Brazil/Paraguay,Parana R.,International,1984,19600.0,USD,1984,,19600.0,3.078,60328.8,14000,1400000,4309200,True,US$19.6B per Wikipedia. 20 x 700 MW. Largest global hydro until 2011. CF 62.3%.,https://en.wikipedia.org/wiki/Itaipu_Dam
Revelstoke Dam,Canada,"Columbia R., BC",Canada,1984,,,,,,,,2480,,,False,2480 MW (5 units; 6th unit approved 2025). No original construction cost in public sources.,https://en.wikipedia.org/wiki/Revelstoke_Dam
Limestone GS,Canada,"Nelson R., MB",Canada,1992,1430.0,CAD,1992,0.83,1187.0,2.2794,2705.6,1340,885821,2019104,True,C$1.43B per Wikipedia; came in under budget. CAD/USD approx 0.83. 10 x 134 MW Kaplan.,https://en.wikipedia.org/wiki/Limestone_Generating_Station
La Grande-1 GS,Canada,"La Grande R., QC",Canada,1994,2500.0,CAD,1994,0.73,1825.0,2.1579,3938.2,1436,1270891,2742479,True,C$2.5B per Wikipedia. CAD/USD approx 0.73. 12 Kaplan turbines; run-of-river.,https://en.wikipedia.org/wiki/La_Grande-1_generating_station
Xiaolangdi Dam,China,"Yellow R., Henan",China,2000,3500.0,USD,2000,,3500.0,1.8571,6499.8,1836,1906318,3540196,True,US$3.5B per Wikipedia. World Bank co-financed. 6 x 306 MW Francis.,https://en.wikipedia.org/wiki/Xiaolangdi_Dam
Three Gorges Dam,China,"Yangtze R., Hubei",China,2012,31765.0,USD,2012,,31765.0,1.3929,44245.5,22500,1411778,1966467,True,Y203B = US$31.765B per Wikipedia. Final audit Y249B (~$37B) incl. resettlement. 32 x 700 MW + 2 x 50 MW.,https://en.wikipedia.org/wiki/Three_Gorges_Dam
Xiluodu Dam,China,"Jinsha R., Sichuan",China,2014,6200.0,USD,2014,,6200.0,1.3511,8376.8,13860,447330,604387,True,Y50.34B = US$6.2B per Wikipedia / Power Technology. Some sources cite up to $12B. 18 x 770 MW Francis.,https://en.wikipedia.org/wiki/Xiluodu_Dam
Liyuan Dam,China,"Jinsha R., Yunnan",China,2015,2400.0,USD,2015,,2400.0,1.3494,3238.6,2400,1000000,1349417,True,Y16.2B = US$2.4B per Wikipedia. 4 x 600 MW Francis.,https://en.wikipedia.org/wiki/Liyuan_Dam
Changheba Dam,China,"Dadu R., Sichuan",China,2017,3460.0,USD,2017,,3460.0,1.3048,4514.6,2600,1330769,1736385,True,"US$3.46B per Wikipedia. 4 x 650 MW Francis. Rock-fill, 240 m high.",https://en.wikipedia.org/wiki/Changheba_Dam
Muskrat Falls GS,Canada,"Churchill R., NL",Canada,2020,12700.0,CAD,2020,0.75,9525.0,1.2357,11770.0,824,11559466,14283981,True,C$12.7B per Wikipedia (orig est C$7.4B in 2012). CAD/USD approx 0.75. 4 x 206 MW Kaplan. Includes 1100 km HVDC transmission link.,https://en.wikipedia.org/wiki/Muskrat_Falls_Generating_Station
Wudongde Dam,China,"Jinsha R., Yunnan",China,2021,17470.0,USD,2023,,17470.0,1.0496,18336.5,10200,1712745,1797696,True,Y120B = US$17.47B (2023 equiv per Wikipedia). 12 x 850 MW Francis. 4th largest globally.,https://en.wikipedia.org/wiki/Wudongde_Dam
Baihetan Dam,China,"Jinsha R., SW China",China,2022,31580.0,USD,2021,,31580.0,1.1805,37280.2,16000,1973750,2330012,True,Y220B = US$31.58B per Wikipedia. 16 x 1000 MW (worlds largest single unit). 2nd largest globally.,https://en.wikipedia.org/wiki/Baihetan_Dam
Keeyask GS,Canada,"Nelson R., MB",Canada,2022,8700.0,CAD,2022,0.78,6786.0,1.0926,7414.4,695,9764029,10668201,True,C$8.7B final per CBC/Manitoba Hydro (orig est C$6.5B in 2012). CAD/USD approx 0.78. 7 units; KHLP (MB Hydro 75% + 4 First Nations 25%).,https://www.cbc.ca/news/canada/manitoba/manitoba-hydro-keeyask-generating-station-electricity-1.5918974
Site C John Horgan Dam,Canada,"Peace R., BC",Canada,2025,16000.0,CAD,2021,0.79,12640.0,1.1805,14921.5,1100,11490909,13565000,True,C$16B as-spent (2021 estimate; final not yet published). CAD/USD approx 0.79. Orig est C$8.8B (2014). BCs most expensive infrastructure project.,https://en.wikipedia.org/wiki/Site_C_dam
