TOTAL LOAD & VER GENERATION IN THE BPA CONTROL AREA (Balancing Authority Area),,,,,,,,,,,,
Date/Time,Date/Time (UTC),TOTAL WIND BASE SCHEDULE (FORECAST) IN BPA CONTROL AREA (MW; SCADA 187517,TOTAL WIND BASEPOINT (FORECAST) IN BPA CONTROL AREA (MW; SCADA 103349,TOTAL WIND GENERATION  IN BPA CONTROL AREA (MW; SCADA 79687),TOTAL BPA CONTROL AREA LOAD (MW; SCADA 45583),TOTAL HYDRO GENERATION (MW; SCADA 79682),TOTAL FOSSIL/BIOMASS GENERATION (MW; SCADA 164377),TOTAL NUCLEAR GENERATION (MW; 70681),NET INTERCHANGE (MW; SCADA 45581),TOTAL SOLAR BASE SCHEDULE (FORECAST) IN BPA CONTROL AREA (MW; SCADA 187513),TOTAL SOLAR Basepoint (FORECAST) IN BPA CONTROL AREA (MW; SCADA 177165),TOTAL SOLAR GENERATION  IN BPA CONTROL AREA (MW; SCADA 142383)
01/01/24 00:00,01/01/24 08:00,11,22,22,6240,5913,825,1154,1675,0,0,0
01/01/24 00:05,01/01/24 08:05,12,22,26,6243,5919,839,1152,1693,0,0,0
01/01/24 00:10,01/01/24 08:10,13,22,31,6275,5895,845,1155,1652,0,0,0
01/01/24 00:15,01/01/24 08:15,13,24,31,6206,5899,844,1154,1722,0,0,0
01/01/24 00:20,01/01/24 08:20,13,29,34,6229,5859,847,1153,1665,0,0,0
01/01/24 00:25,01/01/24 08:25,13,31,40,6249,5879,851,1153,1674,0,0,0
01/01/24 00:30,01/01/24 08:30,13,34,41,6243,5859,850,1152,1660,0,0,0
01/01/24 00:35,01/01/24 08:35,13,38,40,6228,5861,851,1149,1674,0,0,0
01/01/24 00:40,01/01/24 08:40,13,41,45,6192,5865,852,1149,1718,0,0,0
01/01/24 00:45,01/01/24 08:45,14,41,44,6193,5897,850,1149,1748,0,0,0
01/01/24 00:50,01/01/24 08:50,14,43,38,6205,5862,849,1155,1699,0,0,0
01/01/24 00:55,01/01/24 08:55,16,44,34,6180,5866,848,1155,1724,0,0,0
01/01/24 01:00,01/01/24 09:00,19,38,37,6170,5848,849,1149,1712,0,0,0
01/01/24 01:05,01/01/24 09:05,22,35,37,6186,5831,849,1152,1681,0,0,0
01/01/24 01:10,01/01/24 09:10,25,36,39,6181,5814,850,1150,1670,0,0,0
01/01/24 01:15,01/01/24 09:15,25,40,38,6160,5807,850,1149,1685,0,0,0
01/01/24 01:20,01/01/24 09:20,25,40,54,6169,5765,848,1155,1653,0,0,0
01/01/24 01:25,01/01/24 09:25,25,38,67,6169,5730,849,1152,1631,0,0,0
01/01/24 01:30,01/01/24 09:30,25,49,68,6165,5703,850,1149,1605,0,0,0
