date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,bon,Bonneville,104.7,99.7,0.0,75.6,12.9,62.7,477.0
2023-01-01,2,2023-01-01T01:00,bon,Bonneville,109.3,104.3,0.0,75.5,13.0,62.5,497.4
2023-01-01,3,2023-01-01T02:00,bon,Bonneville,109.0,104.0,0.0,75.5,12.8,62.7,497.5
2023-01-01,4,2023-01-01T03:00,bon,Bonneville,108.2,103.2,0.0,75.6,12.6,63.0,496.1
2023-01-01,5,2023-01-01T04:00,bon,Bonneville,107.3,102.3,0.0,75.6,12.6,63.0,491.7
2023-01-01,6,2023-01-01T05:00,bon,Bonneville,107.6,102.6,0.0,75.5,12.4,63.1,494.0
2023-01-01,7,2023-01-01T06:00,bon,Bonneville,108.3,102.7,0.6,75.1,12.9,62.2,487.4
2023-01-01,8,2023-01-01T07:00,bon,Bonneville,107.4,101.1,1.3,75.3,12.4,62.9,485.2
2023-01-01,9,2023-01-01T08:00,bon,Bonneville,113.7,107.4,1.3,75.4,12.6,62.8,514.6
2023-01-01,10,2023-01-01T09:00,bon,Bonneville,112.9,106.6,1.3,75.5,12.4,63.1,513.2
2023-01-01,11,2023-01-01T10:00,bon,Bonneville,111.3,105.0,1.3,75.7,12.2,63.5,508.7
2023-01-01,12,2023-01-01T11:00,bon,Bonneville,115.6,109.3,1.3,75.6,12.6,63.0,525.4
2023-01-01,13,2023-01-01T12:00,bon,Bonneville,117.3,111.0,1.3,75.7,12.4,63.3,536.1
2023-01-01,14,2023-01-01T13:00,bon,Bonneville,116.2,109.9,1.3,75.7,12.5,63.2,530.0
2023-01-01,15,2023-01-01T14:00,bon,Bonneville,115.4,109.1,1.3,75.5,12.8,62.7,521.9
2023-01-01,16,2023-01-01T15:00,bon,Bonneville,118.8,112.5,1.3,75.4,13.0,62.4,535.6
2023-01-01,17,2023-01-01T16:00,bon,Bonneville,121.0,114.7,1.3,75.4,13.1,62.3,545.2
2023-01-01,18,2023-01-01T17:00,bon,Bonneville,117.6,112.6,0.0,75.5,12.9,62.6,537.8
2023-01-01,19,2023-01-01T18:00,bon,Bonneville,117.8,112.8,0.0,75.6,13.0,62.6,538.8
2023-01-01,20,2023-01-01T19:00,bon,Bonneville,117.3,112.3,0.0,75.6,12.8,62.8,538.1
