name,river,states,capacity_mw,year_opened,owner
Albeni Falls Dam,Pend Oreille,Idaho,49,1955,Army Corps of Engineers
Anderson Ranch Dam,Boise,Idaho,40,1950,Bureau of Reclamation
Big Cliff Dam,North Santiam,Oregon,23,1953,Army Corps of Engineers
Black Canyon Diversion Dam,Payette,Idaho,10,1925,Bureau of Reclamation
Boise River Diversion Dam,Boise,Idaho,3,1912,Bureau of Reclamation
Bonneville Dam,Columbia,"Oregon, Washington",1216,1938,Army Corps of Engineers
Chandler Dam,Yakima,Washington,12,1956,Bureau of Reclamation
Chief Joseph Dam,Columbia,Washington,2614,1958,Army Corps of Engineers
Cougar Dam,McKenzie,Oregon,28,1963,Army Corps of Engineers
Detroit Dam,North Santiam,Oregon,126,1953,Army Corps of Engineers
Dexter Dam,Middle Fork Willamette,Oregon,17,1954,Army Corps of Engineers
Dworshak Dam,Clearwater,Idaho,460,1973,Army Corps of Engineers
Foster Dam,South Santiam,Oregon,23,1967,Army Corps of Engineers
Grand Coulee Dam,Columbia,Washington,7049,1942,Bureau of Reclamation
Green Peter Dam,South Santiam,Oregon,92,1967,Army Corps of Engineers
Green Springs Dam,Emigrant Creek,Oregon,17,1960,Bureau of Reclamation
Hills Creek Dam,Middle Fork Willamette,Oregon,34,1962,Army Corps of Engineers
Hungry Horse Dam,Flathead,Montana,428,1953,Bureau of Reclamation
Ice Harbor Dam,Snake,Washington,695,1962,Army Corps of Engineers
John Day Dam,Columbia,"Oregon, Washington",2484,1971,Army Corps of Engineers
Libby Dam,Kootenai,Montana,605,1975,Army Corps of Engineers
Little Goose Dam,Snake,Washington,930,1970,Army Corps of Engineers
Lookout Point Dam,Middle Fork Willamette,Oregon,138,1953,Army Corps of Engineers
Lost Creek Dam,Rogue,Oregon,56,1977,Army Corps of Engineers
Lower Granite Dam,Snake,Washington,930,1975,Army Corps of Engineers
Lower Monumental Dam,Snake,Washington,930,1969,Army Corps of Engineers
McNary Dam,Columbia,"Oregon, Washington",1127,1952,Army Corps of Engineers
Minidoka Dam,Snake,Idaho,28,1909,Bureau of Reclamation
Palisades Dam,Snake,Idaho,176,1958,Bureau of Reclamation
Roza Dam,Yakima,Washington,13,1958,Bureau of Reclamation
The Dalles Dam,Columbia,"Oregon, Washington",2048,1957,Army Corps of Engineers
