date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,bcl,Big Cliff,4.83,3.28,1.55,1201.6,1113.37,88.23,22.1
2023-01-01,2,2023-01-01T01:00,bcl,Big Cliff,4.79,3.26,1.53,1200.37,1113.35,87.02,21.6
2023-01-01,3,2023-01-01T02:00,bcl,Big Cliff,5.27,2.68,2.59,1200.65,1113.86,86.79,17.7
2023-01-01,4,2023-01-01T03:00,bcl,Big Cliff,5.5,3.39,2.11,1200.8,1114.11,86.69,22.4
2023-01-01,5,2023-01-01T04:00,bcl,Big Cliff,5.7,3.59,2.11,1200.76,1114.29,86.47,23.7
2023-01-01,6,2023-01-01T05:00,bcl,Big Cliff,5.89,3.36,2.48,1200.55,1114.42,86.13,22.1
2023-01-01,7,2023-01-01T06:00,bcl,Big Cliff,5.97,3.42,2.55,1200.25,1114.57,85.68,22.4
2023-01-01,8,2023-01-01T07:00,bcl,Big Cliff,5.97,3.43,2.54,1200.0,1114.56,85.44,22.4
2023-01-01,9,2023-01-01T08:00,bcl,Big Cliff,5.97,3.43,2.54,1199.81,1114.58,85.23,22.3
2023-01-01,10,2023-01-01T09:00,bcl,Big Cliff,5.95,3.42,2.53,1199.72,1114.51,85.21,22.2
2023-01-01,11,2023-01-01T10:00,bcl,Big Cliff,5.97,3.44,2.53,1199.71,1114.56,85.15,22.3
2023-01-01,12,2023-01-01T11:00,bcl,Big Cliff,5.97,3.44,2.53,1199.69,1114.51,85.18,22.4
2023-01-01,13,2023-01-01T12:00,bcl,Big Cliff,5.95,3.42,2.53,1199.67,1114.56,85.11,22.2
2023-01-01,14,2023-01-01T13:00,bcl,Big Cliff,5.97,3.44,2.53,1199.69,1114.55,85.14,22.3
2023-01-01,15,2023-01-01T14:00,bcl,Big Cliff,5.95,3.42,2.53,1199.74,1114.53,85.21,22.2
2023-01-01,16,2023-01-01T15:00,bcl,Big Cliff,5.97,3.43,2.54,1199.78,1114.54,85.24,22.3
2023-01-01,17,2023-01-01T16:00,bcl,Big Cliff,5.97,3.43,2.54,1199.82,1114.53,85.29,22.3
2023-01-01,18,2023-01-01T17:00,bcl,Big Cliff,5.95,3.41,2.54,1199.85,1114.57,85.28,22.2
2023-01-01,19,2023-01-01T18:00,bcl,Big Cliff,5.95,3.41,2.54,1199.88,1114.56,85.32,22.2
2023-01-01,20,2023-01-01T19:00,bcl,Big Cliff,5.95,3.41,2.54,1199.89,1114.58,85.31,22.2
2023-01-01,21,2023-01-01T20:00,bcl,Big Cliff,5.97,3.43,2.54,1199.91,1114.57,85.34,22.3
2023-01-01,22,2023-01-01T21:00,bcl,Big Cliff,5.97,3.43,2.54,1199.91,1114.56,85.35,22.3
2023-01-01,23,2023-01-01T22:00,bcl,Big Cliff,5.95,3.41,2.54,1199.93,1114.55,85.38,22.2
2023-01-01,24,2023-01-01T23:00,bcl,Big Cliff,5.97,3.43,2.54,1199.94,1114.48,85.46,22.4
2023-01-02,1,2023-01-02T00:00,bcl,Big Cliff,5.97,3.43,2.54,1199.96,1114.53,85.43,22.4
2023-01-02,2,2023-01-02T01:00,bcl,Big Cliff,5.97,3.43,2.54,1199.96,1114.56,85.4,22.3
2023-01-02,3,2023-01-02T02:00,bcl,Big Cliff,5.95,3.41,2.54,1199.96,1114.57,85.39,22.2
2023-01-02,4,2023-01-02T03:00,bcl,Big Cliff,5.97,3.43,2.54,1199.97,1114.55,85.42,22.4
2023-01-02,5,2023-01-02T04:00,bcl,Big Cliff,5.95,3.41,2.54,1199.98,1114.51,85.47,22.2
2023-01-02,6,2023-01-02T05:00,bcl,Big Cliff,5.97,3.43,2.54,1199.97,1114.57,85.4,22.3
2023-01-02,7,2023-01-02T06:00,bcl,Big Cliff,5.97,3.43,2.54,1199.97,1114.53,85.44,22.4
2023-01-02,8,2023-01-02T07:00,bcl,Big Cliff,5.95,3.41,2.54,1199.95,1114.57,85.38,22.2
2023-01-02,9,2023-01-02T08:00,bcl,Big Cliff,5.95,3.41,2.54,1199.91,1114.55,85.36,22.2
2023-01-02,10,2023-01-02T09:00,bcl,Big Cliff,5.95,3.41,2.54,1199.89,1114.55,85.34,22.2
2023-01-02,11,2023-01-02T10:00,bcl,Big Cliff,5.95,3.41,2.54,1199.88,1114.58,85.3,22.2
2023-01-02,12,2023-01-02T11:00,bcl,Big Cliff,5.95,3.41,2.54,1199.87,1114.53,85.34,22.2
2023-01-02,13,2023-01-02T12:00,bcl,Big Cliff,5.95,3.41,2.54,1199.87,1114.53,85.34,22.2
2023-01-02,14,2023-01-02T13:00,bcl,Big Cliff,5.97,3.43,2.54,1199.87,1114.47,85.4,22.3
2023-01-02,15,2023-01-02T14:00,bcl,Big Cliff,,,,1199.86,1114.51,85.35,
2023-01-02,16,2023-01-02T15:00,bcl,Big Cliff,5.97,3.43,2.54,1199.83,1114.51,85.32,22.3
2023-01-02,17,2023-01-02T16:00,bcl,Big Cliff,5.97,3.43,2.54,1199.86,1114.54,85.32,22.3
2023-01-02,18,2023-01-02T17:00,bcl,Big Cliff,,,,1199.84,1114.54,85.3,
2023-01-02,19,2023-01-02T18:00,bcl,Big Cliff,5.93,3.39,2.54,1199.84,1114.49,85.35,22.1
2023-01-02,20,2023-01-02T19:00,bcl,Big Cliff,5.95,3.41,2.54,1199.84,1114.54,85.3,22.2
2023-01-02,21,2023-01-02T20:00,bcl,Big Cliff,5.93,3.39,2.54,1199.83,1114.63,85.2,22.0
2023-01-02,22,2023-01-02T21:00,bcl,Big Cliff,5.95,3.41,2.54,1199.83,1114.54,85.29,22.2
2023-01-02,23,2023-01-02T22:00,bcl,Big Cliff,5.95,3.41,2.54,1199.83,1114.54,85.29,22.2
2023-01-02,24,2023-01-02T23:00,bcl,Big Cliff,5.93,3.39,2.54,1199.82,1114.54,85.28,22.1
2023-01-03,1,2023-01-03T00:00,bcl,Big Cliff,5.95,3.41,2.54,1199.82,1114.56,85.26,22.2
