date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,chj,Chief Joseph,53.7,53.7,0.0,953.0,779.3,173.7,711.7
2023-01-01,2,2023-01-01T01:00,chj,Chief Joseph,58.6,58.6,0.0,952.9,779.3,173.6,776.2
2023-01-01,3,2023-01-01T02:00,chj,Chief Joseph,55.6,55.6,0.0,952.9,779.4,173.5,736.0
2023-01-01,4,2023-01-01T03:00,chj,Chief Joseph,55.3,55.3,0.0,953.0,779.7,173.3,731.2
2023-01-01,5,2023-01-01T04:00,chj,Chief Joseph,54.6,54.6,0.0,952.9,779.6,173.3,722.0
2023-01-01,6,2023-01-01T05:00,chj,Chief Joseph,54.0,54.0,0.0,952.9,779.8,173.1,713.2
2023-01-01,7,2023-01-01T06:00,chj,Chief Joseph,56.2,56.2,0.0,952.8,780.0,172.8,741.0
2023-01-01,8,2023-01-01T07:00,chj,Chief Joseph,59.8,59.8,0.0,952.8,780.0,172.8,788.4
2023-01-01,9,2023-01-01T08:00,chj,Chief Joseph,64.2,64.2,0.0,952.8,780.1,172.7,846.0
2023-01-01,10,2023-01-01T09:00,chj,Chief Joseph,62.6,62.6,0.0,953.0,779.7,173.3,827.7
2023-01-01,11,2023-01-01T10:00,chj,Chief Joseph,56.1,56.1,0.0,953.1,779.6,173.5,742.7
2023-01-01,12,2023-01-01T11:00,chj,Chief Joseph,60.3,60.3,0.0,953.1,780.3,172.8,795.0
2023-01-01,13,2023-01-01T12:00,chj,Chief Joseph,55.8,55.8,0.0,953.2,780.1,173.1,737.0
2023-01-01,14,2023-01-01T13:00,chj,Chief Joseph,57.8,57.8,0.0,953.3,780.6,172.7,761.6
2023-01-01,15,2023-01-01T14:00,chj,Chief Joseph,60.3,60.3,0.0,953.2,780.6,172.6,794.1
2023-01-01,16,2023-01-01T15:00,chj,Chief Joseph,66.9,66.9,0.0,953.2,781.3,171.9,877.5
2023-01-01,17,2023-01-01T16:00,chj,Chief Joseph,73.4,73.4,0.0,953.3,781.0,172.3,965.0
2023-01-01,18,2023-01-01T17:00,chj,Chief Joseph,78.6,78.6,0.0,953.3,781.1,172.2,1032.7
2023-01-01,19,2023-01-01T18:00,chj,Chief Joseph,77.9,77.9,0.0,953.5,780.7,172.8,1027.1
2023-01-01,20,2023-01-01T19:00,chj,Chief Joseph,76.9,76.9,0.0,953.6,780.6,173.0,1015.1
2023-01-01,21,2023-01-01T20:00,chj,Chief Joseph,76.1,76.1,0.0,953.6,780.5,173.1,1005.1
2023-01-01,22,2023-01-01T21:00,chj,Chief Joseph,76.7,76.7,0.0,953.5,780.4,173.1,1013.0
2023-01-01,23,2023-01-01T22:00,chj,Chief Joseph,76.9,76.9,0.0,953.3,780.6,172.7,1013.3
2023-01-01,24,2023-01-01T23:00,chj,Chief Joseph,72.8,72.8,0.0,953.2,780.4,172.8,959.8
2023-01-02,1,2023-01-02T00:00,chj,Chief Joseph,69.7,69.7,0.0,953.1,780.7,172.4,916.8
2023-01-02,2,2023-01-02T01:00,chj,Chief Joseph,67.6,67.6,0.0,953.1,780.5,172.6,890.3
2023-01-02,3,2023-01-02T02:00,chj,Chief Joseph,67.1,67.1,0.0,953.1,781.0,172.1,881.1
2023-01-02,4,2023-01-02T03:00,chj,Chief Joseph,67.6,67.6,0.0,953.1,780.5,172.6,890.3
2023-01-02,5,2023-01-02T04:00,chj,Chief Joseph,70.5,70.5,0.0,953.1,780.8,172.3,926.8
2023-01-02,6,2023-01-02T05:00,chj,Chief Joseph,67.9,67.9,0.0,953.3,779.7,173.6,899.4
2023-01-02,7,2023-01-02T06:00,chj,Chief Joseph,73.8,73.8,0.0,953.3,780.0,173.3,975.8
2023-01-02,8,2023-01-02T07:00,chj,Chief Joseph,77.4,77.4,0.0,953.4,779.3,174.1,1028.2
2023-01-02,9,2023-01-02T08:00,chj,Chief Joseph,71.3,71.3,0.0,953.5,778.4,175.1,952.6
2023-01-02,10,2023-01-02T09:00,chj,Chief Joseph,72.2,72.2,0.0,953.6,779.6,174.0,958.5
2023-01-02,11,2023-01-02T10:00,chj,Chief Joseph,72.4,72.4,0.0,953.6,778.5,175.1,967.3
2023-01-02,12,2023-01-02T11:00,chj,Chief Joseph,71.3,71.3,0.0,953.7,778.8,174.9,951.5
2023-01-02,13,2023-01-02T12:00,chj,Chief Joseph,71.6,71.6,0.0,953.7,778.6,175.1,956.6
2023-01-02,14,2023-01-02T13:00,chj,Chief Joseph,72.9,72.9,0.0,953.7,779.3,174.4,970.1
