date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,dwr,Dworshak,1.7,1.6,0.0,1516.89,970.77,546.12,66.7
2023-01-01,2,2023-01-01T01:00,dwr,Dworshak,1.7,1.6,0.0,1516.89,970.76,546.13,66.7
2023-01-01,3,2023-01-01T02:00,dwr,Dworshak,1.7,1.6,0.0,1516.89,970.77,546.12,66.7
2023-01-01,4,2023-01-01T03:00,dwr,Dworshak,1.7,1.6,0.0,1516.92,970.77,546.15,66.7
2023-01-01,5,2023-01-01T04:00,dwr,Dworshak,1.7,1.6,0.0,1516.91,970.77,546.14,66.7
2023-01-01,6,2023-01-01T05:00,dwr,Dworshak,1.7,1.6,0.0,1516.93,970.76,546.17,66.7
2023-01-01,7,2023-01-01T06:00,dwr,Dworshak,1.7,1.6,0.0,1516.93,970.78,546.15,66.7
2023-01-01,8,2023-01-01T07:00,dwr,Dworshak,1.7,1.6,0.0,1516.91,970.77,546.14,66.7
2023-01-01,9,2023-01-01T08:00,dwr,Dworshak,1.7,1.6,0.0,1516.95,970.8,546.15,66.7
2023-01-01,10,2023-01-01T09:00,dwr,Dworshak,1.7,1.6,0.0,1516.94,970.78,546.16,66.7
2023-01-01,11,2023-01-01T10:00,dwr,Dworshak,1.7,1.6,0.0,1516.96,970.78,546.18,66.7
2023-01-01,12,2023-01-01T11:00,dwr,Dworshak,1.7,1.6,0.0,1516.99,970.79,546.2,66.7
2023-01-01,13,2023-01-01T12:00,dwr,Dworshak,1.7,1.6,0.0,1516.96,970.79,546.17,66.7
2023-01-01,14,2023-01-01T13:00,dwr,Dworshak,1.7,1.6,0.0,1516.98,970.81,546.17,66.7
2023-01-01,15,2023-01-01T14:00,dwr,Dworshak,1.7,1.6,0.0,1516.96,970.81,546.15,66.7
2023-01-01,16,2023-01-01T15:00,dwr,Dworshak,1.7,1.6,0.0,1517.0,970.8,546.2,66.7
