date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,gcl,Grand Coulee,56.2,56.2,0.0,1283.5,956.0,327.5,1404.3
2023-01-01,2,2023-01-01T01:00,gcl,Grand Coulee,55.1,55.1,0.0,1283.6,956.0,327.6,1377.3
2023-01-01,3,2023-01-01T02:00,gcl,Grand Coulee,52.8,52.8,0.0,1283.61,955.9,327.71,1320.2
2023-01-01,4,2023-01-01T03:00,gcl,Grand Coulee,52.7,52.7,0.0,1283.6,955.7,327.9,1318.5
2023-01-01,5,2023-01-01T04:00,gcl,Grand Coulee,52.4,52.4,0.0,1283.6,955.7,327.9,1311.0
2023-01-01,6,2023-01-01T05:00,gcl,Grand Coulee,52.2,52.2,0.0,1283.6,955.7,327.9,1306.0
2023-01-01,7,2023-01-01T06:00,gcl,Grand Coulee,54.3,54.3,0.0,1283.6,955.9,327.7,1357.7
2023-01-01,8,2023-01-01T07:00,gcl,Grand Coulee,62.8,62.8,0.0,1283.6,956.5,327.1,1567.3
2023-01-01,9,2023-01-01T08:00,gcl,Grand Coulee,69.5,69.5,0.0,1283.6,957.0,326.6,1731.9
2023-01-01,10,2023-01-01T09:00,gcl,Grand Coulee,66.6,66.6,0.0,1283.7,956.9,326.8,1660.7
2023-01-01,11,2023-01-01T10:00,gcl,Grand Coulee,62.5,62.5,0.0,1283.7,956.5,327.2,1560.3
2023-01-01,12,2023-01-01T11:00,gcl,Grand Coulee,69.0,69.0,0.0,1283.6,957.0,326.6,1719.5
2023-01-01,13,2023-01-01T12:00,gcl,Grand Coulee,64.3,64.3,0.0,1283.6,957.0,326.6,1602.3
2023-01-01,14,2023-01-01T13:00,gcl,Grand Coulee,63.0,63.0,0.0,1283.7,956.8,326.9,1571.4
2023-01-01,15,2023-01-01T14:00,gcl,Grand Coulee,66.2,66.2,0.0,1283.7,957.0,326.7,1650.2
2023-01-01,16,2023-01-01T15:00,gcl,Grand Coulee,75.4,75.4,0.0,1283.7,957.8,325.9,1874.9
2023-01-01,17,2023-01-01T16:00,gcl,Grand Coulee,83.7,83.7,0.0,1283.7,958.6,325.1,2076.2
2023-01-01,18,2023-01-01T17:00,gcl,Grand Coulee,88.3,88.3,0.0,1283.7,959.0,324.7,2187.6
2023-01-01,19,2023-01-01T18:00,gcl,Grand Coulee,88.3,88.3,0.0,1283.7,959.2,324.5,2186.3
2023-01-01,20,2023-01-01T19:00,gcl,Grand Coulee,77.8,77.8,0.0,1283.8,958.5,325.3,1931.0
2023-01-01,21,2023-01-01T20:00,gcl,Grand Coulee,67.6,67.6,0.0,1283.9,957.6,326.3,1683.0
2023-01-01,22,2023-01-01T21:00,gcl,Grand Coulee,59.8,59.8,0.0,1283.9,957.0,326.9,1491.6
2023-01-01,23,2023-01-01T22:00,gcl,Grand Coulee,58.9,58.9,0.0,1283.9,956.9,327.0,1469.6
2023-01-01,24,2023-01-01T23:00,gcl,Grand Coulee,58.4,58.4,0.0,1283.9,956.8,327.1,1457.5
2023-01-02,1,2023-01-02T00:00,gcl,Grand Coulee,63.0,63.0,0.0,1283.9,957.0,326.9,1571.4
2023-01-02,2,2023-01-02T01:00,gcl,Grand Coulee,65.1,65.1,0.0,1284.0,957.2,326.8,1623.3
2023-01-02,3,2023-01-02T02:00,gcl,Grand Coulee,66.0,66.0,0.0,1284.0,957.3,326.7,1645.2
2023-01-02,4,2023-01-02T03:00,gcl,Grand Coulee,71.6,71.6,0.0,1284.0,957.6,326.4,1783.1
2023-01-02,5,2023-01-02T04:00,gcl,Grand Coulee,82.5,82.5,0.0,1284.0,958.6,325.4,2048.3
2023-01-02,6,2023-01-02T05:00,gcl,Grand Coulee,80.6,80.6,0.0,1283.9,958.7,325.2,1999.9
2023-01-02,7,2023-01-02T06:00,gcl,Grand Coulee,83.0,83.0,0.0,1283.9,958.8,325.1,2058.8
2023-01-02,8,2023-01-02T07:00,gcl,Grand Coulee,81.6,81.6,0.0,1283.9,958.9,325.0,2023.5
2023-01-02,9,2023-01-02T08:00,gcl,Grand Coulee,80.9,80.9,0.0,1283.9,958.9,325.0,2006.1
2023-01-02,10,2023-01-02T09:00,gcl,Grand Coulee,80.3,80.3,0.0,1283.9,958.9,325.0,1991.2
2023-01-02,11,2023-01-02T10:00,gcl,Grand Coulee,73.9,73.9,0.0,1283.9,958.5,325.4,1834.8
2023-01-02,12,2023-01-02T11:00,gcl,Grand Coulee,76.1,76.1,0.0,1283.9,958.5,325.4,1889.4
2023-01-02,13,2023-01-02T12:00,gcl,Grand Coulee,73.1,73.1,0.0,1283.9,958.4,325.5,1815.5
2023-01-02,14,2023-01-02T13:00,gcl,Grand Coulee,62.5,62.5,0.0,1284.0,957.7,326.3,1556.0
