date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,jda,John Day,80.8,80.1,0.0,265.43,159.12,106.31,649.7
2023-01-01,2,2023-01-01T01:00,jda,John Day,81.1,80.4,0.0,265.33,159.52,105.81,649.1
2023-01-01,3,2023-01-01T02:00,jda,John Day,80.6,79.9,0.0,265.43,159.42,106.01,646.3
2023-01-01,4,2023-01-01T03:00,jda,John Day,80.8,80.1,0.0,265.43,159.42,106.01,647.9
2023-01-01,5,2023-01-01T04:00,jda,John Day,82.3,79.8,0.0,265.43,159.22,106.21,646.7
2023-01-01,6,2023-01-01T05:00,jda,John Day,80.8,80.1,0.0,265.33,159.66,105.67,645.8
2023-01-01,7,2023-01-01T06:00,jda,John Day,91.2,90.5,0.0,265.33,159.82,105.51,728.6
2023-01-01,8,2023-01-01T07:00,jda,John Day,110.0,109.3,0.0,265.43,160.02,105.41,879.1
2023-01-01,9,2023-01-01T08:00,jda,John Day,110.5,109.8,0.0,265.43,159.91,105.52,884.0
2023-01-01,10,2023-01-01T09:00,jda,John Day,110.3,109.6,0.0,265.43,160.12,105.31,880.7
2023-01-01,11,2023-01-01T10:00,jda,John Day,110.2,109.5,0.0,265.53,159.72,105.81,884.0
2023-01-01,12,2023-01-01T11:00,jda,John Day,92.0,91.3,0.0,265.53,159.72,105.81,737.1
2023-01-01,13,2023-01-01T12:00,jda,John Day,93.0,90.5,0.0,265.43,159.82,105.61,729.3
2023-01-01,14,2023-01-01T13:00,jda,John Day,89.3,88.6,0.0,265.53,159.62,105.91,716.0
2023-01-01,15,2023-01-01T14:00,jda,John Day,89.9,89.2,0.0,265.43,159.72,105.71,719.5
2023-01-01,16,2023-01-01T15:00,jda,John Day,88.9,88.2,0.0,265.43,159.82,105.61,710.7
2023-01-01,17,2023-01-01T16:00,jda,John Day,108.1,107.4,0.0,265.33,159.92,105.41,863.8
2023-01-01,18,2023-01-01T17:00,jda,John Day,109.8,109.1,0.0,265.43,160.22,105.21,875.8
