date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,lgs,Little Goose,12.7,12.3,0.0,637.15,539.23,97.92,91.9
2023-01-01,2,2023-01-01T01:00,lgs,Little Goose,11.7,11.3,0.0,636.8,539.46,97.34,83.9
2023-01-01,3,2023-01-01T02:00,lgs,Little Goose,11.7,11.3,0.0,637.03,538.83,98.2,84.7
2023-01-01,4,2023-01-01T03:00,lgs,Little Goose,11.7,11.3,0.0,637.08,539.34,97.74,84.3
2023-01-01,5,2023-01-01T04:00,lgs,Little Goose,11.7,11.3,0.0,636.8,538.9,97.9,84.4
2023-01-01,6,2023-01-01T05:00,lgs,Little Goose,12.1,11.7,0.0,637.04,539.33,97.71,87.2
2023-01-01,7,2023-01-01T06:00,lgs,Little Goose,24.1,23.7,0.0,637.19,539.65,97.54,176.4
2023-01-01,8,2023-01-01T07:00,lgs,Little Goose,24.1,23.7,0.0,637.05,539.01,98.04,177.3
2023-01-01,9,2023-01-01T08:00,lgs,Little Goose,24.3,23.9,0.0,637.04,539.23,97.81,178.4
2023-01-01,10,2023-01-01T09:00,lgs,Little Goose,25.3,23.5,0.0,637.17,538.84,98.33,176.3
2023-01-01,11,2023-01-01T10:00,lgs,Little Goose,24.1,23.7,0.0,637.1,539.15,97.95,177.1
2023-01-01,12,2023-01-01T11:00,lgs,Little Goose,24.2,23.8,0.0,637.13,538.79,98.34,178.6
2023-01-01,13,2023-01-01T12:00,lgs,Little Goose,24.1,23.7,0.0,637.18,539.0,98.18,177.5
2023-01-01,14,2023-01-01T13:00,lgs,Little Goose,24.1,23.7,0.0,637.11,538.78,98.33,177.8
2023-01-01,15,2023-01-01T14:00,lgs,Little Goose,24.0,23.6,0.0,637.28,538.75,98.53,177.4
2023-01-01,16,2023-01-01T15:00,lgs,Little Goose,24.4,24.0,0.0,637.12,538.81,98.31,180.0
2023-01-01,17,2023-01-01T16:00,lgs,Little Goose,35.8,35.4,0.0,636.99,538.84,98.15,265.1
2023-01-01,18,2023-01-01T17:00,lgs,Little Goose,36.2,35.8,0.0,637.24,538.84,98.4,268.8
2023-01-01,19,2023-01-01T18:00,lgs,Little Goose,36.3,35.9,0.0,637.05,538.94,98.11,268.7
