date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,los,Lost Creek,1.084,1.08,0.0,1808.4,1551.5,256.9,21.2
2023-01-01,2,2023-01-01T01:00,los,Lost Creek,1.089,1.09,0.0,1808.48,1551.5,256.98,21.4
2023-01-01,3,2023-01-01T02:00,los,Lost Creek,1.07,1.09,0.0,1808.55,1551.5,257.05,21.4
2023-01-01,4,2023-01-01T03:00,los,Lost Creek,1.085,1.08,0.0,1808.62,1551.5,257.12,21.2
2023-01-01,5,2023-01-01T04:00,los,Lost Creek,1.086,1.01,0.0,1808.69,1551.5,257.19,19.8
2023-01-01,6,2023-01-01T05:00,los,Lost Creek,1.083,1.08,0.0,1808.75,1551.5,257.25,21.2
2023-01-01,7,2023-01-01T06:00,los,Lost Creek,1.077,1.08,0.0,1808.82,1551.5,257.32,21.2
2023-01-01,8,2023-01-01T07:00,los,Lost Creek,1.094,1.08,0.0,1808.88,1551.5,257.38,21.2
2023-01-01,9,2023-01-01T08:00,los,Lost Creek,1.085,1.08,0.0,1808.94,1551.5,257.44,21.2
2023-01-01,10,2023-01-01T09:00,los,Lost Creek,1.092,1.09,0.0,1809.0,1551.5,257.5,21.4
2023-01-01,11,2023-01-01T10:00,los,Lost Creek,1.082,1.08,0.0,1809.06,1551.5,257.56,21.2
2023-01-01,12,2023-01-01T11:00,los,Lost Creek,1.079,1.08,0.0,1809.12,1551.5,257.62,21.2
2023-01-01,13,2023-01-01T12:00,los,Lost Creek,1.085,1.1,0.0,1809.18,1551.5,257.68,21.6
2023-01-01,14,2023-01-01T13:00,los,Lost Creek,1.082,1.08,0.0,1809.23,1551.5,257.73,21.2
2023-01-01,15,2023-01-01T14:00,los,Lost Creek,1.092,1.08,0.0,1809.29,1551.5,257.79,21.2
2023-01-01,16,2023-01-01T15:00,los,Lost Creek,1.088,1.1,0.0,1809.34,1551.5,257.84,21.6
2023-01-01,17,2023-01-01T16:00,los,Lost Creek,1.092,1.09,0.0,1809.4,1551.5,257.9,21.4
2023-01-01,18,2023-01-01T17:00,los,Lost Creek,1.082,1.09,0.0,1809.45,1551.5,257.95,21.5
2023-01-01,19,2023-01-01T18:00,los,Lost Creek,1.082,1.08,0.0,1809.5,1551.5,258.0,21.3
2023-01-01,20,2023-01-01T19:00,los,Lost Creek,1.081,1.08,0.0,1809.55,1551.5,258.05,21.3
2023-01-01,21,2023-01-01T20:00,los,Lost Creek,1.078,1.09,0.0,1809.6,1551.5,258.1,21.5
2023-01-01,22,2023-01-01T21:00,los,Lost Creek,1.078,1.08,0.0,1809.65,1551.5,258.15,21.3
2023-01-01,23,2023-01-01T22:00,los,Lost Creek,1.074,1.07,0.0,1809.69,1551.5,258.19,21.1
2023-01-01,24,2023-01-01T23:00,los,Lost Creek,1.068,1.07,0.0,1809.75,1551.5,258.25,21.1
2023-01-02,1,2023-01-02T00:00,los,Lost Creek,1.074,1.07,0.0,1809.8,1551.5,258.3,21.1
2023-01-02,2,2023-01-02T01:00,los,Lost Creek,1.067,1.07,0.0,1809.84,1551.5,258.34,21.1
2023-01-02,3,2023-01-02T02:00,los,Lost Creek,1.07,1.07,0.0,1809.89,1551.5,258.39,21.1
2023-01-02,4,2023-01-02T03:00,los,Lost Creek,1.066,1.06,0.0,1809.93,1551.5,258.43,20.9
2023-01-02,5,2023-01-02T04:00,los,Lost Creek,1.079,1.07,0.0,1809.97,1551.5,258.47,21.1
2023-01-02,6,2023-01-02T05:00,los,Lost Creek,1.063,1.05,0.0,1810.01,1551.5,258.51,20.7
2023-01-02,7,2023-01-02T06:00,los,Lost Creek,1.068,1.07,0.0,1810.06,1551.5,258.56,21.1
2023-01-02,8,2023-01-02T07:00,los,Lost Creek,1.071,1.06,0.0,1810.1,1551.5,258.6,20.9
2023-01-02,9,2023-01-02T08:00,los,Lost Creek,1.055,1.06,0.0,1810.14,1551.5,258.64,20.9
2023-01-02,10,2023-01-02T09:00,los,Lost Creek,1.061,1.07,0.0,1810.18,1551.5,258.68,21.1
2023-01-02,11,2023-01-02T10:00,los,Lost Creek,1.07,1.07,0.0,1810.21,1551.5,258.71,21.1
2023-01-02,12,2023-01-02T11:00,los,Lost Creek,1.061,1.07,0.0,1810.26,1551.5,258.76,21.1
2023-01-02,13,2023-01-02T12:00,los,Lost Creek,1.054,1.06,0.0,1810.3,1551.5,258.8,20.9
2023-01-02,14,2023-01-02T13:00,los,Lost Creek,1.057,1.07,0.0,1810.34,1551.5,258.84,21.1
2023-01-02,15,2023-01-02T14:00,los,Lost Creek,1.06,1.06,0.0,1810.38,1551.5,258.88,20.9
2023-01-02,16,2023-01-02T15:00,los,Lost Creek,1.05,1.06,0.0,1810.42,1551.5,258.92,20.9
2023-01-02,17,2023-01-02T16:00,los,Lost Creek,1.062,1.06,0.0,1810.46,1551.5,258.96,20.9
2023-01-02,18,2023-01-02T17:00,los,Lost Creek,1.056,1.07,0.0,1810.49,1551.5,258.99,21.1
2023-01-02,19,2023-01-02T18:00,los,Lost Creek,1.056,1.05,0.0,1810.53,1551.5,259.03,20.8
2023-01-02,20,2023-01-02T19:00,los,Lost Creek,1.049,1.05,0.0,1810.57,1551.5,259.07,20.8
2023-01-02,21,2023-01-02T20:00,los,Lost Creek,1.058,1.06,0.0,1810.6,1551.5,259.1,21.0
2023-01-02,22,2023-01-02T21:00,los,Lost Creek,1.052,1.05,0.0,1810.64,1551.5,259.14,20.8
2023-01-02,23,2023-01-02T22:00,los,Lost Creek,1.043,1.04,0.0,1810.67,1551.5,259.17,20.6
2023-01-02,24,2023-01-02T23:00,los,Lost Creek,1.064,1.06,0.0,1810.7,1551.5,259.2,21.0
2023-01-03,1,2023-01-03T00:00,los,Lost Creek,1.066,1.06,0.0,1810.74,1551.5,259.24,21.0
2023-01-03,2,2023-01-03T01:00,los,Lost Creek,1.069,1.07,0.0,1810.77,1551.5,259.27,21.2
2023-01-03,3,2023-01-03T02:00,los,Lost Creek,1.062,1.07,0.0,1810.8,1551.5,259.3,21.2
2023-01-03,4,2023-01-03T03:00,los,Lost Creek,1.072,1.06,0.0,1810.84,1551.5,259.34,21.0
2023-01-03,5,2023-01-03T04:00,los,Lost Creek,1.074,1.07,0.0,1810.87,1551.5,259.37,21.2
2023-01-03,6,2023-01-03T05:00,los,Lost Creek,1.067,1.07,0.0,1810.91,1551.5,259.41,21.2
2023-01-03,7,2023-01-03T06:00,los,Lost Creek,1.07,1.07,0.0,1810.93,1551.5,259.43,21.2
2023-01-03,8,2023-01-03T07:00,los,Lost Creek,1.073,1.06,0.0,1810.97,1551.5,259.47,21.0
2023-01-03,9,2023-01-03T08:00,los,Lost Creek,1.075,1.07,0.0,1810.99,1551.5,259.49,21.2
2023-01-03,10,2023-01-03T09:00,los,Lost Creek,1.041,1.05,0.0,1811.02,1551.5,259.52,20.8
2023-01-03,11,2023-01-03T10:00,los,Lost Creek,1.071,1.06,0.0,1811.05,1551.5,259.55,21.0
2023-01-03,12,2023-01-03T11:00,los,Lost Creek,1.055,1.05,0.0,1811.08,1551.5,259.58,20.8
2023-01-03,13,2023-01-03T12:00,los,Lost Creek,1.067,1.06,0.0,1811.11,1551.5,259.61,21.0
2023-01-03,14,2023-01-03T13:00,los,Lost Creek,1.074,1.07,0.0,1811.14,1551.5,259.64,21.2
2023-01-03,15,2023-01-03T14:00,los,Lost Creek,1.069,1.06,0.0,1811.16,1551.5,259.66,21.0
2023-01-03,16,2023-01-03T15:00,los,Lost Creek,1.072,1.07,0.0,1811.19,1551.5,259.69,21.2
2023-01-03,17,2023-01-03T16:00,los,Lost Creek,1.072,1.06,0.0,1811.22,1551.5,259.72,21.0
2023-01-03,18,2023-01-03T17:00,los,Lost Creek,1.065,1.07,0.0,1811.24,1551.5,259.74,21.2
2023-01-03,19,2023-01-03T18:00,los,Lost Creek,1.056,1.05,0.0,1811.27,1551.5,259.77,20.8
2023-01-03,20,2023-01-03T19:00,los,Lost Creek,1.049,1.05,0.0,1811.3,1551.5,259.8,20.8
