date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,lwg,Lower Granite,15.1,14.7,0.0,736.65,638.3,98.35,110.3
2023-01-01,2,2023-01-01T01:00,lwg,Lower Granite,12.1,11.7,0.0,736.68,638.3,98.38,87.8
2023-01-01,3,2023-01-01T02:00,lwg,Lower Granite,12.1,11.7,0.0,736.77,638.3,98.47,87.9
2023-01-01,4,2023-01-01T03:00,lwg,Lower Granite,12.2,11.8,0.0,737.03,638.3,98.73,88.9
2023-01-01,5,2023-01-01T04:00,lwg,Lower Granite,14.6,12.5,0.0,737.03,638.3,98.73,94.2
2023-01-01,6,2023-01-01T05:00,lwg,Lower Granite,27.1,26.7,0.0,736.95,638.3,98.65,201.0
2023-01-01,7,2023-01-01T06:00,lwg,Lower Granite,25.6,25.2,0.0,737.11,638.3,98.81,190.0
2023-01-01,8,2023-01-01T07:00,lwg,Lower Granite,25.5,25.1,0.0,737.05,638.3,98.75,189.1
2023-01-01,9,2023-01-01T08:00,lwg,Lower Granite,25.6,25.2,0.0,736.95,638.3,98.65,189.7
2023-01-01,10,2023-01-01T09:00,lwg,Lower Granite,25.5,25.1,0.0,737.09,638.3,98.79,189.2
2023-01-01,11,2023-01-01T10:00,lwg,Lower Granite,25.3,24.9,0.0,737.09,638.3,98.79,187.7
2023-01-01,12,2023-01-01T11:00,lwg,Lower Granite,25.5,25.1,0.0,736.99,638.3,98.69,189.0
2023-01-01,13,2023-01-01T12:00,lwg,Lower Granite,25.5,25.1,0.0,737.07,638.3,98.77,189.2
2023-01-01,14,2023-01-01T13:00,lwg,Lower Granite,25.7,25.3,0.0,737.07,638.3,98.77,190.7
2023-01-01,15,2023-01-01T14:00,lwg,Lower Granite,25.5,25.1,0.0,737.01,638.3,98.71,189.0
2023-01-01,16,2023-01-01T15:00,lwg,Lower Granite,25.7,25.3,0.0,737.0,638.3,98.7,190.5
2023-01-01,17,2023-01-01T16:00,lwg,Lower Granite,34.8,34.4,0.0,736.91,638.3,98.61,258.8
2023-01-01,18,2023-01-01T17:00,lwg,Lower Granite,35.0,34.6,0.0,736.84,638.3,98.54,260.1
2023-01-01,19,2023-01-01T18:00,lwg,Lower Granite,35.1,34.7,0.0,736.73,638.3,98.43,260.6
2023-01-01,20,2023-01-01T19:00,lwg,Lower Granite,35.3,34.9,0.0,736.62,638.3,98.32,261.8
2023-01-01,21,2023-01-01T20:00,lwg,Lower Granite,34.5,34.1,0.0,736.62,638.3,98.32,255.8
2023-01-01,22,2023-01-01T21:00,lwg,Lower Granite,14.5,14.1,0.0,736.78,638.3,98.48,105.9
2023-01-01,23,2023-01-01T22:00,lwg,Lower Granite,12.4,12.0,0.0,736.8,638.3,98.5,90.2
2023-01-01,24,2023-01-01T23:00,lwg,Lower Granite,12.4,12.0,0.0,736.93,638.3,98.63,90.3
2023-01-02,1,2023-01-02T00:00,lwg,Lower Granite,12.4,12.0,0.0,737.17,638.3,98.87,90.5
2023-01-02,2,2023-01-02T01:00,lwg,Lower Granite,12.5,12.1,0.0,737.21,638.3,98.91,91.3
2023-01-02,3,2023-01-02T02:00,lwg,Lower Granite,12.4,12.0,0.0,737.32,638.3,99.02,90.7
2023-01-02,4,2023-01-02T03:00,lwg,Lower Granite,12.5,12.1,0.0,737.51,638.3,99.21,91.6
2023-01-02,5,2023-01-02T04:00,lwg,Lower Granite,19.8,19.4,0.0,737.4,636.8,100.6,148.9
2023-01-02,6,2023-01-02T05:00,lwg,Lower Granite,33.1,32.7,0.0,737.34,636.8,100.54,250.8
2023-01-02,7,2023-01-02T06:00,lwg,Lower Granite,33.6,33.2,0.0,737.4,637.09,100.31,254.1
2023-01-02,8,2023-01-02T07:00,lwg,Lower Granite,33.6,33.2,0.0,737.2,637.58,99.62,252.4
2023-01-02,9,2023-01-02T08:00,lwg,Lower Granite,33.3,32.9,0.0,737.09,637.11,99.98,251.0
2023-01-02,10,2023-01-02T09:00,lwg,Lower Granite,26.9,26.5,0.0,737.2,636.91,100.29,202.8
2023-01-02,11,2023-01-02T10:00,lwg,Lower Granite,26.6,26.2,0.0,737.1,637.19,99.91,199.7
2023-01-02,12,2023-01-02T11:00,lwg,Lower Granite,26.5,26.1,0.0,737.03,636.49,100.54,200.2
2023-01-02,13,2023-01-02T12:00,lwg,Lower Granite,26.3,25.9,0.0,737.11,636.48,100.63,198.9
2023-01-02,14,2023-01-02T13:00,lwg,Lower Granite,26.5,26.1,0.0,737.06,636.52,100.54,200.2
2023-01-02,15,2023-01-02T14:00,lwg,Lower Granite,26.3,25.9,0.0,736.99,636.06,100.93,199.5
2023-01-02,16,2023-01-02T15:00,lwg,Lower Granite,26.6,26.2,0.0,737.01,636.08,100.93,201.8
2023-01-02,17,2023-01-02T16:00,lwg,Lower Granite,35.0,34.6,0.0,736.86,636.17,100.69,265.8
2023-01-02,18,2023-01-02T17:00,lwg,Lower Granite,39.4,39.0,0.0,736.73,635.97,100.76,299.8
2023-01-02,19,2023-01-02T18:00,lwg,Lower Granite,39.4,39.0,0.0,736.65,635.97,100.68,299.6
2023-01-02,20,2023-01-02T19:00,lwg,Lower Granite,39.6,39.2,0.0,736.49,635.97,100.52,300.7
2023-01-02,21,2023-01-02T20:00,lwg,Lower Granite,39.4,39.0,0.0,736.37,635.97,100.4,298.8
2023-01-02,22,2023-01-02T21:00,lwg,Lower Granite,27.9,27.5,0.0,736.41,635.97,100.44,210.7
2023-01-02,23,2023-01-02T22:00,lwg,Lower Granite,25.9,25.5,0.0,736.34,635.97,100.37,195.3
2023-01-02,24,2023-01-02T23:00,lwg,Lower Granite,25.9,25.5,0.0,736.3,635.97,100.33,195.2
2023-01-03,1,2023-01-03T00:00,lwg,Lower Granite,26.0,25.6,0.0,736.4,635.97,100.43,196.2
2023-01-03,2,2023-01-03T01:00,lwg,Lower Granite,26.0,25.6,0.0,736.35,635.97,100.38,196.1
2023-01-03,3,2023-01-03T02:00,lwg,Lower Granite,26.0,25.6,0.0,736.28,635.97,100.31,195.9
2023-01-03,4,2023-01-03T03:00,lwg,Lower Granite,26.1,25.7,0.0,736.32,635.97,100.35,196.8
2023-01-03,5,2023-01-03T04:00,lwg,Lower Granite,26.1,25.7,0.0,736.3,635.97,100.33,196.7
2023-01-03,6,2023-01-03T05:00,lwg,Lower Granite,26.1,25.7,0.0,736.24,635.97,100.27,196.6
2023-01-03,7,2023-01-03T06:00,lwg,Lower Granite,25.9,25.5,0.0,736.25,635.97,100.28,195.1
2023-01-03,8,2023-01-03T07:00,lwg,Lower Granite,17.3,16.9,0.0,736.34,635.97,100.37,129.4
2023-01-03,9,2023-01-03T08:00,lwg,Lower Granite,16.6,16.2,0.0,736.34,635.97,100.37,124.1
2023-01-03,10,2023-01-03T09:00,lwg,Lower Granite,16.7,16.3,0.0,736.41,635.97,100.44,124.9
2023-01-03,11,2023-01-03T10:00,lwg,Lower Granite,16.6,16.2,0.0,736.52,634.59,101.93,126.0
2023-01-03,12,2023-01-03T11:00,lwg,Lower Granite,16.5,16.1,0.0,736.55,634.92,101.63,124.8
2023-01-03,13,2023-01-03T12:00,lwg,Lower Granite,16.5,16.1,0.0,736.61,635.02,101.59,124.8
2023-01-03,14,2023-01-03T13:00,lwg,Lower Granite,16.3,16.2,0.0,736.71,635.02,101.69,125.7
2023-01-03,15,2023-01-03T14:00,lwg,Lower Granite,17.2,17.1,0.0,736.73,635.19,101.54,132.5
2023-01-03,16,2023-01-03T15:00,lwg,Lower Granite,25.9,25.8,0.0,736.67,635.09,101.58,200.0
2023-01-03,17,2023-01-03T16:00,lwg,Lower Granite,25.9,25.8,0.0,736.74,635.05,101.69,200.2
2023-01-03,18,2023-01-03T17:00,lwg,Lower Granite,25.7,25.6,0.0,736.69,635.21,101.48,198.2
2023-01-03,19,2023-01-03T18:00,lwg,Lower Granite,25.8,25.8,0.0,736.61,635.02,101.59,200.0
2023-01-03,20,2023-01-03T19:00,lwg,Lower Granite,25.8,25.8,0.0,736.63,634.97,101.66,200.1
2023-01-03,21,2023-01-03T20:00,lwg,Lower Granite,27.4,25.7,0.0,736.61,635.12,101.49,199.0
2023-01-03,22,2023-01-03T21:00,lwg,Lower Granite,25.5,25.5,0.0,736.5,635.15,101.35,197.2
2023-01-03,23,2023-01-03T22:00,lwg,Lower Granite,16.2,16.2,0.0,736.67,635.06,101.61,125.6
2023-01-03,24,2023-01-03T23:00,lwg,Lower Granite,14.2,14.2,0.0,736.7,635.34,101.36,109.8
2023-01-04,1,2023-01-04T00:00,lwg,Lower Granite,14.2,14.2,0.0,736.77,635.14,101.63,110.1
