date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,lmn,Lower Monumental,15.2,14.9,0.0,539.03,438.29,100.74,114.5
2023-01-01,2,2023-01-01T01:00,lmn,Lower Monumental,14.8,14.5,0.0,538.74,438.37,100.37,111.0
2023-01-01,3,2023-01-01T02:00,lmn,Lower Monumental,14.9,14.6,0.0,539.05,438.37,100.68,112.2
2023-01-01,4,2023-01-01T03:00,lmn,Lower Monumental,14.9,14.6,0.0,538.71,438.45,100.26,111.7
2023-01-01,5,2023-01-01T04:00,lmn,Lower Monumental,14.8,14.5,0.0,539.0,438.62,100.38,111.1
2023-01-01,6,2023-01-01T05:00,lmn,Lower Monumental,15.5,15.2,0.0,538.69,438.71,99.98,116.0
2023-01-01,7,2023-01-01T06:00,lmn,Lower Monumental,23.1,22.8,0.0,538.81,438.77,100.04,174.0
2023-01-01,8,2023-01-01T07:00,lmn,Lower Monumental,29.3,29.0,0.0,538.88,438.69,100.19,221.7
2023-01-01,9,2023-01-01T08:00,lmn,Lower Monumental,29.8,29.5,0.0,538.69,438.6,100.09,225.3
2023-01-01,10,2023-01-01T09:00,lmn,Lower Monumental,29.6,29.3,0.0,538.79,438.68,100.11,223.8
2023-01-01,11,2023-01-01T10:00,lmn,Lower Monumental,29.6,29.3,0.0,538.6,438.43,100.17,223.9
2023-01-01,12,2023-01-01T11:00,lmn,Lower Monumental,29.8,29.5,0.0,538.72,438.5,100.22,225.6
2023-01-01,13,2023-01-01T12:00,lmn,Lower Monumental,29.8,29.5,0.0,538.52,438.56,99.96,225.0
2023-01-01,14,2023-01-01T13:00,lmn,Lower Monumental,31.3,29.5,0.0,538.57,438.55,100.02,225.1
2023-01-01,15,2023-01-01T14:00,lmn,Lower Monumental,29.8,29.5,0.0,538.44,438.63,99.81,224.7
2023-01-01,16,2023-01-01T15:00,lmn,Lower Monumental,29.8,29.5,0.0,538.42,438.65,99.77,224.6
2023-01-01,17,2023-01-01T16:00,lmn,Lower Monumental,30.2,29.9,0.0,538.42,438.77,99.65,227.3
2023-01-01,18,2023-01-01T17:00,lmn,Lower Monumental,34.2,33.9,0.0,538.56,438.71,99.85,258.3
2023-01-01,19,2023-01-01T18:00,lmn,Lower Monumental,34.6,34.3,0.0,538.58,438.68,99.9,261.4
2023-01-01,20,2023-01-01T19:00,lmn,Lower Monumental,34.7,34.4,0.0,538.57,438.73,99.84,262.1
2023-01-01,21,2023-01-01T20:00,lmn,Lower Monumental,36.2,34.4,0.0,538.67,438.7,99.97,262.4
2023-01-01,22,2023-01-01T21:00,lmn,Lower Monumental,34.2,33.9,0.0,538.67,438.6,100.07,258.8
2023-01-01,23,2023-01-01T22:00,lmn,Lower Monumental,24.4,24.1,0.0,538.53,438.57,99.96,183.8
2023-01-01,24,2023-01-01T23:00,lmn,Lower Monumental,19.0,18.7,0.0,538.41,438.52,99.89,142.5
2023-01-02,1,2023-01-02T00:00,lmn,Lower Monumental,17.3,17.0,0.0,538.5,438.31,100.19,130.0
2023-01-02,2,2023-01-02T01:00,lmn,Lower Monumental,17.3,17.0,0.0,538.32,438.69,99.63,129.2
2023-01-02,3,2023-01-02T02:00,lmn,Lower Monumental,17.3,17.0,0.0,538.41,438.66,99.75,129.4
2023-01-02,4,2023-01-02T03:00,lmn,Lower Monumental,17.4,17.1,0.0,538.31,438.62,99.69,130.1
2023-01-02,5,2023-01-02T04:00,lmn,Lower Monumental,17.3,17.0,0.0,538.31,438.65,99.66,129.3
2023-01-02,6,2023-01-02T05:00,lmn,Lower Monumental,18.2,17.9,0.0,538.19,438.88,99.31,135.6
2023-01-02,7,2023-01-02T06:00,lmn,Lower Monumental,25.6,25.3,0.0,538.19,438.84,99.35,191.8
2023-01-02,8,2023-01-02T07:00,lmn,Lower Monumental,37.0,36.7,0.0,538.29,438.76,99.53,278.7
2023-01-02,9,2023-01-02T08:00,lmn,Lower Monumental,37.6,37.3,0.0,538.28,438.91,99.37,282.8
2023-01-02,10,2023-01-02T09:00,lmn,Lower Monumental,45.1,44.8,0.0,538.25,439.07,99.18,339.0
2023-01-02,11,2023-01-02T10:00,lmn,Lower Monumental,45.2,44.9,0.0,538.27,438.79,99.48,340.8
2023-01-02,12,2023-01-02T11:00,lmn,Lower Monumental,45.0,44.7,0.0,538.47,438.9,99.57,339.6
2023-01-02,13,2023-01-02T12:00,lmn,Lower Monumental,45.5,45.2,0.0,538.46,438.97,99.49,343.1
2023-01-02,14,2023-01-02T13:00,lmn,Lower Monumental,57.8,57.5,0.0,538.47,439.13,99.34,435.8
2023-01-02,15,2023-01-02T14:00,lmn,Lower Monumental,58.4,58.1,0.0,538.45,439.06,99.39,440.6
2023-01-02,16,2023-01-02T15:00,lmn,Lower Monumental,58.4,58.1,0.0,538.35,439.19,99.16,439.6
2023-01-02,17,2023-01-02T16:00,lmn,Lower Monumental,58.4,58.1,0.0,538.36,439.19,99.17,439.6
2023-01-02,18,2023-01-02T17:00,lmn,Lower Monumental,58.2,57.9,0.0,538.28,439.24,99.04,437.5
2023-01-02,19,2023-01-02T18:00,lmn,Lower Monumental,56.2,55.9,0.0,538.27,439.27,99.0,422.3
2023-01-02,20,2023-01-02T19:00,lmn,Lower Monumental,58.8,58.5,0.0,538.23,439.31,98.92,441.5
2023-01-02,21,2023-01-02T20:00,lmn,Lower Monumental,58.3,58.0,0.0,538.19,439.3,98.89,437.6
2023-01-02,22,2023-01-02T21:00,lmn,Lower Monumental,58.6,58.3,0.0,538.08,439.35,98.73,439.2
2023-01-02,23,2023-01-02T22:00,lmn,Lower Monumental,57.9,57.6,0.0,538.0,439.25,98.75,434.0
2023-01-02,24,2023-01-02T23:00,lmn,Lower Monumental,45.4,45.1,0.0,537.56,439.06,98.5,339.0
2023-01-03,1,2023-01-03T00:00,lmn,Lower Monumental,45.0,44.7,0.0,537.51,439.14,98.37,335.5
2023-01-03,2,2023-01-03T01:00,lmn,Lower Monumental,44.5,44.2,0.0,537.35,438.77,98.58,332.5
2023-01-03,3,2023-01-03T02:00,lmn,Lower Monumental,35.6,35.3,0.0,537.34,438.8,98.54,265.4
2023-01-03,4,2023-01-03T03:00,lmn,Lower Monumental,35.6,35.3,0.0,537.15,438.81,98.34,264.9
2023-01-03,5,2023-01-03T04:00,lmn,Lower Monumental,35.5,35.2,0.0,537.22,438.47,98.75,265.2
2023-01-03,6,2023-01-03T05:00,lmn,Lower Monumental,30.8,30.5,0.0,537.18,438.69,98.49,229.2
2023-01-03,7,2023-01-03T06:00,lmn,Lower Monumental,30.9,30.6,0.0,537.21,438.61,98.6,230.2
2023-01-03,8,2023-01-03T07:00,lmn,Lower Monumental,26.0,25.7,0.0,537.27,438.32,98.95,194.0
2023-01-03,9,2023-01-03T08:00,lmn,Lower Monumental,13.2,12.7,0.2,537.04,438.18,98.86,95.8
2023-01-03,10,2023-01-03T09:00,lmn,Lower Monumental,11.4,6.5,4.6,537.29,438.11,99.18,49.2
2023-01-03,11,2023-01-03T10:00,lmn,Lower Monumental,13.0,6.6,6.1,537.15,437.92,99.23,50.0
2023-01-03,12,2023-01-03T11:00,lmn,Lower Monumental,13.0,6.7,6.1,537.4,438.1,99.3,50.8
2023-01-03,13,2023-01-03T12:00,lmn,Lower Monumental,13.0,6.7,6.1,537.28,438.02,99.26,50.7
2023-01-03,14,2023-01-03T13:00,lmn,Lower Monumental,14.05,6.7,6.1,537.43,438.22,99.21,50.7
2023-01-03,15,2023-01-03T14:00,lmn,Lower Monumental,12.9,6.6,6.1,537.46,438.22,99.24,50.0
2023-01-03,16,2023-01-03T15:00,lmn,Lower Monumental,12.9,6.6,6.0,537.42,438.18,99.24,50.0
2023-01-03,17,2023-01-03T16:00,lmn,Lower Monumental,14.5,6.7,6.1,537.63,438.05,99.58,50.9
2023-01-03,18,2023-01-03T17:00,lmn,Lower Monumental,13.0,6.7,6.1,537.98,437.99,99.99,51.1
2023-01-03,19,2023-01-03T18:00,lmn,Lower Monumental,13.0,6.7,6.1,538.33,437.85,100.48,51.4
2023-01-03,20,2023-01-03T19:00,lmn,Lower Monumental,18.9,6.7,12.0,538.36,437.62,100.74,51.5
2023-01-03,21,2023-01-03T20:00,lmn,Lower Monumental,19.0,6.7,12.1,538.62,437.67,100.95,51.6
2023-01-03,22,2023-01-03T21:00,lmn,Lower Monumental,19.0,6.7,12.1,538.23,438.09,100.14,51.2
2023-01-03,23,2023-01-03T22:00,lmn,Lower Monumental,18.9,6.6,12.1,538.37,437.63,100.74,50.7
2023-01-03,24,2023-01-03T23:00,lmn,Lower Monumental,18.9,6.6,12.1,538.11,437.89,100.22,50.5
2023-01-04,1,2023-01-04T00:00,lmn,Lower Monumental,18.9,6.7,12.1,538.36,437.93,100.43,51.3
2023-01-04,2,2023-01-04T01:00,lmn,Lower Monumental,18.9,6.7,12.1,538.15,437.87,100.28,51.3
2023-01-04,3,2023-01-04T02:00,lmn,Lower Monumental,19.0,6.7,12.1,538.1,438.07,100.03,51.1
2023-01-04,4,2023-01-04T03:00,lmn,Lower Monumental,19.0,6.7,12.1,538.18,437.96,100.22,51.2
2023-01-04,5,2023-01-04T04:00,lmn,Lower Monumental,19.0,6.7,12.1,538.0,438.05,99.95,51.1
2023-01-04,6,2023-01-04T05:00,lmn,Lower Monumental,18.9,6.7,12.1,538.1,438.05,100.05,51.1
2023-01-04,7,2023-01-04T06:00,lmn,Lower Monumental,19.0,6.7,12.1,538.03,438.02,100.01,51.1
2023-01-04,8,2023-01-04T07:00,lmn,Lower Monumental,19.0,6.7,12.1,538.54,437.94,100.6,51.4
2023-01-04,9,2023-01-04T08:00,lmn,Lower Monumental,18.9,6.6,12.1,538.43,437.85,100.58,50.7
