date,hour,datetime,dam_code,dam_name,total_outflow_kcfs,gen_flow_kcfs,spill_kcfs,forebay_elev_ft,tailwater_elev_ft,head_ft,power_mw
2023-01-01,1,2023-01-01T00:00,mcn,McNary,82.5,80.0,0.0,339.24,265.59,73.65,449.6
2023-01-01,2,2023-01-01T01:00,mcn,McNary,78.5,76.0,0.0,339.22,265.45,73.77,427.8
2023-01-01,3,2023-01-01T02:00,mcn,McNary,78.8,76.3,0.0,339.24,265.42,73.82,429.8
2023-01-01,4,2023-01-01T03:00,mcn,McNary,79.2,76.7,0.0,339.13,265.61,73.52,430.3
2023-01-01,5,2023-01-01T04:00,mcn,McNary,87.5,85.0,0.0,339.14,265.69,73.45,476.4
2023-01-01,6,2023-01-01T05:00,mcn,McNary,97.0,94.5,0.0,339.1,266.0,73.1,527.1
2023-01-01,7,2023-01-01T06:00,mcn,McNary,107.6,105.1,0.0,339.03,266.08,72.95,585.0
2023-01-01,8,2023-01-01T07:00,mcn,McNary,107.5,105.0,0.0,339.03,265.97,73.06,585.3
2023-01-01,9,2023-01-01T08:00,mcn,McNary,107.7,105.2,0.0,339.09,266.0,73.09,586.7
2023-01-01,10,2023-01-01T09:00,mcn,McNary,106.7,104.2,0.0,339.07,265.99,73.08,581.0
2023-01-01,11,2023-01-01T10:00,mcn,McNary,106.9,104.4,0.0,339.01,265.92,73.09,582.2
2023-01-01,12,2023-01-01T11:00,mcn,McNary,89.5,87.0,0.0,339.16,265.66,73.5,487.9
2023-01-01,13,2023-01-01T12:00,mcn,McNary,87.4,84.9,0.0,339.1,265.67,73.43,475.7
2023-01-01,14,2023-01-01T13:00,mcn,McNary,87.1,84.6,0.0,339.11,265.73,73.38,473.7
2023-01-01,15,2023-01-01T14:00,mcn,McNary,87.7,85.2,0.0,339.12,265.92,73.2,475.9
2023-01-01,16,2023-01-01T15:00,mcn,McNary,106.4,103.9,0.0,339.04,266.06,72.98,578.6
2023-01-01,17,2023-01-01T16:00,mcn,McNary,109.0,106.5,0.0,338.94,265.97,72.97,593.0
2023-01-01,18,2023-01-01T17:00,mcn,McNary,106.9,104.4,0.0,339.03,265.99,73.04,581.8
2023-01-01,19,2023-01-01T18:00,mcn,McNary,107.8,105.3,0.0,339.03,266.01,73.02,586.7
2023-01-01,20,2023-01-01T19:00,mcn,McNary,109.3,106.8,0.0,339.09,265.86,73.23,596.7
2023-01-01,21,2023-01-01T20:00,mcn,McNary,98.8,96.3,0.0,339.04,265.85,73.19,537.8
2023-01-01,22,2023-01-01T21:00,mcn,McNary,101.0,98.5,0.0,339.05,265.89,73.16,549.8
2023-01-01,23,2023-01-01T22:00,mcn,McNary,82.5,80.0,0.0,339.22,265.55,73.67,449.7
2023-01-01,24,2023-01-01T23:00,mcn,McNary,80.1,77.6,0.0,339.21,265.54,73.67,436.2
2023-01-02,1,2023-01-02T00:00,mcn,McNary,79.7,77.2,0.0,339.18,265.56,73.62,433.6
2023-01-02,2,2023-01-02T01:00,mcn,McNary,80.5,78.0,0.0,339.19,265.67,73.52,437.5
2023-01-02,3,2023-01-02T02:00,mcn,McNary,80.2,77.7,0.0,339.21,265.65,73.56,436.1
2023-01-02,4,2023-01-02T03:00,mcn,McNary,81.1,78.6,0.0,339.19,265.65,73.54,441.0
2023-01-02,5,2023-01-02T04:00,mcn,McNary,81.8,79.3,0.0,339.14,265.66,73.48,444.6
2023-01-02,6,2023-01-02T05:00,mcn,McNary,96.5,94.0,0.0,338.99,266.01,72.98,523.4
2023-01-02,7,2023-01-02T06:00,mcn,McNary,110.0,107.5,0.0,338.99,266.34,72.65,595.9
2023-01-02,8,2023-01-02T07:00,mcn,McNary,127.5,125.0,0.0,339.01,266.44,72.57,692.1
2023-01-02,9,2023-01-02T08:00,mcn,McNary,117.7,115.2,0.0,339.08,266.35,72.73,639.3
2023-01-02,10,2023-01-02T09:00,mcn,McNary,117.6,115.1,0.0,338.98,266.21,72.77,639.1
2023-01-02,11,2023-01-02T10:00,mcn,McNary,118.4,115.9,0.0,338.93,266.2,72.73,643.2
2023-01-02,12,2023-01-02T11:00,mcn,McNary,134.7,132.2,0.0,338.92,266.62,72.3,729.3
2023-01-02,13,2023-01-02T12:00,mcn,McNary,136.6,134.1,0.0,338.89,266.63,72.26,739.4
2023-01-02,14,2023-01-02T13:00,mcn,McNary,135.8,133.3,0.0,338.87,266.71,72.16,733.9
2023-01-02,15,2023-01-02T14:00,mcn,McNary,135.1,132.6,0.0,338.8,266.72,72.08,729.3
2023-01-02,16,2023-01-02T15:00,mcn,McNary,137.4,134.9,0.0,338.88,266.63,72.25,743.7
2023-01-02,17,2023-01-02T16:00,mcn,McNary,135.9,133.4,0.0,338.81,266.74,72.07,733.6
2023-01-02,18,2023-01-02T17:00,mcn,McNary,156.1,153.6,0.0,338.64,267.38,71.26,835.1
2023-01-02,19,2023-01-02T18:00,mcn,McNary,157.1,154.6,0.0,338.71,267.38,71.33,841.4
2023-01-02,20,2023-01-02T19:00,mcn,McNary,157.8,155.3,0.0,338.65,267.41,71.24,844.2
2023-01-02,21,2023-01-02T20:00,mcn,McNary,156.6,154.1,0.0,338.6,267.15,71.45,840.1
2023-01-02,22,2023-01-02T21:00,mcn,McNary,136.0,133.5,0.0,338.68,266.47,72.21,735.5
2023-01-02,23,2023-01-02T22:00,mcn,McNary,107.8,105.3,0.0,338.77,266.21,72.56,583.0
2023-01-02,24,2023-01-02T23:00,mcn,McNary,105.8,103.3,0.0,338.78,266.37,72.41,570.7
2023-01-03,1,2023-01-03T00:00,mcn,McNary,104.8,102.3,0.0,338.92,266.32,72.6,566.7
2023-01-03,2,2023-01-03T01:00,mcn,McNary,95.4,92.9,0.0,339.08,266.24,72.84,516.3
2023-01-03,3,2023-01-03T02:00,mcn,McNary,94.5,92.0,0.0,339.19,266.25,72.94,512.0
2023-01-03,4,2023-01-03T03:00,mcn,McNary,96.0,93.5,0.0,339.4,266.33,73.07,521.3
2023-01-03,5,2023-01-03T04:00,mcn,McNary,121.0,118.5,0.0,339.4,266.89,72.51,655.6
2023-01-03,6,2023-01-03T05:00,mcn,McNary,152.0,149.5,0.0,339.39,267.43,71.96,820.8
2023-01-03,7,2023-01-03T06:00,mcn,McNary,154.8,152.3,0.0,339.38,267.48,71.9,835.5
2023-01-03,8,2023-01-03T07:00,mcn,McNary,158.7,156.2,0.0,339.31,267.52,71.79,855.6
2023-01-03,9,2023-01-03T08:00,mcn,McNary,160.6,158.1,0.0,339.22,267.34,71.88,867.1
2023-01-03,10,2023-01-03T09:00,mcn,McNary,141.3,138.8,0.0,339.27,266.65,72.62,769.1
2023-01-03,11,2023-01-03T10:00,mcn,McNary,120.3,117.8,0.0,339.22,266.33,72.89,655.1
2023-01-03,12,2023-01-03T11:00,mcn,McNary,102.7,100.2,0.0,339.14,266.31,72.83,556.8
2023-01-03,13,2023-01-03T12:00,mcn,McNary,100.2,97.7,0.0,338.99,266.38,72.61,541.3
2023-01-03,14,2023-01-03T13:00,mcn,McNary,100.4,97.9,0.0,339.13,266.32,72.81,543.9
2023-01-03,15,2023-01-03T14:00,mcn,McNary,101.0,98.5,0.0,339.01,266.34,72.67,546.2
2023-01-03,16,2023-01-03T15:00,mcn,McNary,123.1,120.6,0.0,338.87,266.73,72.14,663.8
2023-01-03,17,2023-01-03T16:00,mcn,McNary,122.0,119.5,0.0,338.85,266.64,72.21,658.4
2023-01-03,18,2023-01-03T17:00,mcn,McNary,120.9,118.4,0.0,338.86,266.63,72.23,652.5
2023-01-03,19,2023-01-03T18:00,mcn,McNary,123.3,120.8,0.0,338.87,266.66,72.21,665.6
2023-01-03,20,2023-01-03T19:00,mcn,McNary,117.1,114.6,0.0,338.83,266.33,72.5,633.9
2023-01-03,21,2023-01-03T20:00,mcn,McNary,116.2,113.7,0.0,338.88,266.3,72.58,629.7
2023-01-03,22,2023-01-03T21:00,mcn,McNary,116.0,113.5,0.0,338.88,266.27,72.61,628.8
2023-01-03,23,2023-01-03T22:00,mcn,McNary,98.6,96.1,0.0,338.89,265.8,73.09,535.9
2023-01-03,24,2023-01-03T23:00,mcn,McNary,79.0,76.5,0.0,338.97,265.52,73.45,428.7
2023-01-04,1,2023-01-04T00:00,mcn,McNary,78.4,75.9,0.0,338.97,265.63,73.34,424.7
2023-01-04,2,2023-01-04T01:00,mcn,McNary,78.6,76.1,0.0,339.09,265.64,73.45,426.5
2023-01-04,3,2023-01-04T02:00,mcn,McNary,78.7,76.2,0.0,339.25,265.8,73.45,427.0
2023-01-04,4,2023-01-04T03:00,mcn,McNary,77.9,75.4,0.0,339.29,265.8,73.49,422.8
2023-01-04,5,2023-01-04T04:00,mcn,McNary,79.4,76.9,0.0,339.38,265.81,73.57,431.7
2023-01-04,6,2023-01-04T05:00,mcn,McNary,96.7,94.2,0.0,339.26,266.24,73.02,524.8
2023-01-04,7,2023-01-04T06:00,mcn,McNary,134.6,132.1,0.0,339.2,266.92,72.28,728.5
2023-01-04,8,2023-01-04T07:00,mcn,McNary,157.0,154.5,0.0,339.11,267.31,71.8,846.4
2023-01-04,9,2023-01-04T08:00,mcn,McNary,157.1,154.6,0.0,339.15,267.08,72.07,850.1
2023-01-04,10,2023-01-04T09:00,mcn,McNary,137.7,135.2,0.0,339.09,266.39,72.7,750.0
2023-01-04,11,2023-01-04T10:00,mcn,McNary,109.9,107.4,0.0,339.11,265.52,73.59,603.0
2023-01-04,12,2023-01-04T11:00,mcn,McNary,78.8,76.3,0.0,339.08,265.31,73.77,429.5
2023-01-04,13,2023-01-04T12:00,mcn,McNary,78.0,75.5,0.0,339.05,265.66,73.39,422.8
2023-01-04,14,2023-01-04T13:00,mcn,McNary,80.6,78.1,0.0,339.03,265.89,73.14,435.8
2023-01-04,15,2023-01-04T14:00,mcn,McNary,81.4,78.9,0.0,338.97,265.86,73.11,440.1
2023-01-04,16,2023-01-04T15:00,mcn,McNary,98.0,95.5,0.0,338.96,266.01,72.95,531.6
2023-01-04,17,2023-01-04T16:00,mcn,McNary,116.2,113.7,0.0,338.69,266.33,72.36,627.7
2023-01-04,18,2023-01-04T17:00,mcn,McNary,132.3,129.8,0.0,338.72,266.39,72.33,716.3
2023-01-04,19,2023-01-04T18:00,mcn,McNary,135.8,133.3,0.0,338.68,266.41,72.27,735.0
2023-01-04,20,2023-01-04T19:00,mcn,McNary,136.3,133.8,0.0,338.63,266.39,72.24,737.5
2023-01-04,21,2023-01-04T20:00,mcn,McNary,116.2,113.7,0.0,338.67,265.93,72.74,631.0
2023-01-04,22,2023-01-04T21:00,mcn,McNary,98.3,95.8,0.0,338.65,265.3,73.35,536.2
2023-01-04,23,2023-01-04T22:00,mcn,McNary,78.2,75.7,0.0,338.72,265.13,73.59,425.0
2023-01-04,24,2023-01-04T23:00,mcn,McNary,78.2,75.7,0.0,338.66,265.32,73.34,423.6
2023-01-05,1,2023-01-05T00:00,mcn,McNary,68.3,65.8,0.0,338.68,265.32,73.36,368.3
2023-01-05,2,2023-01-05T01:00,mcn,McNary,77.6,75.1,0.0,338.62,265.64,72.98,418.2
2023-01-05,3,2023-01-05T02:00,mcn,McNary,76.6,74.1,0.0,338.61,265.33,73.28,414.3
2023-01-05,4,2023-01-05T03:00,mcn,McNary,77.5,75.0,0.0,338.58,265.3,73.28,419.3
2023-01-05,5,2023-01-05T04:00,mcn,McNary,78.4,75.9,0.0,338.6,265.52,73.08,423.2
2023-01-05,6,2023-01-05T05:00,mcn,McNary,97.2,94.7,0.0,338.45,266.02,72.43,523.4
2023-01-05,7,2023-01-05T06:00,mcn,McNary,124.9,122.4,0.0,338.49,266.51,71.98,672.2
2023-01-05,8,2023-01-05T07:00,mcn,McNary,124.7,122.2,0.0,338.54,266.3,72.24,673.6
2023-01-05,9,2023-01-05T08:00,mcn,McNary,127.1,125.3,0.0,338.46,266.3,72.16,689.9
2023-01-05,10,2023-01-05T09:00,mcn,McNary,123.9,122.1,0.0,338.41,265.98,72.43,674.8
2023-01-05,11,2023-01-05T10:00,mcn,McNary,97.0,95.2,0.0,338.54,265.15,73.39,533.1
2023-01-05,12,2023-01-05T11:00,mcn,McNary,77.6,75.8,0.0,338.51,265.13,73.38,424.4
2023-01-05,13,2023-01-05T12:00,mcn,McNary,76.4,74.6,0.0,338.39,265.39,73.0,415.5
2023-01-05,14,2023-01-05T13:00,mcn,McNary,77.4,75.6,0.0,338.56,265.47,73.09,421.6
2023-01-05,15,2023-01-05T14:00,mcn,McNary,77.1,75.3,0.0,338.51,265.18,73.33,421.3
2023-01-05,16,2023-01-05T15:00,mcn,McNary,76.6,74.8,0.0,338.55,265.25,73.3,418.3
2023-01-05,17,2023-01-05T16:00,mcn,McNary,96.9,95.1,0.0,338.58,265.59,72.99,529.6
2023-01-05,18,2023-01-05T17:00,mcn,McNary,125.1,123.3,0.0,338.51,266.21,72.3,680.2
2023-01-05,19,2023-01-05T18:00,mcn,McNary,128.3,126.5,0.0,338.57,266.25,72.32,698.0
2023-01-05,20,2023-01-05T19:00,mcn,McNary,134.0,132.2,0.0,338.66,266.15,72.51,731.4
