Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,836224,-,-,-,34.86,-118.17,0,712,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,DHI,DNI,GHI,Relative Humidity,Surface Albedo,Solar Zenith Angle,Fill Flag,Temperature
2020,1,1,0,0,34,611,122,0,34,611,122,53.11,0.25,81.77,0,8.6
2020,1,1,0,10,30,548,93,0,30,548,93,53.83,0.25,83.43,0,8.4
2020,1,1,0,20,25,471,65,0,25,471,65,54.2,0.25,85.11,0,8.3
2020,1,1,0,30,19,375,40,0,19,375,40,54.94,0.25,86.8,0,8.1
2020,1,1,0,40,13,250,20,0,13,250,20,48.58,0.25,88.47,0,7.9
2020,1,1,0,50,0,0,0,0,0,0,0,49.25,0.25,90.05,0,7.7
2020,1,1,1,0,0,0,0,0,0,0,0,49.92,0.25,92.4,0,7.5
2020,1,1,1,10,0,0,0,0,0,0,0,50.26,0.25,94.25,0,7.4
2020,1,1,1,20,0,0,0,0,0,0,0,50.32,0.25,96.11,0,7.4
2020,1,1,1,30,0,0,0,0,0,0,0,50.660000000000004,0.25,97.99000000000001,0,7.300000000000001
2020,1,1,1,40,0,0,0,0,0,0,0,48.89,0.25,99.9,0,7.300000000000001
2020,1,1,1,50,0,0,0,0,0,0,0,49.22,0.25,101.81,0,7.2
2020,1,1,2,0,0,0,0,0,0,0,0,49.22,0.25,103.75,0,7.2
2020,1,1,2,10,0,0,0,0,0,0,0,49.56,0.25,105.7,0,7.1000000000000005
2020,1,1,2,20,0,0,0,0,0,0,0,49.56,0.25,107.66,0,7.1000000000000005
2020,1,1,2,30,0,0,0,0,0,0,0,49.56,0.25,109.64,0,7.1000000000000005
2020,1,1,2,40,0,0,0,0,0,0,0,48.53,0.25,111.62,0,7
2020,1,1,2,50,0,0,0,0,0,0,0,48.53,0.25,113.62,0,7
2020,1,1,3,0,0,0,0,0,0,0,0,48.53,0.25,115.63,0,7
2020,1,1,3,10,0,0,0,0,0,0,0,48.86,0.25,117.64,0,6.9
2020,1,1,3,20,0,0,0,0,0,0,0,49.2,0.25,119.66,0,6.800000000000001
2020,1,1,3,30,0,0,0,0,0,0,0,49.53,0.25,121.69,0,6.7
2020,1,1,3,40,0,0,0,0,0,0,0,48.58,0.25,123.73,0,6.7
2020,1,1,3,50,0,0,0,0,0,0,0,48.97,0.25,125.77,0,6.6000000000000005
2020,1,1,4,0,0,0,0,0,0,0,0,49.300000000000004,0.25,127.81,0,6.5
2020,1,1,4,10,0,0,0,0,0,0,0,49.64,0.25,129.86,0,6.4
2020,1,1,4,20,0,0,0,0,0,0,0,49.64,0.25,131.91,0,6.4
2020,1,1,4,30,0,0,0,0,0,0,0,49.99,0.25,133.96,0,6.300000000000001
2020,1,1,4,40,0,0,0,0,0,0,0,49.47,0.25,136.01,0,6.2
2020,1,1,4,50,0,0,0,0,0,0,0,49.47,0.25,138.06,0,6.2
2020,1,1,5,0,0,0,0,0,0,0,0,49.81,0.25,140.1,0,6.1000000000000005
2020,1,1,5,10,0,0,0,0,0,0,0,50.160000000000004,0.25,142.14000000000001,0,6
2020,1,1,5,20,0,0,0,0,0,0,0,50.160000000000004,0.25,144.18,0,6
2020,1,1,5,30,0,0,0,0,0,0,0,50.5,0.25,146.20000000000002,0,5.9
2020,1,1,5,40,0,0,0,0,0,0,0,49.57,0.25,148.21,0,5.800000000000001
2020,1,1,5,50,0,0,0,0,0,0,0,49.92,0.25,150.20000000000002,0,5.7
2020,1,1,6,0,0,0,0,0,0,0,0,49.92,0.25,152.17000000000002,0,5.7
2020,1,1,6,10,0,0,0,0,0,0,0,50.26,0.25,154.11,0,5.6000000000000005
2020,1,1,6,20,0,0,0,0,0,0,0,50.61,0.25,156.02,0,5.5
2020,1,1,6,30,0,0,0,0,0,0,0,50.61,0.25,157.88,0,5.5
2020,1,1,6,40,0,0,0,0,0,0,0,49.02,0.25,159.68,0,5.4
2020,1,1,6,50,0,0,0,0,0,0,0,49.36,0.25,161.4,0,5.300000000000001
2020,1,1,7,0,0,0,0,0,0,0,0,49.31,0.25,163.02,0,5.300000000000001
2020,1,1,7,10,0,0,0,0,0,0,0,49.31,0.25,164.51,0,5.300000000000001
2020,1,1,7,20,0,0,0,0,0,0,0,49.31,0.25,165.82,0,5.300000000000001
2020,1,1,7,30,0,0,0,0,0,0,0,49.31,0.25,166.9,0,5.300000000000001
2020,1,1,7,40,0,0,0,0,0,0,0,47.24,0.25,167.68,0,5.300000000000001
2020,1,1,7,50,0,0,0,0,0,0,0,47.24,0.25,168.1,0,5.300000000000001
2020,1,1,8,0,0,0,0,0,0,0,0,47.24,0.25,168.14000000000001,0,5.300000000000001
2020,1,1,8,10,0,0,0,0,0,0,0,46.92,0.25,167.78,0,5.4
2020,1,1,8,20,0,0,0,0,0,0,0,46.92,0.25,167.06,0,5.4
2020,1,1,8,30,0,0,0,0,0,0,0,46.59,0.25,166.03,0,5.5
2020,1,1,8,40,0,0,0,0,0,0,0,44.96,0.25,164.76,0,5.5
2020,1,1,8,50,0,0,0,0,0,0,0,44.65,0.25,163.31,0,5.6000000000000005
2020,1,1,9,0,0,0,0,0,0,0,0,44.35,0.25,161.71,0,5.7
2020,1,1,9,10,0,0,0,0,0,0,0,44.65,0.25,160,0,5.6000000000000005
2020,1,1,9,20,0,0,0,0,0,0,0,44.96,0.25,158.21,0,5.5
2020,1,1,9,30,0,0,0,0,0,0,0,45.28,0.25,156.36,0,5.4
2020,1,1,9,40,0,0,0,0,0,0,0,44.99,0.25,154.46,0,5.4
2020,1,1,9,50,0,0,0,0,0,0,0,45.300000000000004,0.25,152.52,0,5.300000000000001
2020,1,1,10,0,0,0,0,0,0,0,0,45.62,0.25,150.56,0,5.2
2020,1,1,10,10,0,0,0,0,0,0,0,45.93,0.25,148.57,0,5.1000000000000005
2020,1,1,10,20,0,0,0,0,0,0,0,46.25,0.25,146.56,0,5
2020,1,1,10,30,0,0,0,0,0,0,0,46.58,0.25,144.54,0,4.9
2020,1,1,10,40,0,0,0,0,0,0,0,47.22,0.25,142.51,0,4.7
2020,1,1,10,50,0,0,0,0,0,0,0,47.5,0.25,140.47,0,4.6000000000000005
2020,1,1,11,0,0,0,0,0,0,0,0,47.84,0.25,138.43,0,4.5
2020,1,1,11,10,0,0,0,0,0,0,0,48.17,0.25,136.38,0,4.4
2020,1,1,11,20,0,0,0,0,0,0,0,48.51,0.25,134.33,0,4.3
