Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,836224,-,-,-,34.86,-118.17,0,712,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.1.2.dev4+g3b38bc8.d20250228
Year,Month,Day,Hour,Minute,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Fill Flag,DHI,DNI,GHI,Relative Humidity,Surface Albedo,Solar Zenith Angle,Fill Flag,Temperature
2024,1,1,0,0,38,535,115,7,77,41,83,71.36,0.24,81.77,7,8.8
2024,1,1,0,10,33,471,87,7,3,0,3,72.33,0.24,83.43,7,8.6
2024,1,1,0,20,27,394,61,7,28,1,28,73.31,0.24,85.11,7,8.4
2024,1,1,0,30,20,300,37,7,20,300,37,73.81,0.24,86.8,5,8.3
2024,1,1,0,40,13,192,18,7,13,192,18,73.95,0.24,88.47,5,8.1
2024,1,1,0,50,0,0,0,0,0,0,0,74.96000000000001,0.24,90.05,0,7.9
2024,1,1,1,0,0,0,0,0,0,0,0,75.98,0.24,92.4,0,7.7
2024,1,1,1,10,0,0,0,0,0,0,0,75.98,0.24,94.25,0,7.7
2024,1,1,1,20,0,0,0,0,0,0,0,76.5,0.24,96.11,0,7.6000000000000005
2024,1,1,1,30,0,0,0,0,0,0,0,77.02,0.24,98,0,7.5
2024,1,1,1,40,0,0,0,0,0,0,0,78.24,0.24,99.9,0,7.4
2024,1,1,1,50,0,0,0,0,0,0,0,78.78,0.24,101.82000000000001,0,7.300000000000001
2024,1,1,2,0,0,0,0,0,0,0,0,79.32000000000001,0.24,103.75,0,7.2
2024,1,1,2,10,0,0,0,0,0,0,0,79.86,0.24,105.7,0,7.1000000000000005
2024,1,1,2,20,0,0,0,0,0,0,0,79.86,0.24,107.66,0,7.1000000000000005
2024,1,1,2,30,0,0,0,0,0,0,0,80.41,0.24,109.64,0,7
2024,1,1,2,40,0,0,0,0,0,0,0,81.45,0.24,111.62,0,6.9
2024,1,1,2,50,0,0,0,0,0,0,0,81.45,0.24,113.62,0,6.9
2024,1,1,3,0,0,0,0,0,0,0,0,82.01,0.24,115.63,0,6.800000000000001
2024,1,1,3,10,0,0,0,0,0,0,0,82.58,0.24,117.64,0,6.7
2024,1,1,3,20,0,0,0,0,0,0,0,83.14,0.24,119.67,0,6.6000000000000005
2024,1,1,3,30,0,0,0,0,0,0,0,83.72,0.24,121.69,0,6.5
2024,1,1,3,40,0,0,0,0,0,0,0,83.99,0.24,123.73,0,6.4
2024,1,1,3,50,0,0,0,0,0,0,0,84.57000000000001,0.24,125.77,0,6.300000000000001
2024,1,1,4,0,0,0,0,0,0,0,0,85.15,0.24,127.82000000000001,0,6.2
2024,1,1,4,10,0,0,0,0,0,0,0,85.74,0.24,129.86,0,6.1000000000000005
2024,1,1,4,20,0,0,0,0,0,0,0,86.33,0.24,131.91,0,6
2024,1,1,4,30,0,0,0,0,0,0,0,86.93,0.24,133.96,0,5.9
2024,1,1,4,40,0,0,0,0,0,0,0,87.22,0.24,136.01,0,5.800000000000001
2024,1,1,4,50,0,0,0,0,0,0,0,87.82000000000001,0.24,138.06,0,5.7
2024,1,1,5,0,0,0,0,0,0,0,0,88.43,0.24,140.11,0,5.6000000000000005
2024,1,1,5,10,0,0,0,0,0,0,0,89.05,0.24,142.14000000000001,0,5.5
2024,1,1,5,20,0,0,0,0,0,0,0,89.05,0.24,144.18,0,5.5
2024,1,1,5,30,0,0,0,0,0,0,0,89.67,0.24,146.20000000000002,0,5.4
2024,1,1,5,40,0,0,0,0,0,0,0,90.26,0.24,148.21,0,5.300000000000001
2024,1,1,5,50,0,0,0,0,0,0,0,90.79,0.24,150.20000000000002,0,5.2
2024,1,1,6,0,0,0,0,0,0,0,0,90.79,0.24,152.17000000000002,0,5.2
2024,1,1,6,10,0,0,0,0,0,0,0,91.42,0.24,154.11,0,5.1000000000000005
2024,1,1,6,20,0,0,0,0,0,0,0,92.06,0.24,156.02,0,5
2024,1,1,6,30,0,0,0,0,0,0,0,92.7,0.24,157.88,0,4.9
2024,1,1,6,40,0,0,0,0,0,0,0,93.48,0.24,159.68,0,4.800000000000001
2024,1,1,6,50,0,0,0,0,0,0,0,94.13,0.24,161.4,0,4.7
2024,1,1,7,0,0,0,0,0,0,0,0,94.13,0.24,163.03,0,4.7
2024,1,1,7,10,0,0,0,0,0,0,0,94.79,0.24,164.51,0,4.6000000000000005
2024,1,1,7,20,0,0,0,0,0,0,0,95.45,0.24,165.82,0,4.5
2024,1,1,7,30,0,0,0,0,0,0,0,95.45,0.24,166.9,0,4.5
2024,1,1,7,40,0,0,0,0,0,0,0,96.37,0.24,167.68,0,4.4
2024,1,1,7,50,0,0,0,0,0,0,0,97.04,0.24,168.1,0,4.3
2024,1,1,8,0,0,0,0,0,0,0,0,97.73,0.24,168.14000000000001,0,4.2
2024,1,1,8,10,0,0,0,0,0,0,0,98.41,0.24,167.78,0,4.1000000000000005
2024,1,1,8,20,0,0,0,0,0,0,0,99.10000000000001,0.24,167.06,0,4
2024,1,1,8,30,0,0,0,0,0,0,0,99.8,0.24,166.03,0,3.9000000000000004
2024,1,1,8,40,0,0,0,0,0,0,0,100,0.24,164.76,0,3.8000000000000003
2024,1,1,8,50,0,0,0,0,0,0,0,100,0.24,163.3,0,3.7
2024,1,1,9,0,0,0,0,0,0,0,0,100,0.24,161.70000000000002,0,3.6
2024,1,1,9,10,0,0,0,0,0,0,0,100,0.24,160,0,3.5
