year,series,usd_per_100lb_nominal,source
1892,cut_philadelphia,1.83,"AISA Report for 1899, p.28 (Duncannon Iron Co., W.E.S. Baker)"
1893,cut_philadelphia,1.44,"AISA Report for 1899, p.28 (Duncannon Iron Co., W.E.S. Baker)"
1894,cut_philadelphia,1.08,"AISA Report for 1899, p.28 (Duncannon Iron Co., W.E.S. Baker)"
1895,cut_philadelphia,1.56,"AISA Report for 1899, p.28 (Duncannon Iron Co., W.E.S. Baker)"
1896,cut_philadelphia,2.32,"AISA Report for 1899, p.28 (Duncannon Iron Co., W.E.S. Baker)"
1897,cut_philadelphia,1.47,"AISA Report for 1899, p.28 (Duncannon Iron Co., W.E.S. Baker)"
1898,cut_philadelphia,1.31,"AISA Report for 1899, p.28 (Duncannon Iron Co., W.E.S. Baker)"
1899,cut_philadelphia,2.21,"AISA Report for 1899, p.28 (Duncannon Iron Co., W.E.S. Baker)"
1900,cut_philadelphia,2.46,"AISA Report for 1907, p.40 (Duncannon Iron Co.)"
1901,cut_philadelphia,2.29,"AISA Report for 1907, p.40 (Duncannon Iron Co.)"
1902,cut_philadelphia,2.29,"AISA Report for 1907, p.40 (Duncannon Iron Co.)"
1903,cut_philadelphia,2.36,"AISA Report for 1907, p.40 (Duncannon Iron Co.)"
1904,cut_philadelphia,2.01,"AISA Report for 1907, p.40 (Duncannon Iron Co.)"
1905,cut_philadelphia,2.0,"AISA Report for 1907, p.40 (Duncannon Iron Co.)"
1906,cut_philadelphia,2.13,"AISA Report for 1907, p.40 (Duncannon Iron Co.)"
1907,cut_philadelphia,2.36,"AISA Report for 1907, p.40 (Duncannon Iron Co.)"
1908,cut_philadelphia,2.2,"AISA Report for 1910, p.45"
1909,cut_philadelphia,2.05,"AISA Report for 1910, p.45"
1910,cut_philadelphia,2.1,"AISA Report for 1910, p.45"
1911,cut_philadelphia,2.02,"AISA Report for 1920, p.86 (Edward L. Hand & Co.)"
1912,cut_philadelphia,1.92,"AISA Report for 1920, p.86 (Edward L. Hand & Co.)"
1913,cut_philadelphia,1.99,"AISA Report for 1920, p.86 (Edward L. Hand & Co.)"
1914,cut_philadelphia,1.9,"AISA Report for 1920, p.86 (Edward L. Hand & Co.)"
1915,cut_philadelphia,1.94,"AISA Report for 1920, p.86 (Edward L. Hand & Co.)"
1916,cut_philadelphia,2.96,"AISA Report for 1920, p.86 (Edward L. Hand & Co.)"
1917,cut_philadelphia,4.5,"AISA Report for 1920, p.86 (Edward L. Hand & Co.)"
1918,cut_philadelphia,5.19,"AISA Report for 1920, p.86 (Edward L. Hand & Co.)"
1919,cut_philadelphia,5.69,"AISA Report for 1920, p.86 (Edward L. Hand & Co.)"
1920,cut_philadelphia,7.29,"AISA Report for 1920, p.86 (Edward L. Hand & Co.)"
1800,hsus_e131_mixed_cut,10.67,HSUS (1975) Series E-131: 1800-1813 Philadelphia mixed (Cole); 1814-1890 cut (Cole / NY / Treasury / Duncannon); 1828 = NY quote
1801,hsus_e131_mixed_cut,10.67,HSUS (1975) Series E-131: 1800-1813 Philadelphia mixed (Cole); 1814-1890 cut (Cole / NY / Treasury / Duncannon); 1828 = NY quote
1802,hsus_e131_mixed_cut,11.65,HSUS (1975) Series E-131: 1800-1813 Philadelphia mixed (Cole); 1814-1890 cut (Cole / NY / Treasury / Duncannon); 1828 = NY quote
1803,hsus_e131_mixed_cut,10.52,HSUS (1975) Series E-131: 1800-1813 Philadelphia mixed (Cole); 1814-1890 cut (Cole / NY / Treasury / Duncannon); 1828 = NY quote
1804,hsus_e131_mixed_cut,10.5,HSUS (1975) Series E-131: 1800-1813 Philadelphia mixed (Cole); 1814-1890 cut (Cole / NY / Treasury / Duncannon); 1828 = NY quote
1805,hsus_e131_mixed_cut,10.5,HSUS (1975) Series E-131: 1800-1813 Philadelphia mixed (Cole); 1814-1890 cut (Cole / NY / Treasury / Duncannon); 1828 = NY quote
1806,hsus_e131_mixed_cut,9.5,HSUS (1975) Series E-131: 1800-1813 Philadelphia mixed (Cole); 1814-1890 cut (Cole / NY / Treasury / Duncannon); 1828 = NY quote
1807,hsus_e131_mixed_cut,9.5,HSUS (1975) Series E-131: 1800-1813 Philadelphia mixed (Cole); 1814-1890 cut (Cole / NY / Treasury / Duncannon); 1828 = NY quote
1808,hsus_e131_mixed_cut,9.5,HSUS (1975) Series E-131: 1800-1813 Philadelphia mixed (Cole); 1814-1890 cut (Cole / NY / Treasury / Duncannon); 1828 = NY quote
1809,hsus_e131_mixed_cut,9.5,HSUS (1975) Series E-131: 1800-1813 Philadelphia mixed (Cole); 1814-1890 cut (Cole / NY / Treasury / Duncannon); 1828 = NY quote
1810,hsus_e131_mixed_cut,9.5,HSUS (1975) Series E-131: 1800-1813 Philadelphia mixed (Cole); 1814-1890 cut (Cole / NY / Treasury / Duncannon); 1828 = NY quote
