year,series,cents_per_lb_nominal
1695,early_uk,6.8323
1696,early_uk,8.0734
1697,early_uk,7.1867
1698,early_uk,7.0785
1699,early_uk,6.9719
1700,early_uk,6.9719
1701,early_uk,6.9719
1702,early_uk,6.7635
1703,early_uk,6.9719
1704,early_uk,6.9719
1705,early_uk,6.9719
1706,early_uk,7.4458
1707,early_uk,7.4458
1708,early_uk,7.4458
1709,early_uk,7.4458
1710,early_uk,7.4458
1711,early_uk,7.4458
1712,early_uk,7.4458
1713,early_uk,7.4458
1714,early_uk,7.4458
1715,early_uk,7.4458
1716,early_uk,7.4458
1717,early_uk,7.4458
1718,early_uk,8.3644
1719,early_uk,8.3644
1720,early_uk,8.7098
1721,early_uk,8.3644
1722,early_uk,8.3644
1723,early_uk,8.1555
1724,early_uk,8.3644
1725,early_uk,8.3644
1726,early_uk,8.3644
1727,early_uk,8.3644
1728,early_uk,8.3644
1729,early_uk,7.6752
1730,early_uk,7.4458
1731,early_uk,7.4458
1732,early_uk,8.8430
1733,early_uk,7.4458
1734,early_uk,8.2802
1735,early_uk,8.9396
1736,early_uk,8.4923
1737,early_uk,8.7098
1738,early_uk,8.3644
1739,early_uk,8.3644
1740,early_uk,8.3644
1741,early_uk,8.3644
1742,early_uk,8.3644
1743,early_uk,8.3644
1744,early_uk,8.3644
1745,early_uk,8.3644
1746,early_uk,8.3644
1747,early_uk,8.3644
1748,early_uk,8.3644
1749,early_uk,7.6752
1750,early_uk,7.5596
1751,early_uk,7.4458
1752,early_uk,7.4458
1753,early_uk,7.4458
1754,early_uk,7.4458
1755,early_uk,7.4458
1756,early_uk,7.4458
1757,early_uk,7.4458
1758,early_uk,7.4458
1759,early_uk,7.4458
1760,early_uk,7.4458
1761,early_uk,7.4458
1762,early_uk,7.4458
1763,early_uk,7.4458
1764,early_uk,7.4458
1765,early_uk,7.4458
1766,early_uk,7.4458
1767,early_uk,7.4458
1768,early_uk,7.4458
1769,early_uk,7.4458
1770,early_uk,7.4458
1771,early_uk,7.4458
1772,early_uk,7.4458
1773,early_uk,7.4458
1774,early_uk,7.4458
1775,early_uk,7.4458
1776,early_uk,7.4458
1777,early_uk,7.0428
1778,early_uk,6.6280
1779,early_uk,6.1992
1780,early_uk,7.4458
1781,early_uk,7.6752
1782,early_uk,7.9117
1783,early_uk,8.1555
1784,early_uk,8.3644
1785,early_uk,8.3644
1786,early_uk,7.4458
1787,early_uk,7.4458
1788,early_uk,7.4458
1789,early_uk,7.4458
1790,early_uk,8.3644
1791,early_uk,8.2385
1792,early_uk,8.0734
1784,mixed,10.5558
1785,mixed,10.5025
1786,mixed,10.3968
1787,mixed,10.4495
1788,mixed,9.9845
1789,mixed,10.0860
1790,mixed,9.6860
1791,mixed,10.2921
1792,mixed,9.9845
1793,mixed,9.9845
1794,mixed,9.9845
1795,mixed,12.2546
1796,mixed,11.9787
1797,mixed,11.9787
1798,mixed,11.9787
1799,mixed,11.7983
1800,mixed,10.6631
1801,mixed,10.6631
1802,mixed,11.6795
1803,mixed,10.5025
1804,mixed,10.5025
1805,mixed,10.5025
1806,mixed,9.4920
1807,mixed,9.4920
1808,mixed,9.4920
1809,mixed,9.4920
1810,mixed,9.4920
1811,mixed,9.3490
1812,mixed,8.5026
1813,mixed,8.5026
1814,cut,11.9183
1815,cut,13.2539
1816,cut,13.5964
1817,cut,11.5620
1818,cut,10.1885
1819,cut,10.2402
1820,cut,10.3968
1821,cut,10.3968
1822,cut,10.3968
1823,cut,10.3968
1824,cut,9.3964
1825,cut,7.7533
1826,cut,7.6365
1827,cut,7.1505
1828,cut,7.4835
1829,cut,7.1144
1830,cut,5.4967
1831,cut,5.6091
1832,cut,5.8112
1833,cut,4.9930
1834,cut,5.4967
1835,cut,5.9903
1836,cut,5.9903
1837,cut,5.9903
1838,cut,5.9903
1839,cut,6.1127
1840,cut,5.4967
1841,cut,5.2521
1842,cut,4.7467
1843,cut,4.2468
1844,cut,4.4898
1845,cut,4.7467
1846,cut,4.4898
1847,cut,4.4898
1848,cut,4.2468
1849,cut,3.9967
1850,cut,3.7047
1851,cut,3.2812
1852,cut,3.1351
1853,cut,4.8438
1854,cut,4.7708
1855,cut,4.0991
1856,cut,3.9167
1857,cut,3.7235
1858,cut,3.5220
1859,cut,3.8577
1860,cut,3.1351
1861,cut,2.7488
1862,cut,3.4689
1863,cut,5.1209
1864,cut,7.8718
1865,cut,7.0785
1866,cut,6.9719
1867,cut,5.9300
1868,cut,5.1730
1869,cut,4.8683
1870,cut,4.3999
1871,cut,4.5126
1872,cut,5.4690
1873,cut,4.8930
1874,cut,3.9967
1875,cut,3.4167
1876,cut,2.9805
1877,cut,2.5738
1878,cut,2.3145
1879,cut,2.6937
1880,cut,3.6860
1881,cut,3.0879
1882,cut,3.4689
1883,cut,3.0568
1884,cut,2.3858
1885,cut,2.3262
1886,cut,2.2681
1887,cut,2.3028
1888,cut,2.0292
1889,cut,2.0001
1890,cut,2.0001
1890,wire,2.9655
1891,wire,2.4718
1892,wire,2.1892
1893,wire,1.9886
1894,wire,1.6492
1895,wire,2.1238
1896,wire,2.9356
1897,wire,1.4905
1898,wire,1.4400
1899,wire,2.3858
1900,wire,2.6265
1901,wire,2.3737
1902,wire,2.1024
1903,wire,2.0812
1904,wire,1.9097
1905,wire,1.9001
1906,wire,1.9586
1907,wire,2.1238
1908,wire,2.1024
1909,wire,1.9194
1910,wire,1.8905
1911,wire,1.7973
1912,wire,1.7435
1913,wire,1.8155
1914,wire,1.6829
1915,wire,1.7524
1916,wire,2.6000
1917,wire,3.6305
1918,wire,3.5939
1919,wire,3.5220
1920,wire,4.1829
1921,wire,3.0568
1922,wire,2.6132
1923,wire,3.0414
1924,wire,2.9956
1925,wire,2.8192
1926,wire,2.7488
1927,wire,2.6398
1928,wire,2.6801
1929,wire,2.6666
1930,wire,2.1892
1931,wire,1.9786
1932,wire,2.0499
1933,wire,2.0918
1934,wire,2.6265
1935,wire,2.6265
1936,wire,2.2339
1937,wire,2.7767
1938,wire,2.5738
