year,series,cents_per_nail_2012usd,cents_per_lb_2012usd
1695,early_uk,1.19407,101.49633
1696,early_uk,1.39532,118.60184
1697,early_uk,1.17301,99.70570
1698,early_uk,1.15745,98.38348
1699,early_uk,1.24287,105.64375
1700,early_uk,1.46532,124.55186
1701,early_uk,1.58047,134.33970
1702,early_uk,1.59460,135.54068
1703,early_uk,1.53199,130.21955
1704,early_uk,1.60171,136.14516
1705,early_uk,1.69710,144.25339
1706,early_uk,1.79817,152.84455
1707,early_uk,1.68206,142.97528
1708,early_uk,1.39532,118.60184
1709,early_uk,1.23185,104.70767
1710,early_uk,1.37681,117.02903
1711,early_uk,1.33459,113.43980
1712,early_uk,1.53883,130.80030
1713,early_uk,1.43307,121.81116
1714,early_uk,1.59460,135.54068
1715,early_uk,1.53883,130.80030
1716,early_uk,1.55258,131.96964
1717,early_uk,1.60171,136.14516
1718,early_uk,1.90526,161.94733
1719,early_uk,1.78224,151.49029
1720,early_uk,1.86334,158.38381
1721,early_uk,1.86334,158.38381
1722,early_uk,1.83863,156.28344
1723,early_uk,1.83863,156.28344
1724,early_uk,1.80619,153.52624
1725,early_uk,1.65976,141.07925
1726,early_uk,1.72758,146.84414
1727,early_uk,1.54569,131.38370
1728,early_uk,1.50497,127.92218
1729,early_uk,1.61603,137.36228
1730,early_uk,1.68206,142.97528
1731,early_uk,1.80619,153.52624
1732,early_uk,2.17578,184.94119
1733,early_uk,1.74302,148.15683
1734,early_uk,1.82234,154.89870
1735,early_uk,1.92230,163.39512
1736,early_uk,1.88838,160.51241
1737,early_uk,1.96555,167.07139
1738,early_uk,1.95682,166.32956
1739,early_uk,1.73528,147.49902
1740,early_uk,1.55258,131.96964
1741,early_uk,1.72758,146.84414
1742,early_uk,1.95682,166.32956
1743,early_uk,2.13896,181.81158
1744,early_uk,2.10122,178.60395
1745,early_uk,1.91376,162.66961
1746,early_uk,1.89680,161.22829
1747,early_uk,1.92230,163.39512
1748,early_uk,1.82234,154.89870
1749,early_uk,1.71227,145.54300
1750,early_uk,1.63047,138.59021
1751,early_uk,1.55258,131.96964
1752,early_uk,1.57345,133.74324
1753,early_uk,1.58752,134.93882
1754,early_uk,1.51168,128.49268
1755,early_uk,1.43946,122.35441
1756,early_uk,1.37070,116.50943
