year_float,absorption_musd_2012,year
1809.976,35.229,1810
1871.985,340.474,1872
1875.924,213.914,1876
1879.991,371.989,1880
1881.007,336.727,1881
1882.024,401.949,1882
1886.979,378.215,1887
1889.013,333.021,1889
1898.924,451.473,1899
1904.007,479.804,1904
1908.962,560.202,1909
1914.045,401.949,1914
1942.000,487.834,1942
1944.923,308.199,1945
1946.956,566.436,1947
1950.006,947.589,1950
1953.945,714.615,1954
1958.011,789.450,1958
1962.967,668.709,1963
1967.033,524.215,1967
1971.989,767.909,1972
1976.944,1007.053,1977
1982.027,550.981,1982
1986.983,820.625,1987
1991.939,1327.997,1992
2001.977,1508.218,2002
2006.933,1458.971,2007
2012.015,1175.801,2012
2016.971,1112.511,2017
