year,technology,kegs_100lb,quality,source
1810,cut,157279,benchmark,"Gallatin 1810 Treasury report: 410 naileries made 15,727,914 lb (French 1858, p.18); includes some hand-wrought"
1856,cut,1824749,benchmark,"Lesley (1859/1866) Iron Manufacturer's Guide: 81,462 gross tons of nails made 1856 (approximate, per Lesley)"
1872,cut,4065322,tabulated,"AISA Annual Statistical Report for 1889, p.77 'Production of cut nails in the United States since 1872'"
1873,cut,4024704,tabulated,"AISA Annual Statistical Report for 1889, p.77 'Production of cut nails in the United States since 1872'"
1874,cut,4912180,tabulated,"AISA Annual Statistical Report for 1889, p.77 'Production of cut nails in the United States since 1872'"
1875,cut,4726881,tabulated,"AISA Annual Statistical Report for 1889, p.77 'Production of cut nails in the United States since 1872'"
1876,cut,4157814,tabulated,"AISA Annual Statistical Report for 1889, p.77 'Production of cut nails in the United States since 1872'"
1877,cut,4828918,tabulated,"AISA Annual Statistical Report for 1889, p.77 'Production of cut nails in the United States since 1872'"
1878,cut,4396130,tabulated,"AISA Annual Statistical Report for 1889, p.77 'Production of cut nails in the United States since 1872'"
1879,cut,5011021,tabulated,"AISA Annual Statistical Report for 1889, p.77 'Production of cut nails in the United States since 1872'"
1880,cut,5370512,tabulated,"AISA Annual Statistical Report for 1889, p.77 'Production of cut nails in the United States since 1872'"
1881,cut,5794206,tabulated,"AISA Annual Statistical Report for 1889, p.77 'Production of cut nails in the United States since 1872'"
1882,cut,6147097,tabulated,"AISA Annual Statistical Report for 1889, p.77 'Production of cut nails in the United States since 1872'"
1883,cut,7762737,tabulated,"AISA Annual Statistical Report for 1889, p.77 'Production of cut nails in the United States since 1872'"
1884,cut,7581379,tabulated,"AISA Annual Statistical Report for 1889, p.77 'Production of cut nails in the United States since 1872'"
1885,cut,6696815,tabulated,"AISA Annual Statistical Report for 1889, p.77 'Production of cut nails in the United States since 1872'"
1886,cut,8160973,tabulated,"AISA Annual Statistical Report for 1889, p.77 'Production of cut nails in the United States since 1872'"
1887,cut,6908870,tabulated,"AISA Annual Statistical Report for 1889, p.77 'Production of cut nails in the United States since 1872'"
1888,cut,6493591,tabulated,"AISA Annual Statistical Report for 1889, p.77 'Production of cut nails in the United States since 1872'"
1889,cut,5810758,tabulated,"AISA Annual Statistical Report for 1889, p.77 'Production of cut nails in the United States since 1872'"
1890,cut,5640946,tabulated,"AISA Annual Statistical Report for 1920, p.56 'Production of cut nails in 100-lb kegs, 1890-1920'"
1891,cut,5002176,tabulated,"AISA Annual Statistical Report for 1920, p.56 'Production of cut nails in 100-lb kegs, 1890-1920'"
1892,cut,4507819,tabulated,"AISA Annual Statistical Report for 1920, p.56 'Production of cut nails in 100-lb kegs, 1890-1920'"
1893,cut,3048933,tabulated,"AISA Annual Statistical Report for 1920, p.56 'Production of cut nails in 100-lb kegs, 1890-1920'"
1894,cut,2425060,tabulated,"AISA Annual Statistical Report for 1920, p.56 'Production of cut nails in 100-lb kegs, 1890-1920'"
1895,cut,2129894,tabulated,"AISA Annual Statistical Report for 1920, p.56 'Production of cut nails in 100-lb kegs, 1890-1920'"
1896,cut,1615870,tabulated,"AISA Annual Statistical Report for 1920, p.56 'Production of cut nails in 100-lb kegs, 1890-1920'"
1897,cut,2106799,tabulated,"AISA Annual Statistical Report for 1920, p.56 'Production of cut nails in 100-lb kegs, 1890-1920'"
1898,cut,1572221,tabulated,"AISA Annual Statistical Report for 1920, p.56 'Production of cut nails in 100-lb kegs, 1890-1920'"
1899,cut,1904340,tabulated,"AISA Annual Statistical Report for 1920, p.56 'Production of cut nails in 100-lb kegs, 1890-1920'"
1900,cut,1573494,tabulated,"AISA Annual Statistical Report for 1920, p.56 'Production of cut nails in 100-lb kegs, 1890-1920'"
1901,cut,1542240,tabulated,"AISA Annual Statistical Report for 1920, p.56 'Production of cut nails in 100-lb kegs, 1890-1920'"
