scenario,fit,years,n,doublings,b,learning_rate,lr_ci95_lo,lr_ci95_hi
low,hand_forged,1695-1792,98,2.1,-0.0585,0.0397,-0.013,0.0898
low,cut,1814-1886,73,5.75,-0.2529,0.1608,0.1447,0.1765
low,wire,1890-1940,51,6.14,-0.1342,0.0888,0.0619,0.115
low,wire_postwar,1946-2000,55,1.1,0.3468,-0.2718,-0.465,-0.104
central,hand_forged,1695-1792,98,1.4,-0.0878,0.059,-0.0196,0.1316
central,cut,1814-1886,73,6.01,-0.2378,0.152,0.1365,0.1672
central,wire,1890-1940,51,6.14,-0.1342,0.0888,0.0619,0.115
central,wire_postwar,1946-2000,55,1.1,0.3468,-0.2718,-0.465,-0.104
high,hand_forged,1695-1792,98,0.7,-0.1755,0.1146,-0.0396,0.2459
high,cut,1814-1886,73,6.27,-0.2251,0.1445,0.1293,0.1593
high,wire,1890-1940,51,6.14,-0.1342,0.0888,0.0619,0.115
high,wire_postwar,1946-2000,55,1.1,0.3468,-0.2718,-0.465,-0.104
