year,tech,cents_per_lb_2012usd,source,usd_per_kg_2012,cents_per_nail_2012,cum_mt
1814,cut,104.71,Sichel (2022),2.3084,1.2319,0.11218
1815,cut,133.15,Sichel (2022),2.9354,1.5665,0.12149
1816,cut,147.5,Sichel (2022),3.2518,1.7353,0.13132
1817,cut,133.15,Sichel (2022),2.9354,1.5665,0.14168
1818,cut,122.35,Sichel (2022),2.6975,1.4395,0.1526
1819,cut,123.45,Sichel (2022),2.7216,1.4523,0.16413
1820,cut,136.75,Sichel (2022),3.0149,1.6089,0.17628
1821,cut,143.61,Sichel (2022),3.1661,1.6896,0.1891
1822,cut,143.61,Sichel (2022),3.1661,1.6896,0.20262
1823,cut,159.79,Sichel (2022),3.5228,1.8799,0.21689
1824,cut,157.68,Sichel (2022),3.4763,1.8551,0.23193
1825,cut,126.79,Sichel (2022),2.7952,1.4916,0.24779
1826,cut,124.55,Sichel (2022),2.7459,1.4653,0.26453
1827,cut,116.51,Sichel (2022),2.5686,1.3707,0.28218
1828,cut,125.67,Sichel (2022),2.7704,1.4784,0.3008
1829,cut,122.9,Sichel (2022),2.7095,1.4459,0.32043
1830,cut,95.366,Sichel (2022),2.1025,1.122,0.34114
1831,cut,97.079,Sichel (2022),2.1402,1.1421,0.36298
1832,cut,107.06,Sichel (2022),2.3603,1.2596,0.38602
1833,cut,95.366,Sichel (2022),2.1025,1.122,0.41032
1834,cut,101.5,Sichel (2022),2.2376,1.1941,0.43595
1835,cut,107.06,Sichel (2022),2.3603,1.2596,0.46298
1836,cut,100.6,Sichel (2022),2.2178,1.1835,0.4915
1837,cut,97.947,Sichel (2022),2.1594,1.1523,0.52157
1838,cut,103.78,Sichel (2022),2.288,1.2209,0.55329
1839,cut,106.11,Sichel (2022),2.3394,1.2484,0.58674
1840,cut,101.5,Sichel (2022),2.2376,1.1941,0.62203
1841,cut,93.684,Sichel (2022),2.0654,1.1022,0.65924
1842,cut,90.81,Sichel (2022),2.002,1.0684,0.6985
1843,cut,84.194,Sichel (2022),1.8562,0.99052,0.7399
1844,cut,89.208,Sichel (2022),1.9667,1.0495,0.78357
1845,cut,94.101,Sichel (2022),2.0746,1.1071,0.82963
1846,cut,92.441,Sichel (2022),2.038,1.0875,0.87821
1847,cut,89.208,Sichel (2022),1.9667,1.0495,0.92944
1848,cut,90.407,Sichel (2022),1.9931,1.0636,0.98349
1849,cut,88.812,Sichel (2022),1.958,1.0448,1.0405
1850,cut,82.341,Sichel (2022),1.8153,0.96872,1.1006
1851,cut,72.695,Sichel (2022),1.6027,0.85524,1.164
1852,cut,69.531,Sichel (2022),1.5329,0.81801,1.2309
1853,cut,107.54,Sichel (2022),2.3709,1.2652,1.3014
1854,cut,97.512,Sichel (2022),2.1498,1.1472,1.3758
1855,cut,81.249,Sichel (2022),1.7912,0.95587,1.4543
1856,cut,80.529,Sichel (2022),1.7754,0.94741,1.5371
1857,cut,73.672,Sichel (2022),1.6242,0.86673,1.6241
1858,cut,75.33,Sichel (2022),1.6607,0.88623,1.7156
