year,series,kt_per_yr,quality
1695,hand_forged_england_low,4.14,assumed (scenario)
1696,hand_forged_england_low,4.203,assumed (scenario)
1697,hand_forged_england_low,4.266,assumed (scenario)
1698,hand_forged_england_low,4.331,assumed (scenario)
1699,hand_forged_england_low,4.396,assumed (scenario)
1700,hand_forged_england_low,4.463,assumed (scenario)
1701,hand_forged_england_low,4.53,assumed (scenario)
1702,hand_forged_england_low,4.599,assumed (scenario)
1703,hand_forged_england_low,4.668,assumed (scenario)
1704,hand_forged_england_low,4.739,assumed (scenario)
1705,hand_forged_england_low,4.81,assumed (scenario)
1706,hand_forged_england_low,4.883,assumed (scenario)
1707,hand_forged_england_low,4.957,assumed (scenario)
1708,hand_forged_england_low,5.032,assumed (scenario)
1709,hand_forged_england_low,5.108,assumed (scenario)
1710,hand_forged_england_low,5.185,assumed (scenario)
1711,hand_forged_england_low,5.263,assumed (scenario)
1712,hand_forged_england_low,5.343,assumed (scenario)
1713,hand_forged_england_low,5.423,assumed (scenario)
1714,hand_forged_england_low,5.505,assumed (scenario)
1715,hand_forged_england_low,5.589,assumed (scenario)
1716,hand_forged_england_low,5.673,assumed (scenario)
1717,hand_forged_england_low,5.759,assumed (scenario)
1718,hand_forged_england_low,5.846,assumed (scenario)
1719,hand_forged_england_low,5.934,assumed (scenario)
1720,hand_forged_england_low,6.024,assumed (scenario)
1721,hand_forged_england_low,6.115,assumed (scenario)
1722,hand_forged_england_low,6.207,assumed (scenario)
1723,hand_forged_england_low,6.301,assumed (scenario)
1724,hand_forged_england_low,6.396,assumed (scenario)
1725,hand_forged_england_low,6.493,assumed (scenario)
1726,hand_forged_england_low,6.591,assumed (scenario)
1727,hand_forged_england_low,6.691,assumed (scenario)
1728,hand_forged_england_low,6.792,assumed (scenario)
1729,hand_forged_england_low,6.895,assumed (scenario)
1730,hand_forged_england_low,6.999,assumed (scenario)
1731,hand_forged_england_low,7.105,assumed (scenario)
1732,hand_forged_england_low,7.212,assumed (scenario)
1733,hand_forged_england_low,7.321,assumed (scenario)
1734,hand_forged_england_low,7.432,assumed (scenario)
1735,hand_forged_england_low,7.544,assumed (scenario)
1736,hand_forged_england_low,7.658,assumed (scenario)
1737,hand_forged_england_low,7.774,assumed (scenario)
1738,hand_forged_england_low,7.891,assumed (scenario)
1739,hand_forged_england_low,8.01,assumed (scenario)
1740,hand_forged_england_low,8.131,assumed (scenario)
1741,hand_forged_england_low,8.254,assumed (scenario)
1742,hand_forged_england_low,8.379,assumed (scenario)
1743,hand_forged_england_low,8.506,assumed (scenario)
1744,hand_forged_england_low,8.634,assumed (scenario)
1745,hand_forged_england_low,8.765,assumed (scenario)
1746,hand_forged_england_low,8.897,assumed (scenario)
1747,hand_forged_england_low,9.032,assumed (scenario)
1748,hand_forged_england_low,9.168,assumed (scenario)
1749,hand_forged_england_low,9.307,assumed (scenario)
1750,hand_forged_england_low,9.447,assumed (scenario)
1751,hand_forged_england_low,9.59,assumed (scenario)
1752,hand_forged_england_low,9.735,assumed (scenario)
1753,hand_forged_england_low,9.882,assumed (scenario)
1754,hand_forged_england_low,10.03,assumed (scenario)
1755,hand_forged_england_low,10.18,assumed (scenario)
1756,hand_forged_england_low,10.34,assumed (scenario)
1757,hand_forged_england_low,10.49,assumed (scenario)
1758,hand_forged_england_low,10.65,assumed (scenario)
1759,hand_forged_england_low,10.81,assumed (scenario)
1760,hand_forged_england_low,10.98,assumed (scenario)
1761,hand_forged_england_low,11.14,assumed (scenario)
1762,hand_forged_england_low,11.31,assumed (scenario)
1763,hand_forged_england_low,11.48,assumed (scenario)
1764,hand_forged_england_low,11.65,assumed (scenario)
1765,hand_forged_england_low,11.83,assumed (scenario)
1766,hand_forged_england_low,12.01,assumed (scenario)
1767,hand_forged_england_low,12.19,assumed (scenario)
1768,hand_forged_england_low,12.38,assumed (scenario)
1769,hand_forged_england_low,12.56,assumed (scenario)
1770,hand_forged_england_low,12.75,assumed (scenario)
1771,hand_forged_england_low,12.95,assumed (scenario)
1772,hand_forged_england_low,13.14,assumed (scenario)
1773,hand_forged_england_low,13.34,assumed (scenario)
1774,hand_forged_england_low,13.54,assumed (scenario)
1775,hand_forged_england_low,13.75,assumed (scenario)
1776,hand_forged_england_low,13.95,assumed (scenario)
1777,hand_forged_england_low,14.16,assumed (scenario)
1778,hand_forged_england_low,14.38,assumed (scenario)
1779,hand_forged_england_low,14.6,assumed (scenario)
1780,hand_forged_england_low,14.82,assumed (scenario)
1781,hand_forged_england_low,15.04,assumed (scenario)
1782,hand_forged_england_low,15.27,assumed (scenario)
1783,hand_forged_england_low,15.5,assumed (scenario)
1784,hand_forged_england_low,15.73,assumed (scenario)
1785,hand_forged_england_low,15.97,assumed (scenario)
1786,hand_forged_england_low,16.21,assumed (scenario)
1787,hand_forged_england_low,16.46,assumed (scenario)
1788,hand_forged_england_low,16.71,assumed (scenario)
1789,hand_forged_england_low,16.96,assumed (scenario)
1790,hand_forged_england_low,17.21,assumed (scenario)
1791,hand_forged_england_low,17.47,assumed (scenario)
1792,hand_forged_england_low,17.74,assumed (scenario)
1793,hand_forged_england_low,18.01,assumed (scenario)
1794,hand_forged_england_low,18.28,assumed (scenario)
1795,hand_forged_england_low,18.55,assumed (scenario)
1796,hand_forged_england_low,18.84,assumed (scenario)
1797,hand_forged_england_low,19.12,assumed (scenario)
1798,hand_forged_england_low,19.41,assumed (scenario)
1799,hand_forged_england_low,19.7,assumed (scenario)
1800,hand_forged_england_low,20,assumed (scenario)
1695,hand_forged_england_central,14,assumed (scenario)
1696,hand_forged_england_central,14.14,assumed (scenario)
1697,hand_forged_england_central,14.28,assumed (scenario)
1698,hand_forged_england_central,14.42,assumed (scenario)
1699,hand_forged_england_central,14.57,assumed (scenario)
1700,hand_forged_england_central,14.72,assumed (scenario)
1701,hand_forged_england_central,14.86,assumed (scenario)
1702,hand_forged_england_central,15.01,assumed (scenario)
1703,hand_forged_england_central,15.16,assumed (scenario)
1704,hand_forged_england_central,15.32,assumed (scenario)
1705,hand_forged_england_central,15.47,assumed (scenario)
1706,hand_forged_england_central,15.63,assumed (scenario)
1707,hand_forged_england_central,15.78,assumed (scenario)
1708,hand_forged_england_central,15.94,assumed (scenario)
1709,hand_forged_england_central,16.1,assumed (scenario)
1710,hand_forged_england_central,16.26,assumed (scenario)
1711,hand_forged_england_central,16.43,assumed (scenario)
1712,hand_forged_england_central,16.59,assumed (scenario)
1713,hand_forged_england_central,16.76,assumed (scenario)
1714,hand_forged_england_central,16.93,assumed (scenario)
1715,hand_forged_england_central,17.1,assumed (scenario)
1716,hand_forged_england_central,17.27,assumed (scenario)
1717,hand_forged_england_central,17.44,assumed (scenario)
1718,hand_forged_england_central,17.62,assumed (scenario)
1719,hand_forged_england_central,17.79,assumed (scenario)
1720,hand_forged_england_central,17.97,assumed (scenario)
1721,hand_forged_england_central,18.15,assumed (scenario)
1722,hand_forged_england_central,18.34,assumed (scenario)
1723,hand_forged_england_central,18.52,assumed (scenario)
1724,hand_forged_england_central,18.71,assumed (scenario)
1725,hand_forged_england_central,18.89,assumed (scenario)
1726,hand_forged_england_central,19.08,assumed (scenario)
1727,hand_forged_england_central,19.28,assumed (scenario)
1728,hand_forged_england_central,19.47,assumed (scenario)
1729,hand_forged_england_central,19.67,assumed (scenario)
1730,hand_forged_england_central,19.86,assumed (scenario)
1731,hand_forged_england_central,20.06,assumed (scenario)
1732,hand_forged_england_central,20.26,assumed (scenario)
1733,hand_forged_england_central,20.47,assumed (scenario)
1734,hand_forged_england_central,20.67,assumed (scenario)
1735,hand_forged_england_central,20.88,assumed (scenario)
1736,hand_forged_england_central,21.09,assumed (scenario)
1737,hand_forged_england_central,21.3,assumed (scenario)
1738,hand_forged_england_central,21.52,assumed (scenario)
1739,hand_forged_england_central,21.73,assumed (scenario)
1740,hand_forged_england_central,21.95,assumed (scenario)
