year,us_BU,world_BU_central,world_BU_low,world_BU_high,world_t_central,cum_world_mid_BU_central
1943,21.0,23.1,21.0,26.2,0.0,11.6
1944,1663.0,1829.3,1663.0,2078.8,1.1,937.8
1945,7500.0,8250.0,7500.0,9375.0,5.2,5977.4
1946,27000.0,29700.0,27000.0,33750.0,18.6,24952.4
1947,42000.0,48869.9,43604.1,56146.1,30.6,64237.3
1948,92945.0,114397.7,100180.1,132878.9,71.7,145871.1
1949,128728.9,167597.1,144048.6,196818.6,105.1,286868.5
1950,178289.6,245536.4,207126.9,291525.2,153.9,493435.3
1951,246931.3,359720.5,297827.1,431803.4,225.5,796063.7
1952,342000.0,527004.6,428244.5,639581.8,330.4,1239426.3
1953,372000.0,606360.0,483600.0,744000.0,380.2,1806108.6
1954,477000.0,743039.5,605573.8,895990.8,465.9,2480808.3
1955,344000.0,646001.2,492129.3,815917.5,405.0,3175328.7
1956,478000.0,820824.1,648659.0,1009529.8,514.6,3908741.3
1957,526000.0,915165.1,722615.4,1124672.3,573.8,4776735.9
1958,392000.0,833770.3,618519.7,1066296.3,522.7,5651203.6
1959,430000.0,931486.4,690972.2,1189473.0,584.0,6533831.9
1960,590000.0,1159274.5,890664.8,1445409.1,726.8,7579212.4
1961,761000.0,1407225.9,1107394.5,1724463.9,882.3,8862462.5
1962,964023.0,1697602.1,1363102.4,2049191.1,1064.3,10414876.5
1963,957013.0,1789753.2,1416790.4,2179258.9,1122.1,12158554.1
1964,1202328.0,2147633.4,1732035.3,2578967.3,1346.5,14127247.5
1965,1343126.0,2416212.5,1953399.2,2893661.5,1514.9,16409170.4
1966,1676281.0,2894421.4,2379373.8,3422679.2,1814.7,19064487.4
1967,1424566.0,2807367.9,2234595.8,3391568.2,1760.1,21915382.1
1968,2210205.0,3779926.3,3143436.4,4425677.7,2369.9,25209029.2
1969,2461560.0,4243467.6,3536731.3,4956889.9,2660.5,29220726.1
1970,3760210.0,5782985.9,4998909.7,6570748.5,3625.7,34233952.9
1971,4670454.0,6966657.5,6097553.9,7836018.0,4367.8,40608774.6
1972,3827078.0,6433669.6,5471232.8,7392514.2,4033.6,47308938.1
1973,4945339.0,7904275.1,6839561.7,8961158.9,4955.7,54477910.4
1974,5239625.0,8598533.7,7421949.8,9762720.9,5390.9,62729314.8
1975,3817616.0,7630563.3,6331861.8,8912066.6,4784.1,70843863.3
1976,4698205.0,9026565.3,7594855.3,10436183.6,5659.3,79172427.6
1977,4914275.0,9827719.0,8251491.8,11377071.6,6161.6,88599569.7
1978,5087526.2,10665142.3,8932317.5,12366699.4,6686.6,98846000.3
1979,5534817.5,11866384.7,9964382.7,13733491.4,7439.7,110111763.8
1980,4291756.2,11479189.5,9395036.8,13526081.8,7197.0,121784550.9
1981,4849717.5,13008708.0,10729182.2,15250517.5,8155.9,134028499.6
1982,4893853.8,14155731.3,11667556.4,16608476.5,8875.1,147610719.3
1983,3996636.2,14510482.9,11800586.2,17191043.1,9097.5,161943826.3
1984,3996636.2,15931686.3,12987529.0,18857752.7,9988.5,177164910.9
1985,,17545000.0,14355000.0,20735000.0,11000.0,193903254.1
1986,,19774266.1,16191648.7,23314957.8,12397.7,212562887.1
1987,,22286782.5,18263287.1,26215927.5,13972.9,233593411.4
1988,,25118539.0,20599981.0,29477851.1,15748.3,257296072.1
1989,,28310098.2,23235643.0,33145640.4,17749.3,284010390.7
1990,,31907176.7,26208524.4,37269795.4,20004.5,314119028.2
1991,,35961299.6,29561770.7,41907099.4,22546.3,348053266.3
1992,,40530539.0,33344047.7,47121401.2,25411.0,386299185.6
1993,,45680345.5,37610247.6,52984493.9,28639.7,429404627.9
1994,,51484486.0,42422286.0,59577103.4,32278.7,477987043.7
1995,,58026100.0,47850000.0,66990000.0,36380.0,532742336.6
1996,,59248460.7,48879374.5,68431124.4,37146.4,591379617.0
1997,,60496571.4,49930893.5,69903250.9,37928.9,651252133.1
