year,region,basis,nominal,source,note,in_fit,real,cum_us,cum_world_low,cum_world_central,cum_world_high
1943,US,quoted,200000.0,ACS-NHCL,"$20 per 100,000 units in 1943; buyer and basis not stated",True,3721884.3931,10.5,10.5,11.55,13.125
1945,US,all_forms,6478.8732,SOC-1945,"7.1 trillion Oxford units sold, $46 million",True,115879.3271,5434.0,5434.0,5977.4,6792.5
1946,US,all_forms,4450.0,SOC-1947,"$90M in SOC-1946, revised to $89M in SOC-1947",True,73469.0436,22684.0,22684.0,24952.4,28355.0
1947,US,all_forms,2351.3514,SOC-1947,,True,33946.238,57184.0,57986.0292,64237.3387,73303.031
1948,US,all_forms,1671.8266,SOC-1948,"108,300 lb; about $1,000 per pound",True,22333.3145,124656.5,129878.0869,145871.1238,167815.5144
1950,US,quoted,472.7647,Goozner-2004,"$282 per pound in 1950 ($3,955 in 1945); basis not stated; converted at the SOC-1948 ratio of 0.5965 BU per lb",True,6315.4891,389002.7096,427580.1358,493435.2833,576836.1194
1952,US,all_forms,289.1986,SOC-1953,,False,3513.4138,896078.7901,1043092.9576,1239426.2551,1474193.045
1953,US,all_forms,163.8418,SOC-1953,,False,1975.5702,1253078.7901,1499015.2286,1806108.5735,2165983.9503
1954,US,all_forms,164.0867,SOC-1954,,False,1963.8127,1677578.7901,2043602.1371,2480808.3147,2985979.3586
1955,US,all_forms,130.9524,SOC-1955,,False,1573.1046,2088078.7901,2592453.6802,3175328.6666,3841933.5095
1956,US,all_forms,141.4254,SOC-1956,,False,1673.9307,2499078.7901,3162847.8198,3908741.3113,4754657.1613
1957,US,all_forms,145.3947,SOC-1957,,False,1665.7942,3001078.7901,3848485.0326,4776735.9057,5821758.2435
1958,US,all_forms,162.0968,SOC-1958,,False,1805.7412,3460078.7901,4519052.5719,5651203.6155,6917242.5551
1959,US,all_forms,154.4474,SOC-1959,,False,1708.7035,3871078.7901,5173798.5047,6533831.9416,8045127.1829
1960,US,all_forms,137.9845,SOC-1960,,False,1500.7818,4381078.7901,5964617.0079,7579212.3639,9362568.2465
1961,US,all_forms,112.1154,SOC-1961,,False,1207.1827,5056578.7901,6963646.6392,8862462.5367,10947504.7804
1962,US,all_forms,92.9788,SOC-1962,penicillin salts total (bulk + dosage forms),False,991.1876,5919090.2901,8198895.0534,10414876.5004,12834332.2913
1962,US,bulk,16.9732,SOC-1962,"procaine penicillin G, for other uses (feed-grade bulk)",True,180.9401,5919090.2901,8198895.0534,10414876.5004,12834332.2913
1963,US,all_forms,100.3167,SOC-1963,penicillin salts total (bulk + dosage forms),False,1055.4329,6879608.2901,9588841.4387,12158554.1454,14948557.2857
1963,US,bulk,16.4552,SOC-1963,"procaine penicillin G, for other uses (feed-grade bulk)",True,173.125,6879608.2901,9588841.4387,12158554.1454,14948557.2857
