time_hours,G_W_m2,T_amb_C
0.0000,0.0000,11.7000
0.2500,0.0000,11.5000
0.5000,0.0000,11.4000
0.7500,0.0000,11.2000
1.0000,0.0000,11.0000
1.2500,0.0000,10.8000
1.5000,0.0000,10.6000
1.7500,0.0000,10.5000
2.0000,0.0000,10.3000
2.2500,0.0000,10.1000
2.5000,0.0000,9.9000
2.7500,0.0000,9.8000
3.0000,0.0000,9.6000
3.2500,0.0000,9.4000
3.5000,0.0000,9.3000
3.7500,0.0000,9.1000
4.0000,0.0000,8.9000
4.2500,0.0000,9.3000
4.5000,0.0000,9.6000
4.7500,0.0000,9.9000
5.0000,46.6747,10.2000
5.2500,80.5699,10.9000
5.5000,125.0781,11.7000
5.7500,176.9377,12.4000
6.0000,232.1926,13.1000
6.2500,288.9169,13.9000
6.5000,347.6146,14.7000
6.7500,405.7746,15.6000
7.0000,464.5035,16.4000
7.2500,522.2573,17.1000
7.5000,579.2071,17.8000
7.7500,630.7801,18.5000
8.0000,685.9705,19.2000
8.2500,737.7974,19.8000
8.5000,788.5251,20.5000
8.7500,835.9353,21.1000
9.0000,880.8098,21.8000
9.2500,922.7823,22.3000
9.5000,962.1677,22.8000
9.7500,997.5081,23.3000
10.0000,1030.1625,23.8000
10.2500,1059.1671,24.2000
10.5000,1084.3102,24.6000
10.7500,1104.5655,25.0000
11.0000,1122.4240,25.4000
11.2500,1135.1148,25.7000
11.5000,1144.4491,26.0000
11.7500,1149.3161,26.3000
12.0000,1149.7644,26.6000
12.2500,1145.6762,26.8000
12.5000,1137.2836,26.9000
12.7500,1119.4015,27.0000
13.0000,1103.3226,27.1000
13.2500,1083.1658,27.0000
13.5000,1058.9148,26.9000
13.7500,1030.9029,26.9000
14.0000,999.1121,26.8000
14.2500,964.8064,26.5000
14.5000,925.5899,26.3000
14.7500,884.2964,26.1000
15.0000,836.3277,25.9000
15.2500,793.3759,25.5000
15.5000,743.7596,25.2000
15.7500,693.0249,24.8000
16.0000,639.2567,24.5000
16.2500,584.4182,24.0000
16.5000,527.3590,23.6000
16.7500,469.8119,23.1000
17.0000,412.6500,22.7000
17.2500,353.9792,21.9000
17.5000,297.3217,21.2000
17.7500,240.9615,20.5000
18.0000,185.9006,19.7000
18.2500,134.6826,18.9000
18.5000,87.9733,18.0000
18.7500,52.9689,17.1000
19.0000,22.2052,16.2000
19.2500,0.0000,15.9000
19.5000,0.0000,15.5000
19.7500,0.0000,15.2000
20.0000,0.0000,14.8000
20.2500,0.0000,14.6000
20.5000,0.0000,14.3000
20.7500,0.0000,14.1000
21.0000,0.0000,13.8000
21.2500,0.0000,13.6000
21.5000,0.0000,13.4000
21.7500,0.0000,13.2000
22.0000,0.0000,13.0000
22.2500,0.0000,12.8000
22.5000,0.0000,12.6000
22.7500,0.0000,12.4000
23.0000,0.0000,12.3000
23.2500,0.0000,12.1000
23.5000,0.0000,12.0000
23.7500,0.0000,11.8000
