iso3,country,household_size,source_year,confidence
ABW,Aruba,2.89,2010,direct_national_census_or_survey
AFG,Afghanistan,8.04,2015,direct_national_census_or_survey
AGO,Angola,4.82,2016,direct_national_census_or_survey
ALB,Albania,3.3,2017,direct_national_census_or_survey
AND,Andorra,2.58,,regional_median_fallback
ARE,United Arab Emirates,5.24,,regional_median_fallback
ARG,Argentina,3.26,2010,direct_national_census_or_survey
ARM,Armenia,3.54,2016,direct_national_census_or_survey
ASM,American Samoa,3.9,,regional_median_fallback
ATG,Antigua and Barbuda,3.62,,regional_median_fallback
AUS,Australia,2.5,2011,direct_national_census_or_survey
AUT,Austria,2.27,2011,direct_national_census_or_survey
AZE,Azerbaijan,4.55,2009,direct_national_census_or_survey
BDI,Burundi,4.83,2016,direct_national_census_or_survey
BEL,Belgium,2.36,2011,direct_national_census_or_survey
BEN,Benin,5.19,2018,direct_national_census_or_survey
BFA,Burkina Faso,5.92,2014,direct_national_census_or_survey
BGD,Bangladesh,4.47,2014,direct_national_census_or_survey
BGR,Bulgaria,2.34,2011,direct_national_census_or_survey
BHR,Bahrain,5.24,,regional_median_fallback
BHS,"Bahamas, The",3.4,2010,direct_national_census_or_survey
BIH,Bosnia and Herzegovina,2.58,,regional_median_fallback
BLR,Belarus,2.48,2009,direct_national_census_or_survey
BLZ,Belize,3.62,,regional_median_fallback
BMU,Bermuda,2.26,2016,direct_national_census_or_survey
BOL,Bolivia,3.53,2012,direct_national_census_or_survey
BRA,Brazil,3.31,2010,direct_national_census_or_survey
BRB,Barbados,3.62,,regional_median_fallback
BRN,Brunei Darussalam,3.9,,regional_median_fallback
BTN,Bhutan,4.52,,regional_median_fallback
BWA,Botswana,3.52,2011,direct_national_census_or_survey
CAF,Central African Republic,4.91,1994,direct_national_census_or_survey
CAN,Canada,2.45,2016,direct_national_census_or_survey
CHE,Switzerland,2.21,2000,direct_national_census_or_survey
CHI,Channel Islands,2.58,,regional_median_fallback
CHL,Chile,3.58,2002,direct_national_census_or_survey
CHN,China,2.8,2023,direct_national_census_or_survey
CIV,Cote d'Ivoire,5.09,2012,direct_national_census_or_survey
CMR,Cameroon,4.99,2011,direct_national_census_or_survey
COD,"Congo, Dem. Rep.",5.3,2013,direct_national_census_or_survey
COG,"Congo, Rep.",4.31,2011,direct_national_census_or_survey
COL,Colombia,3.53,2015,direct_national_census_or_survey
COM,Comoros,5.37,2012,direct_national_census_or_survey
CPV,Cabo Verde,4.88,,regional_median_fallback
CRI,Costa Rica,3.46,2011,direct_national_census_or_survey
CUB,Cuba,3.14,2002,direct_national_census_or_survey
CUW,Curacao,3.62,,regional_median_fallback
CYM,Cayman Islands,3.62,,regional_median_fallback
CYP,Cyprus,2.75,2011,direct_national_census_or_survey
CZE,Czechia,2.4,2011,direct_national_census_or_survey
DEU,Germany,2.05,2011,direct_national_census_or_survey
DJI,Djibouti,5.24,,regional_median_fallback
DMA,Dominica,3.62,,regional_median_fallback
DNK,Denmark,2.58,,regional_median_fallback
DOM,Dominican Republic,3.48,2013,direct_national_census_or_survey
DZA,Algeria,5.24,,regional_median_fallback
ECU,Ecuador,3.78,2010,direct_national_census_or_survey
EGY,"Egypt, Arab Rep.",4.13,2014,direct_national_census_or_survey
ERI,Eritrea,4.88,,regional_median_fallback
ESP,Spain,2.69,2011,direct_national_census_or_survey
EST,Estonia,2.3,2011,direct_national_census_or_survey
ETH,Ethiopia,4.61,2016,direct_national_census_or_survey
FIN,Finland,2.07,2010,direct_national_census_or_survey
FJI,Fiji,4.57,2014,direct_national_census_or_survey
FRA,France,2.22,2015,direct_national_census_or_survey
FRO,Faroe Islands,2.58,,regional_median_fallback
FSM,"Micronesia, Fed. Sts.",3.9,,regional_median_fallback
GAB,Gabon,4.1,2012,direct_national_census_or_survey
GBR,United Kingdom,2.27,2011,direct_national_census_or_survey
GEO,Georgia,3.34,2014,direct_national_census_or_survey
GHA,Ghana,3.49,2014,direct_national_census_or_survey
GIB,Gibraltar,2.58,,regional_median_fallback
GIN,Guinea,6.25,2012,direct_national_census_or_survey
GMB,"Gambia, The",8.23,2013,direct_national_census_or_survey
GNB,Guinea-Bissau,4.88,,regional_median_fallback
GNQ,Equatorial Guinea,4.88,,regional_median_fallback
GRC,Greece,2.44,2011,direct_national_census_or_survey
GRD,Grenada,3.62,,regional_median_fallback
GRL,Greenland,2.58,,regional_median_fallback
GTM,Guatemala,4.81,2015,direct_national_census_or_survey
GUM,Guam,3.9,,regional_median_fallback
GUY,Guyana,3.8,2009,direct_national_census_or_survey
HKG,"Hong Kong SAR, China",2.83,2016,direct_national_census_or_survey
HND,Honduras,4.47,2012,direct_national_census_or_survey
HRV,Croatia,2.8,2011,direct_national_census_or_survey
HTI,Haiti,4.29,2017,direct_national_census_or_survey
