scope,iso3,date,value,source,source_type
global,,2022-12-15,1000000,SpaceX/Musk milestone posts (widely reported growth timeline),official_milestone
global,,2023-09-15,2000000,SpaceX/Musk milestone posts (widely reported growth timeline),official_milestone
global,,2024-05-15,3000000,SpaceX/Musk milestone posts (widely reported growth timeline),official_milestone
global,,2024-09-15,4000000,SpaceX/Musk milestone posts (widely reported growth timeline),official_milestone
global,,2025-02-15,5000000,SpaceX/Musk milestone posts (widely reported growth timeline),official_milestone
global,,2025-06-15,6000000,SpaceX/Musk milestone posts (widely reported growth timeline),official_milestone
global,,2025-08-15,7000000,SpaceX/Musk milestone posts (widely reported growth timeline),official_milestone
global,,2025-11-15,8000000,SpaceX/Musk milestone posts (widely reported growth timeline),official_milestone
global,,2025-12-28,9000000,Press reporting of SpaceX milestone (final week of Dec 2025),official_milestone
global,,2026-02-14,10000000,Musk + Shotwell public confirmation,official_milestone
global,,2026-03-31,10300000,SpaceX SEC S-1 filing (Space Exploration Technologies Corp.),official_sec_filing
global,,2026-06-04,12000000,Musk X post + S-1 disclosure (per press reporting),official_milestone
global,,2026-12-31,16800000,Quilty Space FORECAST for year-end 2026 -- NOT an actual data point,analyst_forecast_not_actual
us,USA,2025-07-15,2000000,Broadband Breakfast reporting of SpaceX milestone,press_reported_milestone
us,USA,2026-05-14,2700000,New Street Research (independent analyst estimate),analyst_estimate
brazil,BRA,2026-02-15,662000,Press reporting citing Brazilian regulatory/company disclosure,press_reported_estimate
nigeria,NGA,2023-12-31,23897,Nigerian Communications Commission (NCC) regulatory report,regulatory_report
nigeria,NGA,2024-09-30,65564,Nigerian Communications Commission (NCC) regulatory report,regulatory_report
nigeria,NGA,2026-06-15,95000,Press reporting -- "approaching 100000" (hedge language -- imprecise),press_reported_estimate_imprecise
kenya,KEN,2025-09-30,19460,Communications Authority of Kenya (CA) regulatory report via Space in Africa,regulatory_report
kenya,KEN,2026-03-31,24999,Communications Authority of Kenya (CA) regulatory report,regulatory_report
