iso3,country,region,income_level,population,internet_user_pct,unconnected_population_est,unconnected_population_est_coverage_corrected,fixed_broadband_subs_per_100,mobile_subs_per_100,cellular_dominant_market,fixed_broadband_usd_per_month,fixed_broadband_usd_per_gb_illustrative,mobile_usd_per_gb,mobile_usd_per_month_illustrative,gni_per_capita_ppp_usd,gdp_per_capita_ppp_usd,connectivity_cost_pct_of_gni,legacy_satellite_isp_present
ABW,Aruba,Latin America & Caribbean,High income,108785,97.2,3079,3079,17.49,130.6,False,80.56,0.2685,1.8546,18.55,48900,51712,1.98,False
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",Low income,43844111,16.1,36787402,36787402,0.08,60.1,True,48.88,0.1629,1.0205,10.21,2250,2236,26.07,False
AGO,Angola,Sub-Saharan Africa,Lower middle income,39040039,40.7,23148869,23148869,0.36,69.7,True,49.1,0.1637,1.007,10.07,9840,10251,5.99,False
ALB,Albania,Europe & Central Asia,Upper middle income,2349580,85.9,332139,332139,24.88,89.1,False,23.46,0.0782,1.5528,15.53,28170,28221,1.0,False
AND,Andorra,Europe & Central Asia,High income,82904,94.4,4645,2487,52.36,155.7,False,48.84,0.1628,4.8221,48.22,80950,79567,0.72,False
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",High income,11513149,100,0,0,40.84,203.2,False,105.92,0.3531,4.6074,46.07,81640,79344,1.56,False
ARG,Argentina,Latin America & Caribbean,Upper middle income,45851378,89.7,4737753,4737753,26.1,140.2,False,18.14,0.0605,1.1072,11.07,31920,32587,0.68,False
ARM,Armenia,Europe & Central Asia,Upper middle income,3086700,81.3,576000,576000,20.31,134.9,False,18.71,0.0624,0.9768,9.77,24020,24754,0.93,False
ASM,American Samoa,East Asia & Pacific,High income,46029,0,46029,1381,,4.0,,85.0,0.2833,1.5,15.0,,,,False
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,94209,72.7,25690,2826,10.68,200.5,True,87.14,0.2905,3.2032,32.03,34670,35832,3.02,False
AUS,Australia,East Asia & Pacific,High income,27614411,96.1,1068291,828432,36.48,112.6,False,56.24,0.1875,0.4392,4.39,69930,71934,0.97,True
AUT,Austria,Europe & Central Asia,High income,9208163,91.9,743492,276245,30.13,124.5,False,35.62,0.1187,0.5063,5.06,77010,76778,0.56,False
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,10246996,90.8,942723,942723,21.75,109.5,False,21.18,0.0706,1.7647,17.65,25430,26113,1.0,False
BDI,Burundi,Sub-Saharan Africa,Low income,14390003,8.6,13153038,13153038,0.02,63.2,True,186.46,0.6215,1.1021,11.02,1250,1248,179.0,False
BEL,Belgium,Europe & Central Asia,High income,11941781,95.8,504446,358253,44.23,103.9,False,50.03,0.1668,2.2324,22.32,75620,74676,0.79,False
BEN,Benin,Sub-Saharan Africa,Lower middle income,14814460,34.0,9779944,9779944,0.28,125.9,True,27.23,0.0908,2.3667,23.67,4760,4817,6.86,False
BFA,Burkina Faso,Sub-Saharan Africa,Low income,24074580,28.3,17272861,17272861,0.85,116.6,True,45.19,0.1506,3.2692,32.69,2890,3072,18.76,False
BGD,Bangladesh,South Asia,Lower middle income,175686899,53.4,81831948,81831948,8.09,108.1,True,7.38,0.0246,0.231,2.31,10710,10154,0.83,False
BGR,Bulgaria,Europe & Central Asia,High income,6433302,82.4,1129755,192999,37.02,118.1,False,17.87,0.0596,,,42170,44451,0.51,False
BHR,Bahrain,"Middle East, North Africa, Afghanistan & Pakistan",High income,1600366,100,0,0,16.99,159.5,False,48.14,0.1605,1.313,13.13,65500,70997,0.88,False
BHS,"Bahamas, The",Latin America & Caribbean,High income,403033,92.5,30337,12091,25.27,96.7,False,85.27,0.2842,4.9922,49.92,39610,41258,2.58,False
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,3140095,86.1,436445,436445,29.39,121.2,False,21.31,0.071,1.0279,10.28,25810,25814,0.99,False
BLR,Belarus,Europe & Central Asia,Upper middle income,9085991,94.3,521370,521370,36.26,131.1,False,15.66,0.0522,0.6695,6.7,34310,34716,0.55,False
BLZ,Belize,Latin America & Caribbean,Upper middle income,422924,80.0,84560,84560,9.75,67.2,False,38.42,0.1281,2.9153,29.15,14230,14966,3.24,False
BMU,Bermuda,North America,High income,64555,98.4,1052,1052,51.3,96.7,False,150.0,0.5,3.4167,34.17,122530,118728,1.47,False
