iso3,country,region,tam_usd_per_month_n100,tam_usd_per_month_n1_000,tam_usd_per_month_n4_408,tam_usd_per_month_n10_900,tam_usd_per_month_n33_900,tam_usd_per_month_n100_000,tam_usd_per_month_n500_000,tam_usd_per_month_n1_000_000,tam_usd_per_month_n2_000_000
ABW,Aruba,Latin America & Caribbean,2769.31,27693.14,85828.46,85828.46,85828.46,85828.46,85828.46,85828.46,85828.46
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",70879.45,697411.87,2891391.55,6361725.86,13081794.26,11762834.12,6434363.69,6434363.69,6434363.69
AGO,Angola,Sub-Saharan Africa,2125446.62,19714159.96,65358513.73,93932003.34,56781186.00,29603447.91,29536419.99,29536419.99,29536419.99
ALB,Albania,Europe & Central Asia,20351.34,203513.35,897086.86,2218295.55,2361206.35,2361206.35,2361206.35,2361206.35,2361206.35
AND,Andorra,Europe & Central Asia,3616.38,36163.79,47079.49,47079.49,47079.49,47079.49,47079.49,47079.49,47079.49
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ARG,Argentina,Latin America & Caribbean,6296499.48,26362834.18,26362834.18,26362834.18,26362834.18,26362834.18,26362834.18,26362834.18,26362834.18
ARM,Armenia,Europe & Central Asia,15882.48,158824.85,700099.94,1731190.86,3044338.98,3044338.98,3044338.98,3044338.98,3044338.98
ASM,American Samoa,East Asia & Pacific,6659.18,30098.72,30098.72,30098.72,30098.72,30098.72,30098.72,30098.72,30098.72
ATG,Antigua and Barbuda,Latin America & Caribbean,1375.79,13757.94,25004.64,25004.64,25004.64,25004.64,25004.64,25004.64,25004.64
AUS,Australia,East Asia & Pacific,10769707.20,18636406.27,18636406.27,18636406.27,18636406.27,18636406.27,18636406.27,18636406.27,18636406.27
AUT,Austria,Europe & Central Asia,490667.41,4334734.32,4334734.32,4334734.32,4334734.32,4334734.32,4334734.32,4334734.32,4334734.32
AZE,Azerbaijan,Europe & Central Asia,49181.26,491812.64,2167910.13,4388323.77,4388323.77,4388323.77,4388323.77,4388323.77,4388323.77
BDI,Burundi,Sub-Saharan Africa,71950.33,681424.82,2444769.36,4083954.36,3164921.69,2127497.09,2127497.09,2127497.09,2127497.09
BEL,Belgium,Europe & Central Asia,1087573.16,7594660.00,7594660.00,7594660.00,7594660.00,7594660.00,7594660.00,7594660.00,7594660.00
BEN,Benin,Sub-Saharan Africa,107656.67,1052908.55,4266677.36,8988018.36,15842313.60,7150424.32,5606037.26,5606037.26,5606037.26
BFA,Burkina Faso,Sub-Saharan Africa,83831.12,821712.53,3357939.86,7187988.79,13409767.74,7624754.92,5270119.12,5270119.12,5270119.12
BGD,Bangladesh,South Asia,1976677.37,19508428.86,81814216.43,183992591.53,408848089.90,378966872.31,122541969.11,122541969.11,122541969.11
BGR,Bulgaria,Europe & Central Asia,100669.34,1006693.36,1473885.53,1473885.53,1473885.53,1473885.53,1473885.53,1473885.53,1473885.53
