iso3,country,region,tam_usd_per_month_n100,tam_usd_per_month_n1_000,tam_usd_per_month_n4_408,tam_usd_per_month_n10_900,tam_usd_per_month_n33_900,tam_usd_per_month_n100_000,tam_usd_per_month_n500_000,tam_usd_per_month_n1_000_000,tam_usd_per_month_n2_000_000
ABW,Aruba,Latin America & Caribbean,2769.31,27693.14,122071.36,301855.21,938797.41,2769313.89,3032428.93,3032428.93,3032428.93
AFG,Afghanistan,"Middle East, North Africa, Afghanistan & Pakistan",103505.59,1031000.48,4476959.23,10751665.27,29925355.58,58474094.71,55677658.37,55677658.37,55677658.37
AGO,Angola,Sub-Saharan Africa,574336.10,5652706.06,23403950.03,50744969.75,79230653.21,81576098.11,81562903.06,81562903.06,81562903.06
ALB,Albania,Europe & Central Asia,20351.34,203513.35,897086.86,2218295.55,6899102.69,16473573.56,16703377.82,16703377.82,16703377.82
AND,Andorra,Europe & Central Asia,3616.38,36163.79,159409.97,394185.27,1225952.37,1569392.00,1569392.00,1569392.00,1569392.00
ARE,United Arab Emirates,"Middle East, North Africa, Afghanistan & Pakistan",124335.71,1243357.07,5480717.94,13552592.01,42149804.50,124335706.50,232723805.74,232723805.74,232723805.74
ARG,Argentina,Latin America & Caribbean,6296499.48,36041879.18,113416408.61,189921857.93,255136195.37,255136195.37,255136195.37,255136195.37,255136195.37
ARM,Armenia,Europe & Central Asia,15882.48,158824.85,700099.94,1731190.86,5384162.40,15592430.36,16314168.64,16314168.64,16314168.64
ASM,American Samoa,East Asia & Pacific,6659.18,66591.81,293536.69,725850.70,1003196.15,1003196.15,1003196.15,1003196.15,1003196.15
ATG,Antigua and Barbuda,Latin America & Caribbean,1375.79,13757.94,60645.01,149961.56,466394.21,833567.48,833567.48,833567.48,833567.48
AUS,Australia,East Asia & Pacific,10769707.20,99430900.88,351331299.31,520501051.14,621213789.86,621213789.86,621213789.86,621213789.86,621213789.86
AUT,Austria,Europe & Central Asia,490667.41,4906674.10,21628619.44,53482747.70,144491086.37,144491086.37,144491086.37,144491086.37,144491086.37
AZE,Azerbaijan,Europe & Central Asia,49181.26,491812.64,2167910.13,5360757.80,16672448.56,46227338.51,47699203.36,47699203.36,47699203.36
BDI,Burundi,Sub-Saharan Africa,216244.92,2133061.80,8912012.68,19726822.62,35892931.06,32831849.49,32831849.49,32831849.49,32831849.49
BEL,Belgium,Europe & Central Asia,1087573.16,10875731.57,47940224.76,118545474.11,253155637.05,253155637.05,253155637.05,253155637.05,253155637.05
BEN,Benin,Sub-Saharan Africa,149347.78,1486183.62,6429345.29,15324826.57,41342405.76,68810076.61,67564213.53,67564213.53,67564213.53
BFA,Burkina Faso,Sub-Saharan Africa,277548.17,2762847.00,11967736.61,28600137.04,78003226.65,137305067.76,132938854.76,132938854.76,132938854.76
BGD,Bangladesh,South Asia,98938.58,986961.60,4310063.60,10467224.90,30453900.78,72015462.36,90791216.26,90791216.26,90791216.26
BGR,Bulgaria,Europe & Central Asia,100669.34,1006693.36,4437504.32,10972957.61,34126904.85,49129532.79,49129532.79,49129532.79,49129532.79
