date,cum_sats_v0.1,cum_sats_v0.9,cum_sats_v1.0,cum_sats_v1.5,cum_sats_v2_mini,cum_sats_v3,cum_sats_total,cum_capacity_gbps,equivalent_v3_satellites
2018-02-22,2,0,0,0,0,0,2,0.0,0.0
2019-05-24,2,60,0,0,0,0,62,0.0,0.0
2019-11-11,2,60,60,0,0,0,122,1200.0,1.17
2020-01-07,2,60,120,0,0,0,182,2400.0,2.34
2020-01-29,2,60,180,0,0,0,242,3600.0,3.52
2020-02-17,2,60,240,0,0,0,302,4800.0,4.69
2020-03-18,2,60,300,0,0,0,362,6000.0,5.86
2020-04-22,2,60,360,0,0,0,422,7200.0,7.03
2020-06-04,2,60,420,0,0,0,482,8400.0,8.2
2020-06-13,2,60,478,0,0,0,540,9560.0,9.34
2020-08-07,2,60,535,0,0,0,597,10700.0,10.45
2020-08-18,2,60,593,0,0,0,655,11860.0,11.58
2020-09-03,2,60,653,0,0,0,715,13060.0,12.75
2020-10-06,2,60,713,0,0,0,775,14260.0,13.93
2020-10-18,2,60,773,0,0,0,835,15460.0,15.1
2020-10-24,2,60,833,0,0,0,895,16660.0,16.27
2020-11-25,2,60,893,0,0,0,955,17860.0,17.44
2021-01-20,2,60,953,0,0,0,1015,19060.0,18.61
2021-01-24,2,60,963,0,0,0,1025,19260.0,18.81
2021-02-04,2,60,1023,0,0,0,1085,20460.0,19.98
2021-02-16,2,60,1083,0,0,0,1145,21660.0,21.15
2021-03-04,2,60,1143,0,0,0,1205,22860.0,22.32
2021-03-11,2,60,1203,0,0,0,1265,24060.0,23.5
2021-03-14,2,60,1263,0,0,0,1325,25260.0,24.67
2021-03-24,2,60,1323,0,0,0,1385,26460.0,25.84
2021-04-07,2,60,1383,0,0,0,1445,27660.0,27.01
2021-04-29,2,60,1443,0,0,0,1505,28860.0,28.18
2021-05-04,2,60,1503,0,0,0,1565,30060.0,29.36
2021-05-09,2,60,1563,0,0,0,1625,31260.0,30.53
2021-05-15,2,60,1615,0,0,0,1677,32300.0,31.54
2021-05-26,2,60,1675,0,0,0,1737,33500.0,32.71
2021-06-30,2,60,1675,3,0,0,1740,33560.0,32.77
2021-09-14,2,60,1675,54,0,0,1791,34580.0,33.77
2021-11-13,2,60,1675,107,0,0,1844,35640.0,34.8
2021-12-02,2,60,1675,155,0,0,1892,36600.0,35.74
2021-12-18,2,60,1675,207,0,0,1944,37640.0,36.76
2022-01-06,2,60,1675,256,0,0,1993,38620.0,37.71
2022-01-19,2,60,1675,305,0,0,2042,39600.0,38.67
2022-02-03,2,60,1675,354,0,0,2091,40580.0,39.63
2022-02-21,2,60,1675,400,0,0,2137,41500.0,40.53
2022-02-25,2,60,1675,450,0,0,2187,42500.0,41.5
2022-03-03,2,60,1675,497,0,0,2234,43440.0,42.42
2022-03-09,2,60,1675,545,0,0,2282,44400.0,43.36
2022-03-19,2,60,1675,598,0,0,2335,45460.0,44.39
2022-04-21,2,60,1675,651,0,0,2388,46520.0,45.43
2022-04-29,2,60,1675,704,0,0,2441,47580.0,46.46
2022-05-06,2,60,1675,757,0,0,2494,48640.0,47.5
2022-05-13,2,60,1675,810,0,0,2547,49700.0,48.54
2022-05-14,2,60,1675,863,0,0,2600,50760.0,49.57
2022-05-18,2,60,1675,916,0,0,2653,51820.0,50.61
2022-06-17,2,60,1675,969,0,0,2706,52880.0,51.64
2022-07-07,2,60,1675,1022,0,0,2759,53940.0,52.68
2022-07-11,2,60,1675,1068,0,0,2805,54860.0,53.57
2022-07-17,2,60,1675,1121,0,0,2858,55920.0,54.61
2022-07-22,2,60,1675,1167,0,0,2904,56840.0,55.51
2022-07-24,2,60,1675,1220,0,0,2957,57900.0,56.54
2022-08-10,2,60,1675,1272,0,0,3009,58940.0,57.56
2022-08-12,2,60,1675,1318,0,0,3055,59860.0,58.46
2022-08-19,2,60,1675,1371,0,0,3108,60920.0,59.49
2022-08-28,2,60,1675,1425,0,0,3162,62000.0,60.55
2022-08-31,2,60,1675,1471,0,0,3208,62920.0,61.45
2022-09-05,2,60,1675,1522,0,0,3259,63940.0,62.44
2022-09-11,2,60,1675,1556,0,0,3293,64620.0,63.11
2022-09-19,2,60,1675,1610,0,0,3347,65700.0,64.16
2022-09-24,2,60,1675,1662,0,0,3399,66740.0,65.18
2022-10-05,2,60,1675,1714,0,0,3451,67780.0,66.19
2022-10-20,2,60,1675,1768,0,0,3505,68860.0,67.25
2022-10-28,2,60,1675,1821,0,0,3558,69920.0,68.28
2022-12-17,2,60,1675,1875,0,0,3612,71000.0,69.34
2022-12-28,2,60,1675,1929,0,0,3666,72080.0,70.39
2023-01-19,2,60,1675,1980,0,0,3717,73100.0,71.39
2023-01-26,2,60,1675,2036,0,0,3773,74220.0,72.48
2023-01-31,2,60,1675,2085,0,0,3822,75200.0,73.44
2023-02-02,2,60,1675,2138,0,0,3875,76260.0,74.47
2023-02-12,2,60,1675,2193,0,0,3930,77360.0,75.55
2023-02-17,2,60,1675,2244,0,0,3981,78380.0,76.54
2023-02-27,2,60,1675,2244,21,0,4002,80396.0,78.51
2023-03-03,2,60,1675,2295,21,0,4053,81416.0,79.51
2023-03-17,2,60,1675,2347,21,0,4105,82456.0,80.52
2023-03-24,2,60,1675,2403,21,0,4161,83576.0,81.62
2023-03-29,2,60,1675,2459,21,0,4217,84696.0,82.71
2023-04-19,2,60,1675,2459,42,0,4238,86712.0,84.68
2023-04-27,2,60,1675,2505,42,0,4284,87632.0,85.58
2023-05-04,2,60,1675,2561,42,0,4340,88752.0,86.67
2023-05-10,2,60,1675,2612,42,0,4391,89772.0,87.67
2023-05-14,2,60,1675,2668,42,0,4447,90892.0,88.76
2023-05-19,2,60,1675,2668,64,0,4469,93004.0,90.82
2023-05-31,2,60,1675,2720,64,0,4521,94044.0,91.84
2023-06-04,2,60,1675,2720,86,0,4543,96156.0,93.9
2023-06-12,2,60,1675,2772,86,0,4595,97196.0,94.92
2023-06-22,2,60,1675,2819,86,0,4642,98136.0,95.84
2023-06-23,2,60,1675,2875,86,0,4698,99256.0,96.93
2023-07-07,2,60,1675,2923,86,0,4746,100216.0,97.87
2023-07-10,2,60,1675,2923,108,0,4768,102328.0,99.93
2023-07-16,2,60,1675,2977,108,0,4822,103408.0,100.98
2023-07-19,2,60,1675,2977,123,0,4837,104848.0,102.39
2023-07-24,2,60,1675,2977,145,0,4859,106960.0,104.45
2023-07-28,2,60,1675,2977,167,0,4881,109072.0,106.52
2023-08-07,2,60,1675,2977,189,0,4903,111184.0,108.58
2023-08-08,2,60,1675,2977,204,0,4918,112624.0,109.98
2023-08-11,2,60,1675,2977,226,0,4940,114736.0,112.05
2023-08-17,2,60,1675,2977,248,0,4962,116848.0,114.11
2023-08-22,2,60,1675,2977,269,0,4983,118864.0,116.08
2023-08-27,2,60,1675,2977,291,0,5005,120976.0,118.14
