no,mission,sat_ver,date_raw,deployed,w_dtc,working,outcome
–,Tintin,v0.1,"22 February 2018, 14:17",2,,0,Success
1,v0.9,v0.9,"24 May 2019, 02:30",60,,0,Success
2,Launch 1,v1,"11 November 2019, 14:56",60,,43,Success
3,Launch 2,v1,"7 January 2020, 02:19:21",60,,40,Success
4,Launch 3,v1,"29 January 2020, 14:06",60,,48,Success
5,Launch 4,v1,"17 February 2020, 15:05",60,,46,Success
6,Launch 5,v1,"18 March 2020, 12:16:39",60,,54,Success
7,Launch 6,v1,"22 April 2020, 19:30:30",60,,49,Success
8,Launch 7,v1,"4 June 2020, 01:25:00",60,,53,Success
9,Launch 8,v1,"13 June 2020, 09:21:18",58,,50,Success
10,Launch 9,v1,"7 August 2020, 05:12:05",57,,54,Success
11,Launch 10,v1,"18 August 2020, 14:31:16",58,,53,Success
12,Launch 11,v1,"3 September 2020, 12:46:14",60,,50,Success
13,Launch 12,v1,"6 October 2020, 11:29:34",60,,50,Success
14,Launch 13,v1,"18 October 2020, 12:25:57",60,,45,Success
15,Launch 14,v1,"24 October 2020, 15:31:34",60,,43,Success
16,Launch 15,v1,"25 November 2020, 02:13:12",60,,40,Success
17,Launch 16,v1,"20 January 2021, 13:02:00",60,,57,Success
–,Tr-1,v1,"24 January 2021, 15:00:00",10,,0,Success
18,Launch 18,v1,"4 February 2021, 06:19:00",60,,56,Success
19,Launch 19,v1,"16 February 2021, 03:59:37",60,,57,Success
20,Launch 17,v1,"4 March 2021, 08:24:54",60,,54,Success
21,Launch 20,v1,"11 March 2021, 08:13:29",60,,59,Success
22,Launch 21,v1,"14 March 2021, 10:01:26",60,,54,Success
23,Launch 22,v1,"24 March 2021, 08:28:24",60,,43,Success
24,Launch 23,v1,"7 April 2021, 16:34:18",60,,60,Success
25,Launch 24,v1,"29 April 2021, 03:44:00",60,,60,Success
26,Launch 25,v1,"4 May 2021, 19:01",60,,60,Success
27,Launch 27,v1,"9 May 2021, 06:42",60,,58,Success
28,Launch 26,v1,"15 May 2021, 22:56",52,,49,Success
29,Launch 28,v1,"26 May 2021, 18:59",60,,60,Success
–,Tr-2,v1.5,"30 June 2021, 19:31",3,,3,Success
30,Group 2-1,v1.5,"14 September 2021, 03:55:50",51,,51,Success
31,Group 4-1,v1.5,"13 November 2021, 11:19:30",53,,52,Success
32,Group 4-3,v1.5,"2 December 2021, 23:12:15",48,,48,Success
33,Group 4-4,v1.5,"18 December 2021, 12:41:40",52,,49,Success
34,Group 4-5,v1.5,"6 January 2022, 21:49:10",49,,49,Success
35,Group 4-6,v1.5,"19 January 2022, 02:02:40",49,,49,Success
36,Group 4-7,v1.5,"3 February 2022, 18:13:20",49,,10,Success
37,Group 4-8,v1.5,"21 February 2022, 14:44:20",46,,46,Success
38,Group 4-11,v1.5,"25 February 2022, 17:12:10",50,,48,Success
39,Group 4-9,v1.5,"3 March 2022, 14:25",47,,47,Success
40,Group 4-10,v1.5,"9 March 2022, 13:45:10",48,,47,Success
41,Group 4-12,v1.5,"19 March 2022, 04:42:30",53,,47,Success
42,Group 4-14,v1.5,"21 April 2022, 17:51:40",53,,51,Success
43,Group 4-16,v1.5,"29 April 2022, 21:27:10",53,,52,Success
44,Group 4-17,v1.5,"6 May 2022, 09:42",53,,53,Success
45,Group 4-13,v1.5,"13 May 2022, 22:07:50",53,,53,Success
46,Group 4-15,v1.5,"14 May 2022, 20:40:50",53,,53,Success
47,Group 4-18,v1.5,"18 May 2022, 10:59:40",53,,53,Success
48,Group 4-19,v1.5,"17 June 2022, 16:09:20",53,,53,Success
49,Group 4-21,v1.5,"7 July 2022, 13:11:10",53,,52,Success
50,Group 3-1,v1.5,"11 July 2022, 01:39:40",46,,46,Success
51,Group 4-22,v1.5,"17 July 2022, 14:20",53,,53,Success
52,Group 3-2,v1.5,"22 July 2022, 17:39:40",46,,46,Success
53,Group 4-25,v1.5,"24 July 2022, 13:38:20",53,,51,Success
54,Group 4-26,v1.5,"10 August 2022, 02:14:40",52,,51,Success
55,Group 3-3,v1.5,"12 August 2022, 21:40:20",46,,46,Success
56,Group 4-27,v1.5,"19 August 2022, 19:21:20",53,,53,Success
57,Group 4-23,v1.5,"28 August 2022, 03:41",54,,51,Success
58,Group 3-4,v1.5,"31 August 2022, 05:40:10",46,,46,Success
59,Group 4-20,v1.5,"5 September 2022, 02:09:40",51,,46,Success
60,Group 4-2,v1.5,"11 September 2022, 01:20",34,,31,Success
61,Group 4-34,v1.5,"19 September 2022, 00:18:40",54,,53,Success
62,Group 4-35,v1.5,"24 September 2022, 23:32:10",52,,51,Success
63,Group 4-29,v1.5,"5 October 2022, 23:10:30",52,,52,Success
64,Group 4-36,v1.5,"20 October 2022, 14:50:40",54,,53,Success
65,Group 4-31,v1.5,"28 October 2022, 01:14",53,,52,Success
66,Group 4-37,v1.5,"17 December 2022, 21:32",54,,54,Success
67,Group 5-1,v1.5,"28 December 2022, 9:34",54,,54,Success
68,Group 2-4,v1.5,"19 January 2023, 15:43",51,,50,Success
69,Group 5-2,v1.5,"26 January 2023, 9:32",56,,55,Success
70,Group 2-6,v1.5,"31 January 2023, 16:15",49,,48,Success
71,Group 5-3,v1.5,"2 February 2023, 7:58",53,,51,Success
72,Group 5-4,v1.5,"12 February 2023, 5:10",55,,54,Success
