step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,41571.0,0.8371220321858989,45,0,0,0,84352.29997792745,76371.0,6770.999999999998
1,41571.0,0.8371220321858989,33.75,0,0,0,84352.29997792745,76371.0,6770.999999999998
2,41571.0,0.8371220321858989,22.5,0,0,0,84352.29997792745,76371.0,6770.999999999998
3,41571.0,0.8371220321858989,11.25,0,0,0,84352.29997792745,76371.0,6770.999999999998
4,41571.0,0.8371220321858989,0.0,0,0,0,84352.29997792745,76371.0,6770.999999999998
5,43422.31909979406,0.7587959736669663,0.0,0,0,0,90049.38331562531,76371.0,10473.63819958812
6,45864.555032423465,0.6651420676819022,0.0,0,0,0,97752.30296880029,76371.0,15358.110064846927
7,49076.56319314008,0.5561603142307068,0.0,0,0,0,108198.79739716655,76371.0,21782.126386280153
8,53337.264345996926,0.43185071331337976,0.0,0,0,0,122590.64407956704,76371.0,30303.528691993855
9,59100.92557681778,0.2922132649299214,0.0,0,0,0,142989.00522299894,76371.0,41830.85115363556
10,59263.999999999985,0.28865753239740854,0.0,0,0,0,143581.22760092834,76371.0,42156.99999999997
11,49318.957404883615,0.14521712910691942,0.0,0,0,0,109001.39393390685,56480.914809767266,42156.99999999997
12,42593.0566123063,0.010237739363846088,0.0,0,0,0,87482.14689189273,43029.11322461264,42156.99999999997
13,42156.99999999998,2.220446049250313e-16,0.0,0,0,0,86142.16207248696,42156.999999999985,42156.99999999997
