step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,71571.0,0.9053946430816951,45,0,0,0,190553.46445565455,136371.0,6770.999999999996
1,71571.0,0.9053946430816951,30.0,0,0,0,190553.46445565455,136371.0,6770.999999999996
2,71571.0,0.9053946430816951,15.0,0,0,0,190553.46445565455,136371.0,6770.999999999996
3,71571.0,0.9053946430816951,0.0,0,0,0,190553.46445565455,136371.0,6770.999999999996
4,74939.55945136606,0.8197464863467931,0.0,0,0,0,204163.41651529248,136371.0,13508.11890273212
5,79901.99566799098,0.7067283346294528,0.0,0,0,0,224774.821291912,136371.0,23432.99133598196
6,87063.46236333868,0.5663401879296739,0.0,0,0,0,255661.37636428536,136371.0,37755.92472667736
7,89263.99999999999,0.5277267431439328,0.0,0,0,0,265415.1673206042,136371.0,42156.99999999998
8,67040.47815169493,0.37117095279944456,0.0,0,0,0,172749.53056915477,91923.95630338987,42156.99999999998
9,54261.432971746115,0.22307617600237184,0.0,0,0,0,125790.57700367487,66365.86594349226,42156.99999999998
10,45994.92774546868,0.08344241275271502,0.0,0,0,0,98169.3990861138,49832.85549093738,42156.99999999998
11,42156.99999999998,0.0,0.0,0,0,0,86142.16207248696,42156.99999999998,42156.99999999998
