step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,49571.0,0.8634080409917089,28.5,0,0,0,109838.03157959269,92371.0,6771.0
1,49571.0,0.8634080409917089,21.375,0,0,0,109838.03157959269,92371.0,6771.0
2,49571.0,0.8634080409917089,14.25,0,0,0,109838.03157959269,92371.0,6771.0
3,49571.0,0.8634080409917089,7.125,0,0,0,109838.03157959269,92371.0,6771.0
4,49571.0,0.8634080409917089,0.0,0,0,0,109838.03157959269,92371.0,6771.0
5,50600.169399111976,0.8255077225417569,0.0,0,0,0,113276.3319078908,92371.0,8829.338798223951
6,51807.30108915718,0.7829726323908512,0.0,0,0,0,117353.93959053318,92371.0,11243.60217831437
7,53215.1472320311,0.7358027705389929,0.0,0,0,0,122169.87324218264,92371.0,14059.294464062197
8,54852.19845035852,0.6839981369861805,0.0,0,0,0,127850.45532134628,92371.0,17333.396900717034
9,56754.32670972061,0.6275587317324149,0.0,0,0,0,134558.05008494874,92371.0,21137.653419441223
10,58967.06719403856,0.5664845547776964,0.0,0,0,0,142503.4941683067,92371.0,25563.134388077116
11,61548.84156112113,0.5007756061220241,0.0,0,0,0,151964.11531888,92371.0,30726.68312224227
12,64575.60189982336,0.4304318857653988,0.0,0,0,0,163310.42742396664,92371.0,36780.203799646726
13,67264.0,0.37326058515699323,0.0,0,0,0,173614.2050844075,92370.99999999999,42157.00000000001
14,60061.0532526555,0.2980975571197446,0.0,0,0,0,146487.52351839154,77965.106505311,42157.00000000001
15,54399.6234162392,0.22504978246935003,0.0,0,0,0,126271.4190407026,66642.2468324784,42157.00000000001
16,49837.877127147665,0.1541172612058096,0.0,0,0,0,110726.23264552934,57518.75425429533,42157.00000000001
17,46088.33463709456,0.08529999332912297,0.0,0,0,0,98468.59574013716,50019.66927418911,42157.00000000001
18,42955.89278503899,0.018597978839290374,0.0,0,0,0,88602.37141166661,43754.78557007796,42157.00000000001
19,42156.99999999999,4.440892098500626e-16,0.0,0,0,0,86142.162072487,42157.000000000015,42156.99999999997
