step,a_km,e,i_deg,Omega_deg,omega_deg,nu_deg,period_s,r_apogee_km,r_perigee_km
0,106571.0,0.9364648919499676,28.5,0,0,0,346234.05540138413,206371.0,6771.0
1,106571.0,0.9364648919499676,28.337142857142858,0,0,0,346234.05540138413,206371.0,6771.0
2,106571.0,0.9364648919499676,28.174285714285716,0,0,0,346234.05540138413,206371.0,6771.0
3,106571.0,0.9364648919499676,28.011428571428574,0,0,0,346234.05540138413,206371.0,6771.0
4,106571.0,0.9364648919499676,27.848571428571432,0,0,0,346234.05540138413,206371.0,6771.0
5,106571.0,0.9364648919499676,27.68571428571429,0,0,0,346234.05540138413,206371.0,6771.0
6,106571.0,0.9364648919499676,27.52285714285715,0,0,0,346234.05540138413,206371.0,6771.0
7,106571.0,0.9364648919499676,27.360000000000007,0,0,0,346234.05540138413,206371.0,6771.0
8,106571.0,0.9364648919499676,27.197142857142865,0,0,0,346234.05540138413,206371.0,6771.0
9,106571.0,0.9364648919499676,27.034285714285723,0,0,0,346234.05540138413,206371.0,6771.0
10,106571.0,0.9364648919499676,26.87142857142858,0,0,0,346234.05540138413,206371.0,6771.0
11,106571.0,0.9364648919499676,26.70857142857144,0,0,0,346234.05540138413,206371.0,6771.0
12,106571.0,0.9364648919499676,26.545714285714297,0,0,0,346234.05540138413,206371.0,6771.0
13,106571.0,0.9364648919499676,26.382857142857155,0,0,0,346234.05540138413,206371.0,6771.0
14,106571.0,0.9364648919499676,26.220000000000013,0,0,0,346234.05540138413,206371.0,6771.0
15,106571.0,0.9364648919499676,26.05714285714287,0,0,0,346234.05540138413,206371.0,6771.0
16,106571.0,0.9364648919499676,25.89428571428573,0,0,0,346234.05540138413,206371.0,6771.0
17,106571.0,0.9364648919499676,25.731428571428587,0,0,0,346234.05540138413,206371.0,6771.0
18,106571.0,0.9364648919499676,25.568571428571445,0,0,0,346234.05540138413,206371.0,6771.0
19,106571.0,0.9364648919499676,25.405714285714303,0,0,0,346234.05540138413,206371.0,6771.0
20,106571.0,0.9364648919499676,25.24285714285716,0,0,0,346234.05540138413,206371.0,6771.0
21,106571.0,0.9364648919499676,25.08000000000002,0,0,0,346234.05540138413,206371.0,6771.0
22,106571.0,0.9364648919499676,24.917142857142878,0,0,0,346234.05540138413,206371.0,6771.0
23,106571.0,0.9364648919499676,24.754285714285736,0,0,0,346234.05540138413,206371.0,6771.0
24,106571.0,0.9364648919499676,24.591428571428594,0,0,0,346234.05540138413,206371.0,6771.0
25,106571.0,0.9364648919499676,24.428571428571452,0,0,0,346234.05540138413,206371.0,6771.0
26,106571.0,0.9364648919499676,24.26571428571431,0,0,0,346234.05540138413,206371.0,6771.0
27,106571.0,0.9364648919499676,24.102857142857168,0,0,0,346234.05540138413,206371.0,6771.0
28,106571.0,0.9364648919499676,23.940000000000026,0,0,0,346234.05540138413,206371.0,6771.0
29,106571.0,0.9364648919499676,23.777142857142884,0,0,0,346234.05540138413,206371.0,6771.0
30,106571.0,0.9364648919499676,23.614285714285742,0,0,0,346234.05540138413,206371.0,6771.0
31,106571.0,0.9364648919499676,23.4514285714286,0,0,0,346234.05540138413,206371.0,6771.0
32,106571.0,0.9364648919499676,23.28857142857146,0,0,0,346234.05540138413,206371.0,6771.0
33,106571.0,0.9364648919499676,23.125714285714317,0,0,0,346234.05540138413,206371.0,6771.0
34,106571.0,0.9364648919499676,22.962857142857175,0,0,0,346234.05540138413,206371.0,6771.0
35,106571.0,0.9364648919499676,22.800000000000033,0,0,0,346234.05540138413,206371.0,6771.0
36,106571.0,0.9364648919499676,22.63714285714289,0,0,0,346234.05540138413,206371.0,6771.0
37,106571.0,0.9364648919499676,22.47428571428575,0,0,0,346234.05540138413,206371.0,6771.0
38,106571.0,0.9364648919499676,22.311428571428607,0,0,0,346234.05540138413,206371.0,6771.0
39,106571.0,0.9364648919499676,22.148571428571465,0,0,0,346234.05540138413,206371.0,6771.0
40,106571.0,0.9364648919499676,21.985714285714323,0,0,0,346234.05540138413,206371.0,6771.0
41,106571.0,0.9364648919499676,21.82285714285718,0,0,0,346234.05540138413,206371.0,6771.0
42,106571.0,0.9364648919499676,21.66000000000004,0,0,0,346234.05540138413,206371.0,6771.0
43,106571.0,0.9364648919499676,21.497142857142897,0,0,0,346234.05540138413,206371.0,6771.0
44,106571.0,0.9364648919499676,21.334285714285755,0,0,0,346234.05540138413,206371.0,6771.0
45,106571.0,0.9364648919499676,21.171428571428613,0,0,0,346234.05540138413,206371.0,6771.0
46,106571.0,0.9364648919499676,21.00857142857147,0,0,0,346234.05540138413,206371.0,6771.0
47,106571.0,0.9364648919499676,20.84571428571433,0,0,0,346234.05540138413,206371.0,6771.0
48,106571.0,0.9364648919499676,20.682857142857188,0,0,0,346234.05540138413,206371.0,6771.0
49,106571.0,0.9364648919499676,20.520000000000046,0,0,0,346234.05540138413,206371.0,6771.0
50,106571.0,0.9364648919499676,20.357142857142904,0,0,0,346234.05540138413,206371.0,6771.0
51,106571.0,0.9364648919499676,20.194285714285762,0,0,0,346234.05540138413,206371.0,6771.0
52,106571.0,0.9364648919499676,20.03142857142862,0,0,0,346234.05540138413,206371.0,6771.0
53,106571.0,0.9364648919499676,19.868571428571478,0,0,0,346234.05540138413,206371.0,6771.0
54,106571.0,0.9364648919499676,19.705714285714336,0,0,0,346234.05540138413,206371.0,6771.0
55,106571.0,0.9364648919499676,19.542857142857194,0,0,0,346234.05540138413,206371.0,6771.0
56,106571.0,0.9364648919499676,19.380000000000052,0,0,0,346234.05540138413,206371.0,6771.0
57,106571.0,0.9364648919499676,19.21714285714291,0,0,0,346234.05540138413,206371.0,6771.0
58,106571.0,0.9364648919499676,19.05428571428577,0,0,0,346234.05540138413,206371.0,6771.0
59,106571.0,0.9364648919499676,18.891428571428627,0,0,0,346234.05540138413,206371.0,6771.0
60,106571.0,0.9364648919499676,18.728571428571485,0,0,0,346234.05540138413,206371.0,6771.0
61,106571.0,0.9364648919499676,18.565714285714343,0,0,0,346234.05540138413,206371.0,6771.0
62,106571.0,0.9364648919499676,18.4028571428572,0,0,0,346234.05540138413,206371.0,6771.0
63,106571.0,0.9364648919499676,18.24000000000006,0,0,0,346234.05540138413,206371.0,6771.0
64,106571.0,0.9364648919499676,18.077142857142917,0,0,0,346234.05540138413,206371.0,6771.0
65,106571.0,0.9364648919499676,17.914285714285775,0,0,0,346234.05540138413,206371.0,6771.0
66,106571.0,0.9364648919499676,17.751428571428633,0,0,0,346234.05540138413,206371.0,6771.0
67,106571.0,0.9364648919499676,17.58857142857149,0,0,0,346234.05540138413,206371.0,6771.0
68,106571.0,0.9364648919499676,17.42571428571435,0,0,0,346234.05540138413,206371.0,6771.0
69,106571.0,0.9364648919499676,17.262857142857207,0,0,0,346234.05540138413,206371.0,6771.0
70,106571.0,0.9364648919499676,17.100000000000065,0,0,0,346234.05540138413,206371.0,6771.0
71,106571.0,0.9364648919499676,16.937142857142923,0,0,0,346234.05540138413,206371.0,6771.0
72,106571.0,0.9364648919499676,16.77428571428578,0,0,0,346234.05540138413,206371.0,6771.0
73,106571.0,0.9364648919499676,16.61142857142864,0,0,0,346234.05540138413,206371.0,6771.0
74,106571.0,0.9364648919499676,16.448571428571498,0,0,0,346234.05540138413,206371.0,6771.0
75,106571.0,0.9364648919499676,16.285714285714356,0,0,0,346234.05540138413,206371.0,6771.0
76,106571.0,0.9364648919499676,16.122857142857214,0,0,0,346234.05540138413,206371.0,6771.0
77,106571.0,0.9364648919499676,15.96000000000007,0,0,0,346234.05540138413,206371.0,6771.0
78,106571.0,0.9364648919499676,15.797142857142926,0,0,0,346234.05540138413,206371.0,6771.0
79,106571.0,0.9364648919499676,15.634285714285783,0,0,0,346234.05540138413,206371.0,6771.0
80,106571.0,0.9364648919499676,15.471428571428639,0,0,0,346234.05540138413,206371.0,6771.0
81,106571.0,0.9364648919499676,15.308571428571495,0,0,0,346234.05540138413,206371.0,6771.0
82,106571.0,0.9364648919499676,15.145714285714352,0,0,0,346234.05540138413,206371.0,6771.0
83,106571.0,0.9364648919499676,14.982857142857208,0,0,0,346234.05540138413,206371.0,6771.0
84,106571.0,0.9364648919499676,14.820000000000064,0,0,0,346234.05540138413,206371.0,6771.0
85,106571.0,0.9364648919499676,14.65714285714292,0,0,0,346234.05540138413,206371.0,6771.0
86,106571.0,0.9364648919499676,14.494285714285777,0,0,0,346234.05540138413,206371.0,6771.0
87,106571.0,0.9364648919499676,14.331428571428633,0,0,0,346234.05540138413,206371.0,6771.0
88,106571.0,0.9364648919499676,14.16857142857149,0,0,0,346234.05540138413,206371.0,6771.0
89,106571.0,0.9364648919499676,14.005714285714346,0,0,0,346234.05540138413,206371.0,6771.0
90,106571.0,0.9364648919499676,13.842857142857202,0,0,0,346234.05540138413,206371.0,6771.0
91,106571.0,0.9364648919499676,13.680000000000058,0,0,0,346234.05540138413,206371.0,6771.0
92,106571.0,0.9364648919499676,13.517142857142915,0,0,0,346234.05540138413,206371.0,6771.0
93,106571.0,0.9364648919499676,13.354285714285771,0,0,0,346234.05540138413,206371.0,6771.0
94,106571.0,0.9364648919499676,13.191428571428627,0,0,0,346234.05540138413,206371.0,6771.0
95,106571.0,0.9364648919499676,13.028571428571484,0,0,0,346234.05540138413,206371.0,6771.0
96,106571.0,0.9364648919499676,12.86571428571434,0,0,0,346234.05540138413,206371.0,6771.0
97,106571.0,0.9364648919499676,12.702857142857196,0,0,0,346234.05540138413,206371.0,6771.0
98,106571.0,0.9364648919499676,12.540000000000052,0,0,0,346234.05540138413,206371.0,6771.0
99,106571.0,0.9364648919499676,12.377142857142909,0,0,0,346234.05540138413,206371.0,6771.0
100,106571.0,0.9364648919499676,12.214285714285765,0,0,0,346234.05540138413,206371.0,6771.0
101,106571.0,0.9364648919499676,12.051428571428621,0,0,0,346234.05540138413,206371.0,6771.0
102,106571.0,0.9364648919499676,11.888571428571478,0,0,0,346234.05540138413,206371.0,6771.0
103,106571.0,0.9364648919499676,11.725714285714334,0,0,0,346234.05540138413,206371.0,6771.0
104,106571.0,0.9364648919499676,11.56285714285719,0,0,0,346234.05540138413,206371.0,6771.0
105,106571.0,0.9364648919499676,11.400000000000047,0,0,0,346234.05540138413,206371.0,6771.0
106,106571.0,0.9364648919499676,11.237142857142903,0,0,0,346234.05540138413,206371.0,6771.0
107,106571.0,0.9364648919499676,11.07428571428576,0,0,0,346234.05540138413,206371.0,6771.0
108,106571.0,0.9364648919499676,10.911428571428615,0,0,0,346234.05540138413,206371.0,6771.0
109,106571.0,0.9364648919499676,10.748571428571472,0,0,0,346234.05540138413,206371.0,6771.0
110,106571.0,0.9364648919499676,10.585714285714328,0,0,0,346234.05540138413,206371.0,6771.0
111,106571.0,0.9364648919499676,10.422857142857184,0,0,0,346234.05540138413,206371.0,6771.0
112,106571.0,0.9364648919499676,10.26000000000004,0,0,0,346234.05540138413,206371.0,6771.0
113,106571.0,0.9364648919499676,10.097142857142897,0,0,0,346234.05540138413,206371.0,6771.0
114,106571.0,0.9364648919499676,9.934285714285753,0,0,0,346234.05540138413,206371.0,6771.0
115,106571.0,0.9364648919499676,9.77142857142861,0,0,0,346234.05540138413,206371.0,6771.0
116,106571.0,0.9364648919499676,9.608571428571466,0,0,0,346234.05540138413,206371.0,6771.0
117,106571.0,0.9364648919499676,9.445714285714322,0,0,0,346234.05540138413,206371.0,6771.0
118,106571.0,0.9364648919499676,9.282857142857178,0,0,0,346234.05540138413,206371.0,6771.0
119,106571.0,0.9364648919499676,9.120000000000035,0,0,0,346234.05540138413,206371.0,6771.0
120,106571.0,0.9364648919499676,8.957142857142891,0,0,0,346234.05540138413,206371.0,6771.0
121,106571.0,0.9364648919499676,8.794285714285747,0,0,0,346234.05540138413,206371.0,6771.0
122,106571.0,0.9364648919499676,8.631428571428604,0,0,0,346234.05540138413,206371.0,6771.0
123,106571.0,0.9364648919499676,8.46857142857146,0,0,0,346234.05540138413,206371.0,6771.0
124,106571.0,0.9364648919499676,8.305714285714316,0,0,0,346234.05540138413,206371.0,6771.0
